Source	Target	num_triplets	ENVs	SignPattern	Overlap	MutualInformation	ConditionalMutualInformation	InteractionInformation	II_p_value	DataProcessingInequality_MI_rank	DataProcessingInequality_indirect	DPI_num_MI_rank1	DPI_num_MI_rank2	DPI_num_MI_rank3	COMBI_SP_OL_II_DPI	portion_nan_Source_Target	portion_nan_Source_Target_ENV	presence_X	presence_Y	presence_X_AND_Y	presence_X_OR_Y	percentage_co_occurrence
bn_ASV_000367	bp_ASV_000170	2	ENV_Day_length_Hours_light;ENV_Temp	0.000000;0.000000	100.000000;100.000000	0.582463	0.005855;0.517846	-0.576608;-0.064617	0.008991;0.968032	3.000000;3.000000	1.000000;1.000000	0	0	2	1.000000;1.000000	0.000000	0.000000;0.000000	43	48	37	54	68.518519
bn_ASV_000367	bp_ASV_000113	1	ENV_Day_length_Hours_light	0.000000	100.000000	0.352241	-0.049497	-0.401737	0.000999	1.000000	0.000000	1	0	0	0.000000	0.000000	0.000000	43	48	31	60	51.666667
bn_ASV_000367	bp_ASV_000232	2	ENV_Day_length_Hours_light;ENV_Temp	0.000000;0.000000	100.000000;100.000000	0.402572	0.622412;0.066286	0.219841;-0.336286	nan;0.046953	1.000000;2.000000	0.000000;1.000000	1	1	0	1.000000;1.000000	0.000000	0.000000;0.000000	43	48	35	56	62.500000
bn_ASV_000367	bp_ASV_000311	1	ENV_Day_length_Hours_light	0.000000	100.000000	0.480895	0.026073	-0.454821	0.045954	2.000000	1.000000	0	1	0	1.000000	0.000000	0.000000	43	48	32	59	54.237288
bn_ASV_000367	bn_ASV_000437	1	ENV_Temp	0.000000	100.000000	0.521168	0.016466	-0.504702	0.000999	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000	43	32	30	45	66.666667
bn_ASV_000367	bn_ASV_000814	1	ENV_Temp	0.000000	100.000000	0.485797	-0.027485	-0.513282	0.002997	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000	43	31	27	47	57.446809
bn_ASV_000367	bn_ASV_000510	1	ENV_Temp	0.000000	98.148148	0.467520	-0.043951	-0.511471	0.003996	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000	43	33	28	48	58.333333
bn_ASV_000367	en_ASV_00570	2	ENV_Day_length_Hours_light;ENV_Temp	0.000000;0.000000	100.000000;100.000000	0.488742	0.624402;0.479901	0.135660;-0.008841	nan;0.868132	2.000000;3.000000	1.000000;1.000000	0	1	1	1.000000;1.000000	0.000000	0.000000;0.000000	43	51	36	58	62.068966
bn_ASV_000367	en_ASV_00110	2	ENV_Day_length_Hours_light;ENV_Temp	0.000000;0.000000	95.689655;100.000000	0.222737	-0.033304;-0.020536	-0.256041;-0.243273	0.028971;0.136863	1.000000;1.000000	0.000000;0.000000	2	0	0	0.000000;1.000000	0.000000	0.000000;0.000000	43	47	1	89	1.123596
bn_ASV_000367	en_ASV_01063	1	ENV_Temp	0.000000	100.000000	0.490251	0.144758	-0.345493	0.078921	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000	43	55	38	60	63.333333
