Source	Target	association_score	num_Triplets	MutualInformation	InterationInformation	II_p_value	DataProcessingInequality_MI_rank	DataProcessingInequality_indirect	COMBI_II_DPI
ASV_626_16S_022_3	ASV_849_16S_022_3	0.747067159950179	1	0.695209	-0.755482	0.011988	3	1	1
ASV_318_16S_022_3	ASV_879_16S_022_3	0.936165204463862	1	0.533567	-0.424784	0.285714	3	1	1
ASV_394_16S_022_3	ASV_886_16S_022_3	0.613287320618887	1	0.738445	-0.621244	0.011988	3	1	1
ASV_759_16S_022_3	ASV_886_16S_022_3	0.57037878036499	1	0.645751	-0.566073	0.047952	3	1	1
ASV_362_16S_022_3	ASV_890_16S_022_3	0.931883346356854	1	0.779629	-0.197867	0.416583	3	1	1
ASV_318_16S_022_3	ASV_896_16S_022_3	0.766157759392637	1	0.496044	-0.387261	0.237762	3	1	1
ASV_498_16S_022_3	ASV_911_16S_022_3	0.629976511001587	1	0.979625	-0.280662	0.489510	3	1	1
ASV_922_16S_022_3	ASV_923_16S_022_3	0.757442666366094	1	0.342150	-0.248190	0.048951	3	1	1
ASV_879_16S_022_3	ASV_925_16S_022_3	0.64146	1	0.425925	-0.387118	0.381618	3	1	1
ASV_766_16S_022_3	ASV_941_16S_022_3	0.751638144517528	1	0.543412	-0.543412	0.071928	3	1	1
ASV_318_16S_022_3	ASV_958_16S_022_3	0.799488544464111	1	0.496044	-0.387261	0.415584	3	1	1
ASV_934_16S_022_3	ASV_958_16S_022_3	0.83200287288689	1	0.556317	-0.387261	0.572428	3	1	1
ASV_395_16S_022_3	ASV_963_16S_022_3	0.743139431386344	1	0.682610	-0.519909	0.189810	3	1	1
ASV_894_16S_022_3	ASV_967_16S_022_3	0.604727923318069	1	0.551820	-0.352135	0.227772	3	1	1
ASV_97_16S_022_3	ASV_970_16S_022_3	0.904897153377533	1	0.867619	-0.356324	0.787213	3	1	1
ASV_204_16S_022_3	ASV_970_16S_022_3	0.628483463450684	1	0.664826	-0.179087	0.786214	3	1	1
ASV_238_16S_022_3	ASV_970_16S_022_3	0.655738711357117	1	0.652283	-0.585654	0.000999	3	1	1
ASV_330_16S_022_3	ASV_970_16S_022_3	0.629599988460541	1	0.758057	-0.246762	0.618382	3	1	1
ASV_894_16S_022_3	ASV_988_16S_022_3	0.846818197691666	1	0.719096	0.252382	nan	3	1	1
ASV_908_16S_022_3	ASV_990_16S_022_3	0.766166046218225	1	0.325857	-0.357566	0.225774	3	1	1
ASV_682_16S_022_3	ASV_995_16S_022_3	0.808301448066254	1	0.618460	-0.588323	0.119880	3	1	1
ASV_149_16S_022_3	ASV_1001_16S_022_3	-0.773842730792395	1	0.299220	0.175043	nan	3	1	1
ASV_748_16S_022_3	ASV_1001_16S_022_3	0.893990942685456	1	0.697607	0.213598	nan	3	1	1
ASV_8_16S_022_3	ASV_1000_16S_022_3	0.8027812666339	1	0.510817	-0.501116	0.202797	3	1	1
ASV_515_16S_022_3	ASV_1003_16S_022_3	0.980003101357241	1	0.728109	-0.668867	0.382617	3	1	1
ASV_510_16S_022_3	ASV_1006_16S_022_3	0.818610508945925	1	0.765633	0.338890	nan	3	1	1
ASV_238_16S_022_3	ASV_1013_16S_022_3	0.641768276691437	1	0.586478	-0.489712	0.000999	3	1	1
ASV_361_16S_022_3	ASV_1013_16S_022_3	0.675530016422272	1	0.780324	-0.284932	0.310689	3	1	1
ASV_446_16S_022_3	ASV_1013_16S_022_3	0.742998361587524	1	0.726070	-0.464337	0.000999	3	1	1
ASV_90_16S_022_3	ASV_1014_16S_022_3	0.803245484828949	1	0.624516	-0.342888	0.178821	3	1	1
ASV_935_16S_022_3	ASV_1033_16S_022_3	0.802186454612983	1	0.660260	-0.500905	0.309690	3	1	1
ASV_345_16S_022_3	ASV_1077_16S_022_3	-0.766910852832204	1	0.369389	-0.369389	0.285714	2	1	1
ASV_184_16S_022_3	ASV_1080_16S_022_3	-0.538058444041367	1	0.375055	0.102554	nan	3	1	1
ASV_489_16S_022_3	ASV_1090_16S_022_3	0.98708445886377	1	0.981938	-0.423418	0.035964	3	1	1
ASV_205_16S_022_3	ASV_1095_16S_022_3	0.57406622171402	1	0.679304	-0.008907	0.584416	3	1	1
ASV_405_16S_022_3	ASV_1102_16S_022_3	0.82200156675523	1	0.536577	-0.104517	0.238761	3	1	1
ASV_882_16S_022_3	ASV_1109_16S_022_3	0.9863221798227	1	0.616591	-0.585710	0.465534	3	1	1
ASV_573_16S_022_3	ASV_1113_16S_022_3	0.738656468979159	1	0.751829	0.363928	nan	3	1	1
ASV_727_16S_022_3	ASV_1118_16S_022_3	0.813763214688671	1	0.637027	-0.341811	0.250749	3	1	1
