Source	Target	association_score	num_Triplets	MutualInformation	InterationInformation	II_p_value	DataProcessingInequality_MI_rank	DataProcessingInequality_indirect	COMBI_II_DPI
ASV_235_16S_022_3	ASV_253_16S_022_3	0.663446962833405	1	0.758239	0.274960	nan	3	1	1
ASV_157_16S_022_3	ASV_258_16S_022_3	0.845418989658356	1	0.779325	-0.695371	0.910090	3	1	1
ASV_7_16S_022_3	ASV_263_16S_022_3	0.832559585571289	1	0.526846	-0.400916	0.000999	3	1	1
ASV_27_16S_022_3	ASV_263_16S_022_3	-0.63182920217514	1	0.360075	-0.308356	0.182817	3	1	1
ASV_83_16S_022_3	ASV_264_16S_022_3	0.899286737980721	1	0.737645	-0.495692	0.182817	3	1	1
ASV_124_16S_022_3	ASV_268_16S_022_3	0.577209764677199	1	0.713342	-0.579222	0.364635	3	1	1
ASV_170_16S_022_3	ASV_268_16S_022_3	0.649279236793518	1	0.608346	-0.649214	0.727273	3	1	1
ASV_223_16S_022_3	ASV_268_16S_022_3	0.670466491420968	1	0.749964	-0.649115	0.546454	3	1	1
ASV_179_16S_022_3	ASV_271_16S_022_3	0.598352313041687	1	0.639084	-0.318265	0.000999	3	1	1
ASV_45_16S_022_3	ASV_273_16S_022_3	0.868830919265747	1	0.414675	-0.198522	0.091908	3	1	1
ASV_74_16S_022_3	ASV_277_16S_022_3	0.690560281276703	1	0.828061	-0.648508	0.091908	3	1	1
ASV_169_16S_022_3	ASV_277_16S_022_3	0.594768538143369	1	0.801301	0.130607	nan	3	1	1
ASV_106_16S_022_3	ASV_278_16S_022_3	-0.778593928911259	1	0.263727	0.023844	nan	3	1	1
ASV_187_16S_022_3	ASV_278_16S_022_3	0.601621925830841	1	0.652233	0.596127	nan	3	1	1
ASV_121_16S_022_3	ASV_284_16S_022_3	-0.568820984076842	1	0.795408	-0.686889	0.182817	3	1	1
ASV_228_16S_022_3	ASV_287_16S_022_3	0.998407712984974	1	0.728162	-0.569551	0.455544	3	1	1
ASV_276_16S_022_3	ASV_289_16S_022_3	-0.564036071300507	1	0.324443	1.144234	nan	3	1	1
ASV_217_16S_022_3	ASV_290_16S_022_3	0.698131203651428	1	0.662095	0.051339	nan	3	1	1
ASV_6_16S_022_3	ASV_298_16S_022_3	0.52712	1	0.114464	0.109135	nan	3	1	1
ASV_204_16S_022_3	ASV_298_16S_022_3	-0.616472464588262	1	0.247275	0.165589	nan	3	1	1
ASV_122_16S_022_3	ASV_299_16S_022_3	-0.615206821148181	1	0.542557	-0.509803	0.000999	3	1	1
ASV_88_16S_022_3	ASV_300_16S_022_3	0.558212637901306	1	0.505503	-0.471714	0.000999	3	1	1
ASV_248_16S_022_3	ASV_300_16S_022_3	0.58943784236908	1	0.468051	-0.232094	0.000999	3	1	1
ASV_123_16S_022_3	ASV_301_16S_022_3	0.858396913212981	1	0.682226	-0.540741	0.000999	3	1	1
ASV_179_16S_022_3	ASV_304_16S_022_3	0.657195687294006	1	0.879731	-0.688469	0.000999	3	1	1
ASV_206_16S_022_3	ASV_304_16S_022_3	0.8971728682518	1	0.812575	0.558445	nan	3	1	1
ASV_184_16S_022_3	ASV_306_16S_022_3	0.68226874551345	1	0.627457	-0.543503	0.000999	3	1	1
ASV_6_16S_022_3	ASV_307_16S_022_3	0.681625562569206	1	0.195520	0.095726	nan	3	1	1
ASV_162_16S_022_3	ASV_308_16S_022_3	-0.891894161701202	1	0.704146	-0.704146	0.272727	3	1	1
ASV_299_16S_022_3	ASV_308_16S_022_3	0.529218137934036	1	0.915692	-0.800167	0.091908	3	1	1
ASV_97_16S_022_3	ASV_309_16S_022_3	0.856187625539886	1	0.942377	-0.745116	0.000999	3	1	1
ASV_145_16S_022_3	ASV_311_16S_022_3	0.626801252365112	1	0.510933	-0.392006	0.000999	3	1	1
ASV_154_16S_022_3	ASV_316_16S_022_3	0.921032865594157	1	1.069638	-0.767609	0.091908	3	1	1
ASV_67_16S_022_3	ASV_317_16S_022_3	0.632342854444799	1	0.583943	-0.532077	0.000999	3	1	1
ASV_97_16S_022_3	ASV_317_16S_022_3	0.840700273022928	1	0.697169	-0.332471	0.182817	3	1	1
ASV_189_16S_022_3	ASV_318_16S_022_3	-0.666919765898783	1	0.769896	-0.543391	0.273726	3	1	1
ASV_161_16S_022_3	ASV_320_16S_022_3	0.610999364332116	1	0.697169	-0.523381	0.000999	3	1	1
ASV_35_16S_022_3	ASV_324_16S_022_3	0.580836176872253	1	0.462451	-0.217196	0.273726	3	1	1
ASV_89_16S_022_3	ASV_324_16S_022_3	0.778015673160553	1	0.945137	-0.580736	0.364635	3	1	1
ASV_92_16S_022_3	ASV_325_16S_022_3	0.918775737285614	1	0.917567	0.382633	nan	3	1	1
ASV_110_16S_022_3	ASV_325_16S_022_3	0.59889028273615	1	0.684101	0.494825	nan	3	1	1
ASV_109_16S_022_3	ASV_327_16S_022_3	-0.552551238741182	1	0.535331	-0.152602	0.455544	3	1	1
ASV_152_16S_022_3	ASV_328_16S_022_3	0.712233345012876	1	0.319818	-0.151197	0.091908	3	1	1
ASV_130_16S_022_3	ASV_331_16S_022_3	0.563628792762756	1	0.403391	-0.369602	0.000999	3	1	1
ASV_162_16S_022_3	ASV_334_16S_022_3	-0.653156886953715	1	0.618814	-0.626410	0.181818	3	1	1
ASV_126_16S_022_3	ASV_335_16S_022_3	0.524992048862802	1	0.635071	-0.493038	0.273726	3	1	1
ASV_149_16S_022_3	ASV_335_16S_022_3	0.61451	1	0.675044	-0.009065	0.273726	3	1	1
ASV_65_16S_022_3	ASV_337_16S_022_3	0.793156017683715	1	0.614054	-0.532172	0.091908	3	1	1
ASV_291_16S_022_3	ASV_340_16S_022_3	0.958724949583442	1	0.829736	-0.688555	0.000999	3	1	1
ASV_276_16S_022_3	ASV_343_16S_022_3	-0.730718720723102	1	0.418827	1.345892	nan	3	1	1
ASV_235_16S_022_3	ASV_345_16S_022_3	0.728875696659088	1	0.781249	0.193199	nan	3	1	1
ASV_262_16S_022_3	ASV_347_16S_022_3	0.855201482772827	1	0.869418	-0.682914	0.091908	3	1	1
ASV_50_16S_022_3	ASV_351_16S_022_3	0.542472599579001	1	0.507557	-0.417982	0.000999	3	1	1
ASV_175_16S_022_3	ASV_357_16S_022_3	0.656689811757063	1	0.645803	-0.548060	0.000999	3	1	1
ASV_121_16S_022_3	ASV_358_16S_022_3	0.788085993529516	1	0.669276	-0.560757	0.364635	3	1	1
ASV_216_16S_022_3	ASV_358_16S_022_3	-0.536342562360786	1	0.755355	-0.678997	0.273726	3	1	1
ASV_193_16S_022_3	ASV_360_16S_022_3	0.760752868717725	1	0.444662	0.217177	nan	3	1	1
ASV_233_16S_022_3	ASV_362_16S_022_3	0.950029373168945	1	0.891591	-0.730291	0.364635	3	1	1
ASV_246_16S_022_3	ASV_362_16S_022_3	0.56574	1	0.615606	-0.223257	0.273726	3	1	1
ASV_277_16S_022_3	ASV_362_16S_022_3	-0.52640026807785	1	0.429031	-0.389864	0.455544	3	1	1
ASV_274_16S_022_3	ASV_365_16S_022_3	0.525131046772003	1	0.662095	1.115600	nan	3	1	1
ASV_345_16S_022_3	ASV_365_16S_022_3	0.739086866378784	1	0.761323	0.575420	nan	3	1	1
ASV_138_16S_022_3	ASV_369_16S_022_3	0.664310388037154	1	0.840887	-0.700676	0.000999	3	1	1
