Source	Target	association_score	MutualInformation	num_Triplets	percentage_co_occurrence
ASV_1125_16S_022_3	OTU_4154_18S_3_200	0.681751072406769	0.625005	0	83.333333
ASV_1127_16S_022_3	ASV_1397_16S_022_3	0.564588469496842	0.298534	0	60
ASV_1127_16S_022_3	ASV_1715_16S_3_200	0.739367986271247	0.368047	0	66.666667
ASV_1127_16S_022_3	OTU_800_18S_3_200	0.553900718688965	0.299011	0	44.444444
ASV_113_16S_022_3	ASV_504_16S_022_3	-0.647536516189575	0.557596	0	13.043478
ASV_113_16S_022_3	OTU_29_18S_3_200	0.547158062458038	0.565488	0	81.25
ASV_113_16S_3_200	ASV_133_16S_3_200	0.681541681289673	0.454509	0	89.473684
ASV_113_16S_3_200	OTU_1309_18S_3_200	-0.742676826304893	0.271654	0	13.636364
ASV_1136_16S_022_3	ASV_1348_16S_022_3	0.64929723739624	0.483572	0	80
ASV_1136_16S_022_3	ASV_1593_16S_022_3	0.666304886341095	0.483572	0	80
ASV_1136_16S_022_3	ASV_2304_16S_022_3	0.990231335163116	0.646807	0	100
ASV_1136_16S_022_3	OTU_1358_18S_022_3	0.549765944480896	0.495322	0	71.428571
ASV_1138_16S_3_200	OTU_3933_18S_3_200	0.584351704153841	0.368047	0	57.142857
ASV_1139_16S_022_3	ASV_1382_16S_022_3	0.993740677833557	0.646807	0	100
ASV_1139_16S_022_3	OTU_1144_18S_022_3	0.72360050544197	0.509481	0	62.5
ASV_1139_16S_022_3	OTU_624_18S_3_200	0.917143532869918	0.531283	0	83.333333
ASV_1139_16S_022_3	OTU_873_18S_022_3	0.607975927973929	0.519532	0	80
ASV_1143_16S_022_3	OTU_2284_18S_022_3	0.721248686313629	0.438177	0	50
ASV_1143_16S_022_3	OTU_2631_18S_3_200	0.761347292588641	0.74053	0	83.333333
ASV_1145_16S_022_3	OTU_1143_18S_022_3	0.616286099862468	0.5243	0	57.142857
ASV_1146_16S_022_3	ASV_1171_16S_022_3	0.836570680141449	0.883362	0	100
ASV_1146_16S_022_3	ASV_166_16S_3_200	-0.759212076663971	0.55588	0	4.347826
ASV_1146_16S_022_3	ASV_1921_16S_022_3	0.616724729537964	0.771105	0	87.5
ASV_1146_16S_022_3	ASV_2079_16S_022_3	0.587826669216156	0.633778	0	87.5
ASV_1147_16S_022_3	ASV_1067_16S_3_200	0.778085589408875	0.567243	0	100
ASV_1147_16S_022_3	OTU_207_18S_022_3	0.66314869799185	0.646807	0	83.333333
ASV_1149_16S_022_3	ASV_705_16S_3_200	0.646679997444153	0.406323	0	66.666667
ASV_1158_16S_022_3	ASV_2030_16S_022_3	0.590597212314606	0.518254	0	63.636364
ASV_1158_16S_022_3	OTU_422_18S_3_200	0.566312310901189	0.603791	0	81.818182
ASV_1171_16S_022_3	ASV_1565_16S_022_3	0.922383198219267	0.86156	0	100
ASV_1173_16S_022_3	ASV_1287_16S_022_3	0.689843237400055	0.601085	0	75
ASV_1186_16S_022_3	ASV_1781_16S_022_3	0.60168	0.649428	0	72.727273
ASV_1189_16S_022_3	ASV_1401_16S_022_3	0.88989508718739	0.519532	0	80
ASV_1189_16S_022_3	ASV_1825_16S_022_3	0.717928647994995	0.466538	0	57.142857
ASV_119_16S_022_3	ASV_122_16S_022_3	0.592810332775116	0.649691	0	83.333333
ASV_119_16S_022_3	ASV_199_16S_022_3	0.815240383148193	0.639288	0	88.235294
ASV_1190_16S_022_3	OTU_197_18S_3_200	0.578765093739949	0.603865	0	66.666667
ASV_1190_16S_022_3	OTU_2009_18S_3_200	0.646093995246635	0.713342	0	87.5
ASV_1190_16S_022_3	OTU_817_18S_3_200	0.597225255465958	0.521033	0	77.777778
ASV_1190_16S_022_3	OTU_887_18S_022_3	0.601867854595184	0.612638	0	75
ASV_1193_16S_3_200	OTU_2058_18S_3_200	0.622782588005066	0.338601	0	40
ASV_1201_16S_022_3	ASV_1523_16S_022_3	0.737170293641707	0.577294	0	80
ASV_1201_16S_022_3	ASV_1820_16S_022_3	-0.5969276645952	0.599096	0	80
ASV_1201_16S_022_3	OTU_2635_18S_3_200	0.670710027217865	0.493623	0	60
ASV_1201_16S_022_3	OTU_873_18S_022_3	0.962751030921936	0.577294	0	100
ASV_1201_16S_3_200	OTU_1917_18S_3_200	0.525295215506628	0.414059	0	60
ASV_1201_16S_3_200	OTU_3774_18S_3_200	0.887952199936847	0.552608	0	50
ASV_1203_16S_022_3	ASV_1203_16S_3_200	0.644571840763092	0.546102	0	57.142857
ASV_121_16S_022_3	ASV_284_16S_022_3	-0.568820984076842	0.795408	0	93.333333
ASV_121_16S_022_3	ASV_358_16S_022_3	0.788085993529516	0.669276	0	86.666667
ASV_121_16S_022_3	ASV_452_16S_022_3	0.699319344465397	0.752187	0	100
ASV_121_16S_022_3	ASV_871_16S_022_3	0.522526621818542	0.748173	0	93.333333
ASV_1210_16S_022_3	ASV_1576_16S_022_3	0.764999866485596	0.531283	0	83.333333
ASV_1210_16S_022_3	ASV_1707_16S_022_3	0.855255917808134	0.589045	0	100
ASV_1210_16S_022_3	ASV_1716_16S_022_3	0.957241060863856	0.589045	0	100
ASV_1212_16S_022_3	ASV_1250_16S_3_200	0.680631577968597	0.649428	0	88.888889
ASV_1212_16S_022_3	ASV_2007_16S_3_200	0.740024237446334	0.382205	0	44.444444
ASV_1215_16S_022_3	ASV_1320_16S_022_3	0.539167881011963	0.445865	0	60
ASV_1215_16S_022_3	ASV_1458_16S_022_3	0.958088517189026	0.703476	0	100
ASV_1215_16S_022_3	OTU_879_18S_3_200	-0.694899022579193	0.807726	0	100
