Source	Target	association_score	num_Triplets	percentage_co_occurrence
ASV_235_16S_022_3	ASV_345_16S_022_3	0.728875696659088	0	93.750000
ASV_262_16S_022_3	ASV_347_16S_022_3	0.855201482772827	0	100.000000
ASV_50_16S_022_3	ASV_351_16S_022_3	0.542472599579001	0	87.500000
ASV_175_16S_022_3	ASV_357_16S_022_3	0.656689811757063	0	94.117647
ASV_121_16S_022_3	ASV_358_16S_022_3	0.788085993529516	0	86.666667
ASV_216_16S_022_3	ASV_358_16S_022_3	-0.536342562360786	0	86.666667
ASV_193_16S_022_3	ASV_360_16S_022_3	0.760752868717725	0	84.210526
ASV_233_16S_022_3	ASV_362_16S_022_3	0.950029373168945	0	100.000000
ASV_246_16S_022_3	ASV_362_16S_022_3	0.56574	0	64.705882
ASV_277_16S_022_3	ASV_362_16S_022_3	-0.52640026807785	0	43.478261
ASV_274_16S_022_3	ASV_365_16S_022_3	0.525131046772003	0	84.615385
ASV_345_16S_022_3	ASV_365_16S_022_3	0.739086866378784	0	86.666667
ASV_138_16S_022_3	ASV_369_16S_022_3	0.664310388037154	0	92.857143
ASV_267_16S_022_3	ASV_379_16S_022_3	0.552697013899815	0	80.000000
ASV_157_16S_022_3	ASV_381_16S_022_3	0.544515669345856	0	72.727273
ASV_66_16S_022_3	ASV_383_16S_022_3	0.67673796415329	0	90.909091
ASV_320_16S_022_3	ASV_386_16S_022_3	0.615967940486595	0	83.333333
ASV_260_16S_022_3	ASV_387_16S_022_3	0.85853034205904	0	100.000000
ASV_21_16S_022_3	ASV_388_16S_022_3	0.528603792190552	0	81.818182
ASV_7_16S_022_3	ASV_390_16S_022_3	-0.524275662360035	0	54.545455
ASV_386_16S_022_3	ASV_392_16S_022_3	0.590017709385017	0	83.333333
ASV_132_16S_022_3	ASV_396_16S_022_3	0.530401753279096	0	66.666667
ASV_311_16S_022_3	ASV_396_16S_022_3	0.538688832488591	0	83.333333
ASV_218_16S_022_3	ASV_397_16S_022_3	0.57076	0	78.571429
ASV_274_16S_022_3	ASV_400_16S_022_3	0.55338584387192	0	69.230769
ASV_193_16S_022_3	ASV_402_16S_022_3	0.820168134430121	0	95.000000
ASV_185_16S_022_3	ASV_401_16S_022_3	0.931910014153259	0	86.666667
ASV_225_16S_022_3	ASV_401_16S_022_3	0.521462346565947	0	76.470588
ASV_312_16S_022_3	ASV_401_16S_022_3	0.610412013269483	0	81.250000
ASV_218_16S_022_3	ASV_407_16S_022_3	-0.58763592770795	0	4.545455
ASV_109_16S_022_3	ASV_408_16S_022_3	0.56431120634079	0	62.500000
ASV_153_16S_022_3	ASV_408_16S_022_3	0.718317717055079	0	60.000000
ASV_19_16S_022_3	ASV_410_16S_022_3	0.700259506702423	0	88.888889
ASV_163_16S_022_3	ASV_410_16S_022_3	0.706401859673474	0	93.750000
ASV_189_16S_022_3	ASV_414_16S_022_3	-0.549083967249259	0	8.695652
ASV_226_16S_022_3	ASV_414_16S_022_3	-0.631913702974152	0	26.086957
ASV_145_16S_022_3	ASV_421_16S_022_3	0.734014895910037	0	92.307692
ASV_154_16S_022_3	ASV_421_16S_022_3	0.753625631332397	0	100.000000
ASV_189_16S_022_3	ASV_422_16S_022_3	0.8807	0	93.750000
ASV_318_16S_022_3	ASV_422_16S_022_3	0.921970170285537	0	100.000000
ASV_388_16S_022_3	ASV_422_16S_022_3	0.603611469268799	0	88.888889
ASV_155_16S_022_3	ASV_424_16S_022_3	0.627217173576355	0	75.000000
ASV_282_16S_022_3	ASV_425_16S_022_3	0.763195395469666	0	81.818182
ASV_309_16S_022_3	ASV_425_16S_022_3	0.642187476158142	0	75.000000
ASV_136_16S_022_3	ASV_426_16S_022_3	0.644510865211487	0	90.909091
ASV_222_16S_022_3	ASV_426_16S_022_3	0.574940323829651	0	58.823529
ASV_424_16S_022_3	ASV_427_16S_022_3	-0.577604055404663	0	70.000000
ASV_271_16S_022_3	ASV_429_16S_022_3	0.831741207829141	0	84.615385
ASV_93_16S_022_3	ASV_430_16S_022_3	0.778830101969406	0	94.444444
ASV_132_16S_022_3	ASV_430_16S_022_3	0.63159167766571	0	77.777778
ASV_431_16S_022_3	ASV_437_16S_022_3	0.554123342037201	0	75.000000
ASV_80_16S_022_3	ASV_440_16S_022_3	0.576558172702789	0	87.500000
ASV_434_16S_022_3	ASV_444_16S_022_3	0.748847174363118	0	55.555556
ASV_260_16S_022_3	ASV_448_16S_022_3	0.687943875789642	0	71.428571
ASV_348_16S_022_3	ASV_448_16S_022_3	0.707747668399113	0	69.230769
ASV_110_16S_022_3	ASV_449_16S_022_3	0.799998291550906	0	100.000000
ASV_212_16S_022_3	ASV_449_16S_022_3	0.71045161459962	0	94.117647
ASV_121_16S_022_3	ASV_452_16S_022_3	0.699319344465397	0	100.000000
ASV_49_16S_022_3	ASV_453_16S_022_3	0.855163156116334	0	88.888889
ASV_223_16S_022_3	ASV_456_16S_022_3	0.898394048213959	0	100.000000
ASV_389_16S_022_3	ASV_456_16S_022_3	0.63885372877121	0	85.714286
ASV_308_16S_022_3	ASV_461_16S_022_3	0.992179274559021	0	100.000000
ASV_301_16S_022_3	ASV_462_16S_022_3	0.623971819877625	0	78.571429
ASV_153_16S_022_3	ASV_463_16S_022_3	-0.724927723882192	0	17.391304
ASV_126_16S_022_3	ASV_466_16S_022_3	0.631977293165216	0	94.736842
ASV_273_16S_022_3	ASV_466_16S_022_3	0.789080971011481	0	90.476190
ASV_41_16S_022_3	ASV_468_16S_022_3	-0.644050002098083	0	8.695652
ASV_345_16S_022_3	ASV_473_16S_022_3	0.649796843906858	0	86.666667
ASV_63_16S_022_3	ASV_475_16S_022_3	0.820413141556746	0	68.421053
ASV_182_16S_022_3	ASV_475_16S_022_3	0.645206987857819	0	73.333333
ASV_295_16S_022_3	ASV_475_16S_022_3	0.848136077938121	0	68.750000
ASV_453_16S_022_3	ASV_476_16S_022_3	0.595009982585907	0	88.888889
ASV_102_16S_022_3	ASV_478_16S_022_3	0.728323254372746	0	88.888889
ASV_258_16S_022_3	ASV_478_16S_022_3	0.533245671943186	0	80.000000
ASV_34_16S_022_3	ASV_479_16S_022_3	0.583488835325314	0	72.222222
ASV_253_16S_022_3	ASV_488_16S_022_3	0.554239273071289	0	75.000000
ASV_390_16S_022_3	ASV_490_16S_022_3	0.848124069750551	0	100.000000
ASV_179_16S_022_3	ASV_491_16S_022_3	0.956443340485413	0	100.000000
ASV_187_16S_022_3	ASV_494_16S_022_3	0.536593116795791	0	87.500000
ASV_382_16S_022_3	ASV_494_16S_022_3	0.64298141002655	0	92.857143
ASV_49_16S_022_3	ASV_495_16S_022_3	0.538196682929993	0	77.777778
ASV_478_16S_022_3	ASV_495_16S_022_3	0.562215626239777	0	66.666667
ASV_332_16S_022_3	ASV_497_16S_022_3	0.639007557267563	0	90.909091
ASV_332_16S_022_3	ASV_499_16S_022_3	0.671285095035891	0	84.615385
ASV_494_16S_022_3	ASV_499_16S_022_3	0.728946173057414	0	92.857143
ASV_170_16S_022_3	ASV_502_16S_022_3	0.745665826749073	0	69.230769
ASV_11_16S_022_3	ASV_503_16S_022_3	0.634228341040297	0	93.333333
ASV_92_16S_022_3	ASV_503_16S_022_3	0.623354450078415	0	93.750000
ASV_216_16S_022_3	ASV_503_16S_022_3	0.774387115250842	0	100.000000
ASV_222_16S_022_3	ASV_503_16S_022_3	0.861074521376051	0	88.235294
ASV_265_16S_022_3	ASV_503_16S_022_3	0.554611242183512	0	93.750000
ASV_412_16S_022_3	ASV_503_16S_022_3	0.817787630188357	0	86.666667
ASV_494_16S_022_3	ASV_503_16S_022_3	0.679722476306328	0	93.333333
ASV_41_16S_022_3	ASV_504_16S_022_3	-0.687171041965485	0	26.086957
ASV_113_16S_022_3	ASV_504_16S_022_3	-0.647536516189575	0	13.043478
ASV_463_16S_022_3	ASV_504_16S_022_3	-0.716537333486536	0	0.000000
ASV_347_16S_022_3	ASV_506_16S_022_3	0.877842366695404	0	100.000000
ASV_477_16S_022_3	ASV_506_16S_022_3	0.550876140594482	0	100.000000
ASV_36_16S_022_3	ASV_512_16S_022_3	0.906073717327522	0	100.000000
ASV_215_16S_022_3	ASV_512_16S_022_3	0.757294264638914	0	95.000000
ASV_386_16S_022_3	ASV_513_16S_022_3	0.606032192707062	0	80.000000
ASV_282_16S_022_3	ASV_515_16S_022_3	0.538635015487671	0	71.428571
ASV_416_16S_022_3	ASV_515_16S_022_3	0.606596341819623	0	73.333333
ASV_11_16S_022_3	ASV_517_16S_022_3	0.557122945839839	0	92.857143
ASV_169_16S_022_3	ASV_525_16S_022_3	0.532816588878632	0	89.473684
ASV_223_16S_022_3	ASV_531_16S_022_3	0.609962522983551	0	54.545455
ASV_262_16S_022_3	ASV_533_16S_022_3	0.641383806292199	0	100.000000
ASV_327_16S_022_3	ASV_533_16S_022_3	0.769488871097565	0	100.000000
ASV_481_16S_022_3	ASV_533_16S_022_3	0.920542538166046	0	100.000000
ASV_365_16S_022_3	ASV_537_16S_022_3	0.627424418926239	0	85.714286
ASV_246_16S_022_3	ASV_538_16S_022_3	0.77734111003731	0	72.727273
ASV_103_16S_022_3	ASV_539_16S_022_3	0.81544996556603	0	100.000000
ASV_531_16S_022_3	ASV_539_16S_022_3	0.539957642555237	0	91.666667
ASV_97_16S_022_3	ASV_540_16S_022_3	0.5854892062525	0	100.000000
ASV_414_16S_022_3	ASV_540_16S_022_3	0.521776616829151	0	83.333333
ASV_317_16S_022_3	ASV_547_16S_022_3	0.752654913244579	0	81.250000
ASV_316_16S_022_3	ASV_552_16S_022_3	0.578014433383942	0	75.000000
ASV_428_16S_022_3	ASV_552_16S_022_3	0.554864585399628	0	100.000000
ASV_11_16S_022_3	ASV_553_16S_022_3	0.687030632008765	0	92.857143
ASV_53_16S_022_3	ASV_553_16S_022_3	0.594662070274353	0	85.714286
ASV_148_16S_022_3	ASV_553_16S_022_3	0.763457179069519	0	81.250000
ASV_490_16S_022_3	ASV_553_16S_022_3	0.792587345770158	0	92.307692
ASV_196_16S_022_3	ASV_560_16S_022_3	0.668465852737427	0	81.818182
ASV_138_16S_022_3	ASV_561_16S_022_3	0.849175289675378	0	92.307692
ASV_227_16S_022_3	ASV_561_16S_022_3	0.680507097288211	0	91.666667
ASV_332_16S_022_3	ASV_561_16S_022_3	0.628846246458105	0	91.666667
ASV_421_16S_022_3	ASV_561_16S_022_3	0.946404457092285	0	100.000000
ASV_453_16S_022_3	ASV_566_16S_022_3	0.657535374164581	0	87.500000
ASV_225_16S_022_3	ASV_569_16S_022_3	0.931833562639172	0	94.444444
