Source	Target	association_score	num_Triplets	MutualInformation	InterationInformation	II_p_value	DataProcessingInequality_MI_rank	DataProcessingInequality_indirect	COMBI_II_DPI
ASV_149_16S_022_3	ASV_1001_16S_022_3	-0.773842730792395	1	0.299220	-0.267244	0.000999	1	0	0
ASV_748_16S_022_3	ASV_1001_16S_022_3	0.893990942685456	1	0.697607	-0.604747	0.155844	3	1	1
ASV_8_16S_022_3	ASV_1000_16S_022_3	0.8027812666339	1	0.510817	-0.501116	0.251748	3	1	1
ASV_515_16S_022_3	ASV_1003_16S_022_3	0.980003101357241	1	0.728109	-0.689302	0.202797	3	1	1
ASV_510_16S_022_3	ASV_1006_16S_022_3	0.818610508945925	1	0.765633	-0.458628	0.000999	3	1	1
ASV_238_16S_022_3	ASV_1013_16S_022_3	0.641768276691437	1	0.586478	-0.527236	0.227772	3	1	1
ASV_361_16S_022_3	ASV_1013_16S_022_3	0.675530016422272	1	0.780324	-0.513515	0.048951	3	1	1
ASV_446_16S_022_3	ASV_1013_16S_022_3	0.742998361587524	1	0.726070	-0.410245	0.108891	3	1	1
ASV_90_16S_022_3	ASV_1014_16S_022_3	0.803245484828949	1	0.624516	-0.140024	0.131868	3	1	1
ASV_935_16S_022_3	ASV_1033_16S_022_3	0.802186454612983	1	0.660260	-0.370591	0.393606	3	1	1
ASV_345_16S_022_3	ASV_1077_16S_022_3	-0.766910852832204	1	0.369389	-0.316502	0.000999	2	1	1
ASV_184_16S_022_3	ASV_1080_16S_022_3	-0.538058444041367	1	0.375055	0.523423	nan	3	1	1
ASV_489_16S_022_3	ASV_1090_16S_022_3	0.98708445886377	1	0.981938	0.271503	nan	3	1	1
ASV_205_16S_022_3	ASV_1095_16S_022_3	0.57406622171402	1	0.679304	-0.234550	0.227772	3	1	1
ASV_405_16S_022_3	ASV_1102_16S_022_3	0.82200156675523	1	0.536577	-0.123987	0.498501	3	1	1
ASV_882_16S_022_3	ASV_1109_16S_022_3	0.9863221798227	1	0.616591	-0.470408	0.512488	3	1	1
ASV_573_16S_022_3	ASV_1113_16S_022_3	0.738656468979159	1	0.751829	-0.004785	0.310689	3	1	1
ASV_727_16S_022_3	ASV_1118_16S_022_3	0.813763214688671	1	0.637027	-0.476507	0.095904	3	1	1
ASV_698_16S_022_3	ASV_1123_16S_022_3	0.886460884602551	1	0.616591	-0.507808	0.417582	3	1	1
ASV_929_16S_022_3	ASV_1132_16S_022_3	0.754648918177312	1	0.728109	-0.638730	0.811189	3	1	1
ASV_748_16S_022_3	ASV_1130_16S_022_3	0.825456479606105	1	0.674214	-0.607584	0.263736	3	1	1
ASV_184_16S_022_3	ASV_1129_16S_022_3	0.968173384666443	1	0.828958	-0.165864	0.310689	3	1	1
ASV_251_16S_022_3	ASV_1129_16S_022_3	0.847181138638923	1	0.564029	-0.109038	0.322677	3	1	1
ASV_773_16S_022_3	ASV_1134_16S_022_3	0.745556888195622	1	0.465707	-0.316347	0.250749	3	1	1
ASV_271_16S_022_3	ASV_1161_16S_022_3	0.634882986545563	1	0.730341	-0.477669	0.095904	3	1	1
ASV_525_16S_022_3	ASV_1161_16S_022_3	0.747477851878826	1	0.536831	-0.099583	0.370629	3	1	1
ASV_603_16S_022_3	ASV_1167_16S_022_3	0.779033150791157	1	0.520879	0.163389	nan	3	1	1
ASV_155_16S_022_3	ASV_1165_16S_022_3	0.570205271244049	1	0.656767	-0.491980	0.024975	3	1	1
ASV_314_16S_022_3	ASV_1165_16S_022_3	0.688795328140259	1	0.634629	-0.275838	0.132867	3	1	1
ASV_604_16S_022_3	ASV_1211_16S_022_3	0.795439164899419	1	0.460389	1.028910	nan	3	1	1
ASV_315_16S_022_3	ASV_1221_16S_022_3	0.751480885986368	1	0.435770	-0.396962	0.131868	3	1	1
ASV_879_16S_022_3	ASV_1225_16S_022_3	0.680556907081519	1	0.533567	-0.464623	0.857143	3	1	1
ASV_1053_16S_022_3	ASV_1230_16S_022_3	0.626027430755337	1	0.602995	-0.481100	0.024975	3	1	1
ASV_748_16S_022_3	ASV_1234_16S_022_3	0.777509229120296	1	0.750859	-0.602847	0.526474	3	1	1
ASV_1019_16S_022_3	ASV_1238_16S_022_3	0.585050162357425	1	0.558186	-0.419266	0.418581	3	1	1
ASV_515_16S_022_3	ASV_1252_16S_022_3	0.536397695541382	1	0.482339	-0.494103	0.177822	3	1	1
ASV_1032_16S_022_3	ASV_1252_16S_022_3	0.81115112543458	1	0.472153	-0.433345	0.095904	3	1	1
ASV_238_16S_022_3	ASV_1273_16S_022_3	0.917755864147409	1	0.862569	-0.720843	0.382617	3	1	1
ASV_305_16S_022_3	ASV_1273_16S_022_3	0.756468485630262	1	0.734170	-0.224331	0.274725	3	1	1
ASV_772_16S_022_3	ASV_1273_16S_022_3	-0.660895586013794	1	0.527948	-0.418292	0.131868	3	1	1
ASV_394_16S_022_3	ASV_1277_16S_022_3	0.688673257827759	1	0.675162	0.333422	nan	3	1	1
ASV_916_16S_022_3	ASV_1285_16S_022_3	0.804180997252019	1	0.710243	-0.477433	0.597403	3	1	1
ASV_1070_16S_022_3	ASV_1319_16S_022_3	0.743521801587646	1	0.505888	-0.505888	0.332667	3	1	1
ASV_106_16S_022_3	ASV_1324_16S_022_3	0.67657083272934	1	0.497912	1.469948	nan	3	1	1
ASV_1132_16S_022_3	ASV_1329_16S_022_3	0.821829681139993	1	0.685718	-0.719201	0.167832	3	1	1
ASV_1018_16S_022_3	ASV_1342_16S_022_3	0.783206928756699	1	0.473294	1.686781	nan	3	1	1
ASV_911_16S_022_3	ASV_1358_16S_022_3	0.851488391508287	1	0.646965	-0.204004	0.502498	3	1	1
ASV_1040_16S_022_3	ASV_1392_16S_022_3	0.884832561016083	1	0.788383	0.805214	nan	3	1	1
ASV_661_16S_022_3	ASV_1398_16S_022_3	0.785620186739879	1	0.840904	0.317075	nan	3	1	1
ASV_1025_16S_022_3	ASV_1398_16S_022_3	0.975168843660942	1	0.999930	0.030542	nan	3	1	1
ASV_282_16S_022_3	ASV_1413_16S_022_3	0.668842494487762	1	0.583759	-0.332468	0.347652	3	1	1
ASV_427_16S_022_3	ASV_1413_16S_022_3	0.901871562004089	1	0.750777	-0.491566	0.264735	3	1	1
ASV_929_16S_022_3	ASV_1423_16S_022_3	0.982410768896495	1	0.788383	-0.768979	0.466533	3	1	1
ASV_1000_16S_022_3	ASV_1423_16S_022_3	0.637939989566803	1	0.593841	-0.694985	0.405594	3	1	1
ASV_1336_16S_022_3	ASV_1428_16S_022_3	0.56087201833725	1	0.558186	-0.493688	0.452547	3	1	1
ASV_595_16S_022_3	ASV_1468_16S_022_3	0.782169461250305	1	0.543412	-0.464766	0.358641	3	1	1
ASV_788_16S_022_3	ASV_1486_16S_022_3	0.605189085006714	1	0.523376	0.970359	nan	3	1	1
ASV_330_16S_022_3	ASV_1499_16S_022_3	0.971247656808959	1	0.957357	-0.777567	0.502498	3	1	1
ASV_724_16S_022_3	ASV_1506_16S_022_3	0.883120344705819	1	0.543412	1.558704	nan	3	1	1
ASV_791_16S_022_3	ASV_1506_16S_022_3	0.54491400718689	1	0.438329	1.422285	nan	3	1	1
ASV_1231_16S_022_3	ASV_1511_16S_022_3	0.823186472538603	1	0.533567	-0.494760	0.608392	3	1	1
ASV_1342_16S_022_3	ASV_1511_16S_022_3	0.631115138530731	1	0.616591	-0.677896	0.441558	3	1	1
ASV_733_16S_022_3	ASV_1522_16S_022_3	-0.757125494325336	1	0.426741	0.703907	nan	2	1	1
ASV_1428_16S_022_3	ASV_1536_16S_022_3	0.735751483544054	1	0.586556	-0.584598	0.452547	3	1	1
ASV_35_16S_022_3	ASV_1539_16S_022_3	-0.733372521432686	1	0.370650	0.096537	nan	2	1	1
ASV_1004_16S_022_3	ASV_1567_16S_022_3	0.690743446350098	1	0.510817	-0.510817	0.212787	3	1	1
ASV_604_16S_022_3	ASV_1580_16S_022_3	0.606176614761353	1	0.496044	-0.580648	0.357642	3	1	1
ASV_770_16S_022_3	ASV_1580_16S_022_3	0.784495382186339	1	0.365652	-0.402010	0.571429	3	1	1
ASV_1404_16S_022_3	ASV_1598_16S_022_3	0.988826196603215	1	0.746293	-0.549414	0.596404	3	1	1
ASV_1456_16S_022_3	ASV_1608_16S_022_3	0.734002670368054	1	0.765550	-0.187314	0.201798	3	1	1
ASV_1346_16S_022_3	ASV_1611_16S_022_3	0.602362871170044	1	0.533567	-0.404349	0.703297	3	1	1
ASV_724_16S_022_3	ASV_1630_16S_022_3	0.757541710719556	1	0.527948	-0.163610	0.585415	3	1	1
ASV_1346_16S_022_3	ASV_1635_16S_022_3	0.768217119294838	1	0.508949	-0.370029	0.500500	3	1	1
ASV_922_16S_022_3	ASV_1638_16S_022_3	0.829184295938532	1	0.642481	0.538853	nan	3	1	1
ASV_1195_16S_022_3	ASV_1659_16S_022_3	0.616169571876526	1	0.769043	-0.760372	0.538462	3	1	1
ASV_913_16S_022_3	ASV_1669_16S_022_3	0.902006115422346	1	0.566162	-0.257213	0.333666	3	1	1
ASV_1032_16S_022_3	ASV_1669_16S_022_3	0.560917383057927	1	0.415579	-0.265252	0.322677	3	1	1
ASV_1346_16S_022_3	ASV_1669_16S_022_3	0.608604561646983	1	0.496044	-0.379997	0.595405	3	1	1
ASV_1151_16S_022_3	ASV_1682_16S_022_3	0.584923326969147	1	0.438329	-0.329546	0.442557	3	1	1
ASV_1033_16S_022_3	ASV_1690_16S_022_3	0.787841975688934	1	0.663959	-0.597330	0.262737	3	1	1
ASV_1342_16S_022_3	ASV_1690_16S_022_3	0.592055916786194	1	0.784507	-0.748014	0.525475	3	1	1
ASV_1455_16S_022_3	ASV_1761_16S_022_3	0.760946975200633	1	0.625745	-0.589253	0.264735	3	1	1
ASV_852_16S_022_3	ASV_1766_16S_022_3	0.972977055838034	1	0.690586	-0.599858	0.381618	3	1	1
ASV_1035_16S_022_3	ASV_1787_16S_022_3	0.748088103142086	1	0.368211	-0.217883	0.631369	3	1	1
ASV_598_16S_022_3	ASV_1807_16S_022_3	0.983806154163916	1	0.819720	-0.504362	0.166833	3	1	1
ASV_860_16S_022_3	ASV_1844_16S_022_3	0.966283515015281	1	0.887846	-0.809200	0.929071	3	1	1
ASV_1536_16S_022_3	ASV_1860_16S_022_3	0.766512046665002	1	0.666679	-0.597060	0.299700	3	1	1
ASV_213_16S_022_3	ASV_1866_16S_022_3	0.832617566732581	1	0.379322	-0.185319	0.846154	2	1	1
ASV_487_16S_022_3	ASV_1868_16S_022_3	0.62377	1	0.494903	-0.556208	0.249750	3	1	1
ASV_1070_16S_022_3	ASV_1868_16S_022_3	0.79435357068309	1	0.460389	-0.421581	0.178821	3	1	1
ASV_595_16S_022_3	ASV_1875_16S_022_3	0.601109981536865	1	0.527948	-0.459004	0.454545	3	1	1
ASV_1073_16S_022_3	ASV_1875_16S_022_3	0.726201832294464	1	0.584911	-0.518281	0.370629	3	1	1
ASV_498_16S_022_3	ASV_1887_16S_022_3	0.869703626487956	1	0.959106	-0.779316	0.537463	3	1	1
ASV_1460_16S_022_3	ASV_1899_16S_022_3	0.741247897957668	1	0.573826	-0.433201	0.357642	3	1	1
ASV_724_16S_022_3	ASV_1896_16S_022_3	0.765815935027045	1	0.663959	1.519540	nan	3	1	1
ASV_1518_16S_022_3	ASV_1943_16S_022_3	0.818818246536477	1	0.658998	1.220593	nan	3	1	1
ASV_1093_16S_022_3	ASV_1958_16S_022_3	0.996021024952422	1	0.933911	-0.785899	0.227772	3	1	1
ASV_946_16S_022_3	ASV_1982_16S_022_3	0.756854865887365	1	0.533957	-0.397352	0.537463	3	1	1
ASV_1392_16S_022_3	ASV_1982_16S_022_3	0.546503961086273	1	0.571481	-0.530407	0.382617	3	1	1
ASV_106_16S_022_3	ASV_1991_16S_022_3	0.979090739343034	1	0.705360	-0.661971	0.346653	3	1	1
ASV_826_16S_022_3	ASV_2001_16S_022_3	0.752742100778184	1	0.661864	1.033254	nan	3	1	1
ASV_1876_16S_022_3	ASV_2035_16S_022_3	0.791900727352974	1	0.560905	-0.522098	0.131868	3	1	1
ASV_1347_16S_022_3	ASV_2066_16S_022_3	0.761750149675568	1	0.533567	-0.394647	0.941059	3	1	1
ASV_1132_16S_022_3	ASV_2096_16S_022_3	0.754130363437297	1	0.757315	-0.677638	0.548452	3	1	1
ASV_1292_16S_022_3	ASV_2111_16S_022_3	0.735888304097651	1	0.529162	-0.575693	0.404595	3	1	1
ASV_1238_16S_022_3	ASV_2139_16S_022_3	0.621046304702759	1	0.533567	-0.424784	0.393606	3	1	1
ASV_1025_16S_022_3	ASV_2171_16S_022_3	0.550087809562683	1	0.989556	-0.885829	0.287712	3	1	1
ASV_1598_16S_022_3	ASV_2183_16S_022_3	0.540975398216039	1	0.450544	-0.381599	0.537463	3	1	1
ASV_1598_16S_022_3	ASV_2271_16S_022_3	0.805000928548244	1	0.533567	-0.396962	0.584416	3	1	1
ASV_925_16S_022_3	ASV_2388_16S_022_3	0.992242597606857	1	0.616591	-0.507808	0.537463	3	1	1
ASV_284_16S_022_3	ASV_2403_16S_022_3	0.927249509838201	1	0.790049	-0.683581	0.406593	3	1	1
ASV_941_16S_022_3	ASV_2403_16S_022_3	0.66724	1	0.543412	-0.504605	0.382617	3	1	1
ASV_588_16S_022_3	OTU_7_18S_022_3	-0.863617699989948	1	0.510679	0.335510	nan	2	1	1
OTU_14_18S_022_3	OTU_22_18S_022_3	0.985573819685114	1	0.619150	-0.549174	0.083916	3	1	1
OTU_28_18S_022_3	OTU_29_18S_022_3	0.610430717468262	1	0.725505	-0.156643	0.715285	3	1	1
ASV_43_16S_022_3	OTU_33_18S_022_3	0.835517311433916	1	0.324450	-0.005609	0.642358	3	1	1
ASV_172_16S_022_3	OTU_59_18S_022_3	0.66269463300705	1	0.443949	-0.288415	0.083916	3	1	1
OTU_32_18S_022_3	OTU_59_18S_022_3	0.84193754196167	1	0.555176	0.248320	nan	3	1	1
ASV_362_16S_022_3	OTU_61_18S_022_3	0.79529054249731	1	0.581512	-0.361145	0.370629	3	1	1
ASV_1053_16S_022_3	OTU_58_18S_022_3	0.55091392993927	1	0.515219	-0.462296	0.000999	3	1	1
ASV_1056_16S_022_3	OTU_71_18S_022_3	-0.538064062595367	1	0.593841	-0.287709	0.655345	3	1	1
ASV_24_16S_022_3	OTU_76_18S_022_3	0.650264263153076	1	0.093947	-0.027342	0.084915	1	0	1
ASV_1690_16S_022_3	OTU_78_18S_022_3	-0.778648089491756	1	0.450405	-0.318381	0.334665	3	1	1
ASV_1752_16S_022_3	OTU_78_18S_022_3	-0.635741055011749	1	0.315525	-0.223340	0.286713	2	1	1
OTU_34_18S_022_3	OTU_79_18S_022_3	0.813198510144916	1	0.686056	-0.535654	0.227772	3	1	1
