Source	Target	Occurrence	Occurrence_Percentage	Source_Kingdom	Source_DivisionPhylum	Target_Kingdom	Target_DivisionPhylum
OTU_1833_18S_022_3	OTU_1942_18S_022_3	1	20	Eukaryota	Dinoflagellata	Eukaryota	Ochrophyta
OTU_184_18S_022_3	OTU_1420_18S_022_3	2	40	Eukaryota	Dinoflagellata	Eukaryota	Dinoflagellata
OTU_184_18S_3_200	OTU_1833_18S_3_200	2	40	Eukaryota	Dinoflagellata	Eukaryota	Dinoflagellata
OTU_184_18S_3_200	OTU_225_18S_3_200	2	40	Eukaryota	Dinoflagellata	Eukaryota	Ochrophyta
OTU_1841_18S_022_3	OTU_2139_18S_022_3	1	20	Eukaryota	Opalozoa	Eukaryota	Dinoflagellata
OTU_1841_18S_022_3	OTU_2142_18S_022_3	1	20	Eukaryota	Opalozoa	Eukaryota	Prasinodermophyta
OTU_1841_18S_022_3	OTU_6386_18S_022_3	1	20	Eukaryota	Opalozoa	Eukaryota	Cercozoa
OTU_1841_18S_3_200	OTU_3703_18S_3_200	1	20	Eukaryota	Opalozoa	Eukaryota	Picozoa
OTU_1843_18S_022_3	OTU_3745_18S_022_3	1	20	Eukaryota	Dinoflagellata	Eukaryota	Dinoflagellata
OTU_1859_18S_022_3	OTU_1025_18S_3_200	1	20	Eukaryota	Opalozoa	Eukaryota	Dinoflagellata
OTU_1869_18S_022_3	OTU_2690_18S_022_3	1	20	Eukaryota	Haptophyta	Eukaryota	Ochrophyta
OTU_1869_18S_022_3	OTU_755_18S_3_200	1	20	Eukaryota	Haptophyta	Eukaryota	Ochrophyta
OTU_1875_18S_022_3	OTU_2405_18S_022_3	1	20	Eukaryota	Ochrophyta	Eukaryota	Haptophyta
OTU_1875_18S_022_3	OTU_2570_18S_022_3	1	20	Eukaryota	Ochrophyta	Eukaryota	Haptophyta
OTU_1875_18S_022_3	OTU_3642_18S_022_3	1	20	Eukaryota	Ochrophyta	Eukaryota	Haptophyta
OTU_1876_18S_3_200	OTU_2979_18S_3_200	1	20	Eukaryota	Ochrophyta	Eukaryota	Ochrophyta
OTU_1878_18S_3_200	OTU_1937_18S_3_200	1	20	Eukaryota	Ochrophyta	Eukaryota	Ochrophyta
OTU_1888_18S_022_3	OTU_253_18S_3_200	1	20	Eukaryota	Dinoflagellata	Eukaryota	Ochrophyta
OTU_1895_18S_022_3	OTU_2082_18S_3_200	1	20	Eukaryota	Haptophyta	Eukaryota	Cercozoa
OTU_1895_18S_022_3	OTU_2341_18S_022_3	1	20	Eukaryota	Haptophyta	Eukaryota	Haptophyta
OTU_1895_18S_022_3	OTU_2853_18S_022_3	1	20	Eukaryota	Haptophyta	Eukaryota	Cercozoa
OTU_1895_18S_022_3	OTU_3043_18S_022_3	1	20	Eukaryota	Haptophyta	Eukaryota	Dinoflagellata
OTU_19_18S_022_3	OTU_1415_18S_022_3	1	20	Eukaryota	Cercozoa	Eukaryota	Haptophyta
OTU_19_18S_022_3	OTU_1869_18S_022_3	1	20	Eukaryota	Cercozoa	Eukaryota	Haptophyta
OTU_190_18S_022_3	OTU_1417_18S_022_3	1	20	Eukaryota	Dinoflagellata	Eukaryota	Ochrophyta
OTU_190_18S_022_3	OTU_461_18S_022_3	2	40	Eukaryota	Dinoflagellata	Eukaryota	Dinoflagellata
OTU_191_18S_022_3	OTU_3041_18S_022_3	2	40	Eukaryota	Ciliophora	Eukaryota	Ochrophyta
OTU_1911_18S_022_3	OTU_449_18S_3_200	1	20	Eukaryota	Sagenista	Eukaryota	Apicomplexa
OTU_1913_18S_3_200	OTU_2025_18S_3_200	2	40	Eukaryota	Cercozoa	Eukaryota	Dinoflagellata
OTU_1914_18S_022_3	OTU_3402_18S_3_200	1	20	Eukaryota	Opalozoa	Eukaryota	Dinoflagellata
OTU_192_18S_3_200	OTU_261_18S_3_200	2	40	Eukaryota	Ochrophyta	Eukaryota	Dinoflagellata
OTU_192_18S_3_200	OTU_3393_18S_3_200	2	40	Eukaryota	Ochrophyta	Eukaryota	Dinoflagellata
OTU_1922_18S_022_3	OTU_449_18S_3_200	1	20	Eukaryota	Ciliophora	Eukaryota	Apicomplexa
OTU_1925_18S_022_3	OTU_2012_18S_3_200	1	20	Eukaryota	Dinoflagellata	Eukaryota	Dinoflagellata
OTU_1925_18S_022_3	OTU_6743_18S_022_3	1	20	Eukaryota	Dinoflagellata	Eukaryota	Dinoflagellata
OTU_1933_18S_022_3	OTU_3553_18S_022_3	2	40	Eukaryota	Picozoa	Eukaryota	Dinoflagellata
