Source	Target	association_score	original	MutualInformation	ENV_daylength_InterationInformation	ENV_daylength_II_p_value	ENV_daylength_DataProcessingInequality_MI_rank	ENV_daylength_COMBI_II_DPI	ENV_Temperature_InterationInformation	ENV_Temperature_II_p_value	ENV_Temperature_DataProcessingInequality_MI_rank	ENV_Temperature_COMBI_II_DPI	ENV_Salinity_InterationInformation	ENV_Salinity_II_p_value	ENV_Salinity_DataProcessingInequality_MI_rank	ENV_Salinity_COMBI_II_DPI	ENV_NH4_InterationInformation	ENV_NH4_II_p_value	ENV_NH4_DataProcessingInequality_MI_rank	ENV_NH4_COMBI_II_DPI	ENV_NO2_InterationInformation	ENV_NO2_II_p_value	ENV_NO2_DataProcessingInequality_MI_rank	ENV_NO2_COMBI_II_DPI	ENV_NO3_InterationInformation	ENV_NO3_II_p_value	ENV_NO3_DataProcessingInequality_MI_rank	ENV_NO3_COMBI_II_DPI	ENV_PO4_InterationInformation	ENV_PO4_II_p_value	ENV_PO4_DataProcessingInequality_MI_rank	ENV_PO4_COMBI_II_DPI	ENV_Si_InterationInformation	ENV_Si_II_p_value	ENV_Si_DataProcessingInequality_MI_rank	ENV_Si_COMBI_II_DPI	COMBI_allENV
ASV_101_16S_022_3	ASV_433_16S_022_3	0.753950916213088	1	0.364511	-0.318574	0.167832	3	1	-0.36634	0.111888	3	1	-0.331	0.000999	3	1	0.002793	NA	3	1	0.087427	NA	3	1	0.157854	NA	3	1	0.025206	NA	2	1	-0.136609	0.528472	2	1	8
ASV_1014_16S_022_3	OTU_192_18S_3_200	-0.63116	1	0.4692	0.208369	NA	3	1	0.208369	NA	3	1	0.208369	NA	3	1	-0.130799	0.100899	3	1	0.087305	NA	3	1	0.063503	NA	3	1	-0.165903	0.131868	3	1	-0.126529	0.194805	3	1	8
ASV_1018_16S_022_3	ASV_1342_16S_022_3	0.783206928756699	1	0.473294	-0.418826	0.000999	3	1	-0.418826	0.000999	3	1	-0.418826	0.000999	3	1	0.08084	NA	3	1	1.686781	NA	3	1	1.208266	NA	3	1	-0.399768	0.11988	3	1	-0.416676	0.224775	3	1	8
ASV_1019_16S_022_3	ASV_1238_16S_022_3	0.585050162357425	1	0.558186	-0.558186	1	3	1	-0.558186	1	3	1	-0.558186	1	3	1	-0.449403	0.450549	3	1	-0.419266	0.418581	3	1	-0.449403	0.314685	3	1	-0.491557	0.668332	3	1	-0.44307	0.665335	3	1	8
ASV_1019_16S_022_3	OTU_1854_18S_3_200	0.550574077023413	1	0.520662	-0.466194	0.723277	3	1	-0.478702	0.000999	3	1	-0.478702	0.000999	3	1	-0.30384	0.699301	3	1	-0.473794	0.000999	3	1	-0.472153	0.104895	3	1	-0.426017	0.906094	3	1	0.030701	NA	3	1	8
ASV_1019_16S_022_3	OTU_258_18S_3_200	0.723524391651154	1	0.701483	-0.497016	0.000999	3	1	-0.497016	0.000999	3	1	-0.497016	0.000999	3	1	-0.275969	0.588412	3	1	-0.399798	0.155844	3	1	-0.436895	0.133866	3	1	0.58143	NA	3	1	0.215419	NA	3	1	8
ASV_1019_16S_022_3	OTU_2754_18S_3_200	0.586240708827972	1	0.450544	-0.396076	0.000999	3	1	-0.276213	0.835165	3	1	-0.396076	0.000999	3	1	-0.263858	0.788212	3	1	-0.260378	0.227772	3	1	-0.293995	0.331668	3	1	-0.375794	0.418581	3	1	0.41189	NA	3	1	8
ASV_1020_16S_022_3	OTU_177_18S_022_3	-0.809539726320244	1	0.498307	-0.233566	0.445554	3	1	-0.498307	0.555445	3	1	-0.498307	0.6004	3	1	0.020424	NA	3	1	-0.384878	0.24975	3	1	-0.279218	0.436563	3	1	0.434364	NA	3	1	-0.063248	0.251748	3	1	8
ASV_1025_16S_022_3	ASV_1398_16S_022_3	0.975168843660942	1	0.99993	-0.963091	0.668332	3	1	-0.975599	0.000999	3	1	-0.975599	0.000999	3	1	-0.139403	0.324675	3	1	0.030542	NA	3	1	-0.248031	0.518482	3	1	-0.848011	0.072927	3	1	0.129038	NA	3	1	8
ASV_1025_16S_022_3	ASV_2171_16S_022_3	0.550087809562683	1	0.989556	-0.915878	0.000999	3	1	-0.915878	0.000999	3	1	-0.915878	0.000999	3	1	-0.777854	0.264735	3	1	-0.885829	0.287712	3	1	-0.913224	0.154845	3	1	-0.933168	0.048951	3	1	0.126364	NA	3	1	8
ASV_1026_16S_022_3	OTU_2752_18S_3_200	-0.829617660826615	1	0.439382	1.21549	NA	3	1	-0.45789	0.778222	3	1	-0.45789	0.9001	3	1	0.107711	NA	3	1	1.068248	NA	3	1	0.777356	NA	3	1	0.010058	NA	3	1	0.181957	NA	3	1	8
ASV_103_16S_022_3	ASV_198_16S_022_3	0.746736474003712	1	0.465179	-0.396692	0.000999	3	1	-0.117802	0.447552	3	1	-0.117802	0.5005	3	1	-0.280471	0.302697	2	1	-0.386884	0.012987	2	1	-0.357161	0.010989	2	1	0.528654	NA	3	1	-0.410652	0.056943	3	1	8
ASV_103_16S_022_3	OTU_4111_18S_022_3	-0.647245943546295	1	0.296775	-0.317725	0.222777	3	1	-0.242992	0.223776	3	1	-0.242992	0.200799	3	1	0.046747	NA	2	1	0.48563	NA	2	1	0.374499	NA	2	1	-0.013729	0.715285	2	1	-0.2065	0.195804	1	1	8
ASV_1031_16S_022_3	OTU_1438_18S_3_200	0.619320273399353	1	0.475162	-0.46846	0.000999	3	1	-0.46846	0.000999	3	1	0.008135	NA	3	1	-0.152075	0.5005	3	1	0.727146	NA	3	1	0.45372	NA	3	1	0.13339	NA	3	1	-0.272442	0.38961	3	1	8
ASV_1031_16S_022_3	OTU_757_18S_3_200	-0.759275092856885	1	0.373094	-0.373094	0.556444	3	1	-0.373094	0.5005	3	1	0.430316	NA	3	1	-0.17287	0.213786	2	1	0.080078	NA	3	1	0.26845	NA	3	1	-0.083539	0.225774	3	1	-0.150083	0.27972	2	1	8
ASV_1032_16S_022_3	ASV_1252_16S_022_3	0.81115112543458	1	0.472153	-0.472153	1	3	1	-0.472153	1	3	1	-0.472153	1	3	1	-0.36337	0.262737	3	1	-0.433345	0.095904	3	1	-0.36337	0.599401	3	1	-0.433345	0.357642	3	1	-0.208618	0.889111	3	1	8
ASV_1032_16S_022_3	ASV_1669_16S_022_3	0.560917383057927	1	0.415579	-0.197023	0.834166	3	1	-0.320206	0.668332	3	1	-0.306643	0.000999	3	1	-0.271538	0.124875	3	1	-0.265252	0.322677	3	1	-0.251103	0.541459	3	1	-0.286361	0.346653	3	1	0.274705	NA	3	1	8
ASV_1032_16S_022_3	OTU_1736_18S_022_3	0.743421736856035	1	0.516096	-0.516096	0.722278	3	1	-0.516096	0.668332	3	1	-0.516096	0.5005	3	1	-0.407313	0.0999	3	1	-0.477288	0.060939	3	1	-0.407313	0.207792	3	1	-0.477288	0.178821	3	1	0.156009	NA	3	1	8
ASV_1032_16S_022_3	OTU_201_18S_022_3	0.535889921330065	1	0.61545	-0.428265	0.000999	3	1	-0.428265	0.000999	3	1	-0.516901	0.5005	3	1	-0.446393	0.086913	3	1	-0.512889	0.238761	3	1	-0.411135	0.25974	3	1	-0.564135	0.394605	3	1	0.265356	NA	3	1	8
ASV_1033_16S_022_3	ASV_1690_16S_022_3	0.787841975688934	1	0.663959	-0.663959	1	3	1	-0.663959	1	3	1	-0.663959	1	3	1	-0.541984	0.562438	3	1	-0.59733	0.262737	3	1	-0.457379	0.839161	3	1	-0.625152	0.000999	3	1	-0.55677	0.527473	3	1	8
ASV_1035_16S_022_3	ASV_1787_16S_022_3	0.748088103142086	1	0.368211	-0.368211	0.833167	3	1	-0.368211	0.778222	3	1	-0.368211	1	3	1	-0.407306	0.48951	3	1	-0.217883	0.631369	3	1	-0.281637	0.633367	3	1	-0.415233	0.702298	3	1	-0.311593	0.473526	3	1	8
ASV_1040_16S_022_3	ASV_1392_16S_022_3	0.884832561016083	1	0.788383	2.727812	NA	3	1	-0.746423	0.834166	3	1	-0.764052	0.000999	3	1	-0.157032	0.875125	3	1	0.805214	NA	3	1	0.69251	NA	3	1	0.111885	NA	3	1	-0.221512	0.554446	3	1	8
ASV_1040_16S_022_3	OTU_1479_18S_3_200	0.64392626285553	1	0.605896	-0.521291	0.777223	3	1	-0.533799	0.666334	3	1	-0.605896	0.8002	3	1	-0.522129	0.838162	3	1	-0.413891	0.56044	3	1	-0.610273	0.3996	3	1	0.181211	NA	3	1	-0.635659	0.166833	3	1	8
ASV_1053_16S_022_3	ASV_1230_16S_022_3	0.626027430755337	1	0.602995	-0.49406	0.000999	3	1	-0.49406	0.000999	3	1	-0.49406	0.000999	3	1	-0.534051	0.347652	3	1	-0.4811	0.024975	3	1	-0.516422	0.116883	3	1	-0.476092	0.572428	3	1	-0.126535	0.613387	3	1	8
ASV_1053_16S_022_3	OTU_3627_18S_022_3	0.70042	1	0.622336	-0.5134	0.000999	3	1	-0.5134	0.000999	3	1	-0.5134	0.000999	3	1	-0.432844	0.362637	3	1	-0.430465	0.048951	3	1	-0.448158	0.137862	3	1	0.428616	NA	3	1	-0.401446	0.415584	3	1	8
ASV_1053_16S_022_3	OTU_58_18S_022_3	0.55091392993927	1	0.515219	-0.456702	0.000999	3	1	-0.438378	0.390609	3	1	-0.53391	0.7003	3	1	-0.45263	0.038961	3	1	-0.462296	0.000999	3	1	-0.310904	0.062937	3	1	0.234316	NA	3	1	-0.155409	0.638362	3	1	8
ASV_1056_16S_022_3	ASV_1033_16S_3_200	0.736313880762559	1	0.533567	-0.533567	0.945055	3	1	-0.533567	0.944056	3	1	-0.533567	1	3	1	-0.49476	0.975025	3	1	-0.478469	0.786214	3	1	-0.550453	0.412587	3	1	0.475308	NA	3	1	-0.629099	0.193806	3	1	8
ASV_1056_16S_022_3	OTU_638_18S_022_3	-0.568535327911377	1	0.376939	-0.292334	0.278721	3	1	-0.376939	0.276723	3	1	-0.376939	0.300699	3	1	-0.009432	0.714286	3	1	-0.023581	0.583417	3	1	-0.027061	0.443556	3	1	0.249976	NA	2	1	0.090477	NA	1	1	8
ASV_1056_16S_022_3	OTU_71_18S_022_3	-0.538064062595367	1	0.593841	-0.593841	0.945055	3	1	-0.593841	0.944056	3	1	-0.641607	0.9001	3	1	-0.316205	0.863137	3	1	-0.287709	0.655345	3	1	-0.436261	0.375624	3	1	0.082961	NA	3	1	-0.352746	0.166833	3	1	8
ASV_106_16S_022_3	ASV_1324_16S_022_3	0.67657083272934	1	0.497912	3.322695	NA	3	1	-0.428469	0.668332	3	1	-0.334508	0.000999	3	1	0.389897	NA	3	1	1.469948	NA	3	1	0.927662	NA	3	1	0.211293	NA	3	1	-0.153466	0.333666	3	1	8
ASV_106_16S_022_3	ASV_1991_16S_022_3	0.979090739343034	1	0.70536	-0.70536	1	3	1	-0.70536	1	3	1	-0.70536	1	3	1	-0.674479	0.18981	3	1	-0.661971	0.346653	3	1	-0.681181	0.257742	3	1	-0.666552	0.322677	3	1	-0.632213	0.220779	3	1	8
ASV_1069_16S_022_3	OTU_1062_18S_022_3	0.969961762428284	1	0.496044	3.853333	NA	3	1	-0.279753	0.000999	3	1	-0.279753	0.000999	3	1	0.290082	NA	3	1	1.687456	NA	3	1	1.405039	NA	3	1	0.557223	NA	3	1	-0.018493	0.722278	3	1	8
ASV_1069_16S_022_3	OTU_1616_18S_022_3	0.599373757839203	1	0.41302	3.671402	NA	3	1	-0.304084	0.000999	3	1	-0.304084	0.000999	3	1	0.373105	NA	3	1	1.582474	NA	3	1	1.440297	NA	3	1	0.440226	NA	3	1	0.054829	NA	3	1	8
ASV_1069_16S_022_3	OTU_252_18S_3_200	0.551899433135986	1	0.342902	4.026739	NA	3	1	-0.20895	0.000999	3	1	-0.20895	0.000999	3	1	0.435297	NA	3	1	1.840598	NA	3	1	1.558181	NA	3	1	0.710365	NA	3	1	0.103769	NA	3	1	8
ASV_1069_16S_022_3	OTU_391_18S_022_3	0.587928712368011	1	0.342902	-0.214756	0.778222	3	1	-0.214756	0.723277	3	1	-0.20895	0.000999	3	1	-0.334975	0.311688	3	1	-0.335638	0.167832	3	1	-0.334975	0.450549	3	1	-0.330394	0.310689	3	1	0.249332	NA	3	1	8
ASV_1070_16S_022_3	ASV_1319_16S_022_3	0.743521801587646	1	0.505888	-0.505888	1	3	1	-0.505888	1	3	1	-0.505888	1	3	1	-0.590493	0.062937	3	1	-0.505888	0.332667	3	1	-0.536025	0.213786	3	1	-0.505888	0.154845	3	1	-0.475752	0.000999	3	1	8
ASV_1070_16S_022_3	ASV_1868_16S_022_3	0.79435357068309	1	0.460389	-0.460389	1	3	1	-0.460389	1	3	1	-0.460389	1	3	1	0.829865	NA	3	1	-0.421581	0.178821	3	1	-0.291332	0.518482	3	1	-0.460389	0.142857	3	1	-0.212546	0.054945	3	1	8
ASV_1073_16S_022_3	ASV_1875_16S_022_3	0.726201832294464	1	0.584911	-0.584911	1	3	1	-0.584911	1	3	1	-0.584911	1	3	1	0.554235	NA	3	1	-0.518281	0.370629	3	1	-0.395959	0.745255	3	1	-0.503458	0.143856	3	1	0.162818	NA	3	1	8
ASV_1073_16S_022_3	OTU_1052_18S_022_3	0.780467908398502	1	0.411879	-0.411879	1	3	1	-0.411879	1	3	1	-0.411879	1	3	1	-0.441272	0.712288	3	1	-0.41291	0.643357	3	1	-0.398627	0.547453	3	1	-0.489782	0.238761	3	1	-0.385602	0.64036	3	1	8
ASV_1073_16S_022_3	OTU_1965_18S_022_3	0.769519090652466	1	0.516999	-0.516999	1	3	1	-0.516999	1	3	1	-0.516999	1	3	1	0.183837	NA	3	1	-0.545901	0.417582	3	1	-0.364887	0.951049	3	1	0.366383	NA	3	1	0.237269	NA	3	1	8
ASV_1074_16S_022_3	OTU_1057_18S_022_3	-0.748991819247224	1	0.35092	-0.381057	0.5005	3	1	0.152331	NA	3	1	0.152331	NA	3	1	0.049579	NA	2	1	0.419172	NA	3	1	0.340646	NA	3	1	-0.064171	0.321678	3	1	0.290187	NA	3	1	8
ASV_1080_16S_022_3	OTU_1361_18S_3_200	0.756994182045542	1	0.459698	-0.435367	0.000999	3	1	-0.435367	0.000999	3	1	-0.435367	0.000999	3	1	-0.094457	0.100899	3	1	-0.414411	0.156843	3	1	-0.428818	0.182817	3	1	-0.383367	0.132867	3	1	0.874625	NA	3	1	8
ASV_1080_16S_022_3	OTU_424_18S_3_200	0.756240058485762	1	0.618548	-0.424999	0.000999	3	1	-0.424999	0.000999	3	1	-0.424999	0.000999	3	1	-0.366467	0.063936	3	1	0.717573	NA	3	1	0.343614	NA	3	1	0.08327	NA	3	1	-0.521223	0.140859	3	1	8
ASV_1086_16S_022_3	OTU_1604_18S_022_3	0.885663555941819	1	0.496044	-0.423947	0.000999	3	1	-0.423947	0.000999	3	1	-0.531986	0.9001	3	1	-0.448278	0.100899	3	1	-0.444798	0.000999	3	1	-0.448278	0.042957	3	1	-0.55647	0.440559	3	1	-0.426068	0.110889	3	1	8
ASV_1086_16S_022_3	OTU_3069_18S_022_3	0.611766189743258	1	0.448675	-0.448675	0.945055	3	1	-0.448675	0.945055	3	1	-0.448675	0.9001	3	1	-0.448675	0.4995	3	1	-0.418538	0.083916	3	1	-0.448675	0.12987	3	1	-0.409868	0.619381	3	1	-0.36407	0.276723	3	1	8
ASV_1086_16S_022_3	OTU_3627_18S_022_3	0.796322822570801	1	0.473294	-0.37106	0.000999	3	1	-0.37106	0.000999	3	1	-0.37106	0.000999	3	1	-0.407899	0.586414	3	1	-0.361774	0.083916	3	1	-0.425528	0.231768	3	1	0.495368	NA	3	1	-0.513132	0.276723	3	1	8
ASV_1086_16S_022_3	OTU_3836_18S_3_200	0.66809	1	0.448675	-0.574343	0.834166	3	1	-0.448675	0.945055	3	1	-0.448675	1	3	1	-0.423119	0.649351	3	1	-0.522795	0.130869	3	1	-0.548788	0.321678	3	1	-0.500278	0.726274	3	1	-0.508949	0.165834	3	1	8
ASV_1093_16S_022_3	ASV_1958_16S_022_3	0.996021024952422	1	0.933911	-0.861815	0.000999	3	1	-0.861815	0.000999	3	1	-0.831678	0.7003	3	1	0.022098	NA	3	1	-0.785899	0.227772	3	1	-0.689267	0.360639	3	1	-0.345254	0.953047	3	1	-0.071806	0.64036	3	1	8
ASV_1095_16S_022_3	OTU_4047_18S_022_3	0.754316185800445	1	0.56463	-0.334454	0.722278	3	1	-0.535372	0.000999	3	1	1.22954	NA	3	1	-0.012908	0.23976	3	1	-0.021673	0.417582	3	1	-0.156745	0.26973	3	1	0.380548	NA	3	1	-0.107545	0.193806	3	1	8
ASV_1102_16S_022_3	OTU_600_18S_022_3	0.59395	1	0.483797	0.340021	NA	3	1	-0.330116	0.000999	3	1	0.340021	NA	3	1	0.017845	NA	3	1	-0.066753	0.272727	3	1	0.034934	NA	3	1	0.202658	NA	3	1	0.760445	NA	3	1	8
ASV_111_16S_022_3	ASV_299_16S_022_3	0.836897810540674	1	0.649938	-0.484016	0.223776	3	1	-0.526373	0.167832	3	1	-0.248185	0.200799	3	1	-0.654865	0.012987	3	1	-0.237189	0.418581	3	1	-0.528646	0.004995	3	1	-0.640236	0.000999	3	1	-0.532331	0.195804	3	1	8
ASV_111_16S_022_3	ASV_395_16S_022_3	0.956461250782013	1	0.806566	-0.15688	0.278721	3	1	-0.629218	0.000999	3	1	-0.15688	0.200799	3	1	-0.726889	0.000999	3	1	-0.393818	0.132867	3	1	-0.685275	0.008991	3	1	-0.726889	0.000999	3	1	-0.528574	0.278721	3	1	8
ASV_111_16S_022_3	OTU_2256_18S_022_3	-0.746156236263447	1	0.357936	-0.299419	0.223776	3	1	-0.310644	0.000999	3	1	-0.347185	0.100899	3	1	-0.290767	0.000999	3	1	-0.209367	0.24975	3	1	-0.293263	0.02997	2	1	-0.037164	0.225774	1	1	-0.172323	0.250749	2	1	8
ASV_1112_16S_022_3	OTU_1325_18S_3_200	0.54906176028937	1	0.560495	2.726254	NA	3	1	-0.470963	0.000999	3	1	-0.470963	0.000999	3	1	0.146444	NA	3	1	0.842723	NA	3	1	0.768083	NA	3	1	0.18958	NA	3	1	-0.424404	0.555445	3	1	8
ASV_1112_16S_022_3	OTU_1474_18S_3_200	0.853666527318311	1	0.669502	2.513637	NA	3	1	-0.459701	0.000999	3	1	-0.459701	0.000999	3	1	-0.186028	0.625375	3	1	0.611353	NA	3	1	0.352047	NA	3	1	0.00622	NA	3	1	-0.418475	0.38961	3	1	8
ASV_1112_16S_022_3	OTU_3299_18S_3_200	0.60941	1	0.516962	-0.516962	1	3	1	-0.516962	1	3	1	-0.516962	1	3	1	-0.490663	0.000999	3	1	-0.522921	0.573427	3	1	-0.508292	0.452547	3	1	-0.45772	0.596404	3	1	-0.492257	0.166833	3	1	8
ASV_1122_16S_022_3	OTU_4097_18S_3_200	0.851213357995359	1	0.497622	-0.365251	0.833167	3	1	-0.485799	0.778222	3	1	-0.497622	1	3	1	-0.526524	0.749251	3	1	-0.34961	0.537463	3	1	-0.413364	0.485514	3	1	-0.542378	0.738262	3	1	-0.415652	0.362637	3	1	8
ASV_1122_16S_022_3	OTU_510_18S_022_3	0.654452979564667	1	0.394749	3.233354	NA	3	1	3.233354	NA	3	1	-0.215685	0.000999	3	1	0.092814	NA	3	1	1.144384	NA	3	1	1.058764	NA	3	1	0.198489	NA	3	1	-0.201934	0.335664	3	1	8
ASV_1122_16S_022_3	OTU_579_18S_022_3	-0.786452814503677	1	0.31116	1.207998	NA	3	1	1.04668	NA	3	1	-0.187605	0.300699	3	1	0.137595	NA	3	1	0.73101	NA	3	1	0.648506	NA	3	1	0.086483	NA	2	1	-0.245215	0.140859	2	1	8
ASV_1123_16S_022_3	OTU_421_18S_022_3	0.653246104717255	1	0.536126	-0.536126	1	3	1	-0.536126	1	3	1	-0.536126	1	3	1	-0.505246	0.537463	3	1	-0.427343	0.417582	3	1	-0.427343	0.591409	3	1	-0.497319	0.536464	3	1	0.512064	NA	3	1	8
ASV_113_16S_022_3	ASV_113_16S_3_200	0.809512818739816	1	0.373265	0.479343	NA	3	1	0.479343	NA	3	1	0.479343	NA	3	1	0.067563	NA	2	1	-0.060527	0.42957	3	1	-0.082139	0.494505	3	1	0.089156	NA	2	1	-0.113423	0.668332	3	1	8
ASV_113_16S_3_200	OTU_2608_18S_3_200	-0.63808	1	0.336307	-0.378951	0.779221	3	1	-0.378951	0.777223	3	1	-0.378951	0.6004	3	1	-0.046162	0.838162	3	1	1.153356	NA	1	1	0.769049	NA	3	1	-0.317993	0.155844	2	1	-0.015855	0.666334	3	1	8
ASV_1132_16S_022_3	ASV_1329_16S_022_3	0.821829681139993	1	0.685718	-0.648879	0.000999	3	1	-0.648879	0.000999	3	1	-0.648879	0.000999	3	1	-0.528138	0.112887	3	1	-0.719201	0.167832	3	1	-0.770313	0.306693	3	1	-0.566742	0.286713	3	1	-0.301626	0.446553	3	1	8
ASV_1132_16S_022_3	ASV_2096_16S_022_3	0.754130363437297	1	0.757315	-0.757315	1	3	1	-0.757315	1	3	1	-0.757315	1	3	1	-0.602541	0.386613	3	1	-0.677638	0.548452	3	1	-0.72875	0.276723	3	1	-0.678178	0.227772	3	1	-0.33871	0.362637	3	1	8
ASV_1133_16S_022_3	OTU_450_18S_022_3	0.732835942343326	1	0.623643	-0.623643	0.61039	3	1	-0.623643	0.557443	3	1	-0.387458	0.6004	3	1	-0.07192	0.675325	3	1	-0.598984	0.143856	3	1	-0.476796	0.033966	3	1	0.171391	NA	3	1	0.066793	NA	3	1	8
ASV_1151_16S_022_3	ASV_1682_16S_022_3	0.584923326969147	1	0.438329	-0.438329	1	3	1	-0.438329	1	3	1	-0.438329	1	3	1	-0.329546	0.436563	3	1	-0.329546	0.442557	3	1	-0.269272	0.657343	3	1	-0.399521	0.286713	3	1	-0.296086	0.696304	3	1	8
ASV_1151_16S_022_3	OTU_419_18S_022_3	-0.718483924865723	1	0.251073	-0.251073	1	3	1	-0.28121	0.722278	3	1	-0.28121	0.8002	3	1	0.098805	NA	2	1	-0.051879	0.216783	3	1	0.068668	NA	3	1	0.02883	NA	3	1	-0.251073	0.443556	2	1	8
