Source	Target	Occurrence	Occurrence_Percentage	Source_Kingdom	Source_DivisionPhylum	Target_Kingdom	Target_DivisionPhylum
OTU_2529_18S_022_3	OTU_1773_18S_3_200	1	12.5	Eukaryota	Dinoflagellata	Eukaryota	Chlorophyta
OTU_2529_18S_022_3	OTU_3038_18S_022_3	1	12.5	Eukaryota	Dinoflagellata	Eukaryota	Sagenista
OTU_2537_18S_022_3	OTU_258_18S_3_200	1	12.5	Eukaryota	Ciliophora	Eukaryota	Ciliophora
OTU_255_18S_022_3	OTU_1105_18S_3_200	3	37.5	Eukaryota	Cryptophyta	Eukaryota	Ochrophyta
OTU_2556_18S_022_3	OTU_203_18S_3_200	1	12.5	Eukaryota	Picozoa	Eukaryota	Ciliophora
OTU_256_18S_022_3	OTU_967_18S_022_3	3	37.5	Eukaryota	Ochrophyta	Eukaryota	Picozoa
OTU_2570_18S_022_3	OTU_1400_18S_3_200	3	37.5	Eukaryota	Haptophyta	Eukaryota	Cercozoa
OTU_2570_18S_022_3	OTU_2973_18S_022_3	3	37.5	Eukaryota	Haptophyta	Eukaryota	Dinoflagellata
OTU_2570_18S_022_3	OTU_3643_18S_022_3	3	37.5	Eukaryota	Haptophyta	Eukaryota	Haptophyta
OTU_258_18S_022_3	OTU_258_18S_3_200	1	12.5	Eukaryota	Ciliophora	Eukaryota	Ciliophora
OTU_258_18S_022_3	OTU_2611_18S_022_3	1	12.5	Eukaryota	Ciliophora	Eukaryota	Apusomonadidae
OTU_259_18S_022_3	OTU_1025_18S_3_200	2	25	Eukaryota	Mesomycetozoa	Eukaryota	Dinoflagellata
OTU_2599_18S_022_3	OTU_2866_18S_022_3	3	37.5	Eukaryota	Opalozoa	Eukaryota	Haptophyta
OTU_2599_18S_022_3	OTU_4891_18S_022_3	3	37.5	Eukaryota	Opalozoa	Eukaryota	Haptophyta
OTU_260_18S_3_200	OTU_1297_18S_3_200	4	50	Eukaryota	Dinoflagellata	Eukaryota	Chlorophyta
OTU_260_18S_3_200	OTU_1878_18S_3_200	3	37.5	Eukaryota	Dinoflagellata	Eukaryota	Ochrophyta
OTU_260_18S_3_200	OTU_2011_18S_3_200	4	50	Eukaryota	Dinoflagellata	Eukaryota	Dinoflagellata
OTU_260_18S_3_200	OTU_306_18S_3_200	4	50	Eukaryota	Dinoflagellata	Eukaryota	Dinoflagellata
OTU_260_18S_3_200	OTU_434_18S_3_200	4	50	Eukaryota	Dinoflagellata	Eukaryota	Dinoflagellata
OTU_260_18S_3_200	OTU_961_18S_3_200	4	50	Eukaryota	Dinoflagellata	Eukaryota	Ochrophyta
OTU_2605_18S_022_3	OTU_2457_18S_3_200	2	25	Eukaryota	Haptophyta	Eukaryota	Dinoflagellata
OTU_2605_18S_022_3	OTU_3368_18S_022_3	3	37.5	Eukaryota	Haptophyta	Eukaryota	Dinoflagellata
OTU_2605_18S_022_3	OTU_823_18S_3_200	3	37.5	Eukaryota	Haptophyta	Eukaryota	Haptophyta
OTU_2609_18S_022_3	OTU_2122_18S_3_200	3	37.5	Eukaryota	Centroheliozoa	Eukaryota	Ochrophyta
OTU_2609_18S_022_3	OTU_2197_18S_3_200	4	50	Eukaryota	Centroheliozoa	Eukaryota	Dinoflagellata
OTU_2611_18S_022_3	OTU_2742_18S_022_3	1	12.5	Eukaryota	Apusomonadidae	Eukaryota	unknown 18S
OTU_2611_18S_022_3	OTU_5053_18S_022_3	1	12.5	Eukaryota	Apusomonadidae	Eukaryota	Sagenista
OTU_2612_18S_022_3	OTU_1025_18S_3_200	2	25	Eukaryota	Ciliophora	Eukaryota	Dinoflagellata
OTU_262_18S_022_3	OTU_934_18S_022_3	8	100	Eukaryota	Cercozoa	Eukaryota	Cercozoa
OTU_2623_18S_022_3	OTU_2811_18S_022_3	2	25	Eukaryota	Dinoflagellata	Eukaryota	Ciliophora
OTU_2637_18S_022_3	OTU_513_18S_3_200	1	12.5	Eukaryota	Dinoflagellata	Eukaryota	Ochrophyta
OTU_2637_18S_022_3	OTU_832_18S_3_200	2	25	Eukaryota	Dinoflagellata	Eukaryota	Ochrophyta
OTU_2637_18S_3_200	OTU_3854_18S_3_200	3	37.5	Eukaryota	Dinoflagellata	Eukaryota	Dinoflagellata
OTU_2642_18S_022_3	OTU_2353_18S_3_200	1	12.5	Eukaryota	Dinoflagellata	Eukaryota	Ciliophora
OTU_2642_18S_022_3	OTU_2642_18S_3_200	2	25	Eukaryota	Dinoflagellata	Eukaryota	Dinoflagellata
OTU_2642_18S_3_200	OTU_6718_18S_3_200	2	25	Eukaryota	Dinoflagellata	Eukaryota	Cercozoa
OTU_2656_18S_022_3	OTU_2853_18S_022_3	3	37.5	Eukaryota	Haptophyta	Eukaryota	Cercozoa
OTU_2656_18S_022_3	OTU_5471_18S_022_3	3	37.5	Eukaryota	Haptophyta	Eukaryota	Haptophyta
