Source	Target	association_score
ASV_386_16S_022_3	ASV_392_16S_022_3	0.590017709385017
ASV_132_16S_022_3	ASV_396_16S_022_3	0.530401753279096
ASV_311_16S_022_3	ASV_396_16S_022_3	0.538688832488591
ASV_218_16S_022_3	ASV_397_16S_022_3	0.57076
ASV_274_16S_022_3	ASV_400_16S_022_3	0.55338584387192
ASV_193_16S_022_3	ASV_402_16S_022_3	0.820168134430121
ASV_185_16S_022_3	ASV_401_16S_022_3	0.931910014153259
ASV_225_16S_022_3	ASV_401_16S_022_3	0.521462346565947
ASV_312_16S_022_3	ASV_401_16S_022_3	0.610412013269483
ASV_218_16S_022_3	ASV_407_16S_022_3	-0.58763592770795
ASV_109_16S_022_3	ASV_408_16S_022_3	0.56431120634079
ASV_153_16S_022_3	ASV_408_16S_022_3	0.718317717055079
ASV_19_16S_022_3	ASV_410_16S_022_3	0.700259506702423
ASV_163_16S_022_3	ASV_410_16S_022_3	0.706401859673474
ASV_189_16S_022_3	ASV_414_16S_022_3	-0.549083967249259
ASV_226_16S_022_3	ASV_414_16S_022_3	-0.631913702974152
ASV_145_16S_022_3	ASV_421_16S_022_3	0.734014895910037
ASV_154_16S_022_3	ASV_421_16S_022_3	0.753625631332397
ASV_189_16S_022_3	ASV_422_16S_022_3	0.8807
ASV_318_16S_022_3	ASV_422_16S_022_3	0.921970170285537
ASV_388_16S_022_3	ASV_422_16S_022_3	0.603611469268799
ASV_155_16S_022_3	ASV_424_16S_022_3	0.627217173576355
ASV_282_16S_022_3	ASV_425_16S_022_3	0.763195395469666
ASV_309_16S_022_3	ASV_425_16S_022_3	0.642187476158142
ASV_136_16S_022_3	ASV_426_16S_022_3	0.644510865211487
ASV_222_16S_022_3	ASV_426_16S_022_3	0.574940323829651
ASV_424_16S_022_3	ASV_427_16S_022_3	-0.577604055404663
ASV_271_16S_022_3	ASV_429_16S_022_3	0.831741207829141
ASV_93_16S_022_3	ASV_430_16S_022_3	0.778830101969406
ASV_132_16S_022_3	ASV_430_16S_022_3	0.63159167766571
ASV_431_16S_022_3	ASV_437_16S_022_3	0.554123342037201
ASV_80_16S_022_3	ASV_440_16S_022_3	0.576558172702789
ASV_434_16S_022_3	ASV_444_16S_022_3	0.748847174363118
ASV_260_16S_022_3	ASV_448_16S_022_3	0.687943875789642
ASV_348_16S_022_3	ASV_448_16S_022_3	0.707747668399113
ASV_110_16S_022_3	ASV_449_16S_022_3	0.799998291550906
ASV_212_16S_022_3	ASV_449_16S_022_3	0.71045161459962
ASV_121_16S_022_3	ASV_452_16S_022_3	0.699319344465397
ASV_49_16S_022_3	ASV_453_16S_022_3	0.855163156116334
ASV_223_16S_022_3	ASV_456_16S_022_3	0.898394048213959
ASV_389_16S_022_3	ASV_456_16S_022_3	0.63885372877121
ASV_308_16S_022_3	ASV_461_16S_022_3	0.992179274559021
ASV_301_16S_022_3	ASV_462_16S_022_3	0.623971819877625
ASV_153_16S_022_3	ASV_463_16S_022_3	-0.724927723882192
ASV_126_16S_022_3	ASV_466_16S_022_3	0.631977293165216
ASV_273_16S_022_3	ASV_466_16S_022_3	0.789080971011481
ASV_41_16S_022_3	ASV_468_16S_022_3	-0.644050002098083
ASV_345_16S_022_3	ASV_473_16S_022_3	0.649796843906858
ASV_63_16S_022_3	ASV_475_16S_022_3	0.820413141556746
ASV_182_16S_022_3	ASV_475_16S_022_3	0.645206987857819
ASV_295_16S_022_3	ASV_475_16S_022_3	0.848136077938121
ASV_453_16S_022_3	ASV_476_16S_022_3	0.595009982585907
ASV_102_16S_022_3	ASV_478_16S_022_3	0.728323254372746
ASV_258_16S_022_3	ASV_478_16S_022_3	0.533245671943186
ASV_34_16S_022_3	ASV_479_16S_022_3	0.583488835325314
ASV_253_16S_022_3	ASV_488_16S_022_3	0.554239273071289
ASV_390_16S_022_3	ASV_490_16S_022_3	0.848124069750551
ASV_179_16S_022_3	ASV_491_16S_022_3	0.956443340485413
ASV_187_16S_022_3	ASV_494_16S_022_3	0.536593116795791
ASV_382_16S_022_3	ASV_494_16S_022_3	0.64298141002655
ASV_49_16S_022_3	ASV_495_16S_022_3	0.538196682929993
ASV_478_16S_022_3	ASV_495_16S_022_3	0.562215626239777
ASV_332_16S_022_3	ASV_497_16S_022_3	0.639007557267563
ASV_332_16S_022_3	ASV_499_16S_022_3	0.671285095035891
ASV_494_16S_022_3	ASV_499_16S_022_3	0.728946173057414
ASV_170_16S_022_3	ASV_502_16S_022_3	0.745665826749073
ASV_11_16S_022_3	ASV_503_16S_022_3	0.634228341040297
ASV_92_16S_022_3	ASV_503_16S_022_3	0.623354450078415
ASV_216_16S_022_3	ASV_503_16S_022_3	0.774387115250842
ASV_222_16S_022_3	ASV_503_16S_022_3	0.861074521376051
ASV_265_16S_022_3	ASV_503_16S_022_3	0.554611242183512
ASV_412_16S_022_3	ASV_503_16S_022_3	0.817787630188357
ASV_494_16S_022_3	ASV_503_16S_022_3	0.679722476306328
ASV_41_16S_022_3	ASV_504_16S_022_3	-0.687171041965485
ASV_113_16S_022_3	ASV_504_16S_022_3	-0.647536516189575
ASV_463_16S_022_3	ASV_504_16S_022_3	-0.716537333486536
ASV_347_16S_022_3	ASV_506_16S_022_3	0.877842366695404
ASV_477_16S_022_3	ASV_506_16S_022_3	0.550876140594482
ASV_36_16S_022_3	ASV_512_16S_022_3	0.906073717327522
ASV_215_16S_022_3	ASV_512_16S_022_3	0.757294264638914
ASV_386_16S_022_3	ASV_513_16S_022_3	0.606032192707062
ASV_282_16S_022_3	ASV_515_16S_022_3	0.538635015487671
ASV_416_16S_022_3	ASV_515_16S_022_3	0.606596341819623
ASV_11_16S_022_3	ASV_517_16S_022_3	0.557122945839839
ASV_169_16S_022_3	ASV_525_16S_022_3	0.532816588878632
ASV_223_16S_022_3	ASV_531_16S_022_3	0.609962522983551
ASV_262_16S_022_3	ASV_533_16S_022_3	0.641383806292199
ASV_327_16S_022_3	ASV_533_16S_022_3	0.769488871097565
ASV_481_16S_022_3	ASV_533_16S_022_3	0.920542538166046
ASV_365_16S_022_3	ASV_537_16S_022_3	0.627424418926239
ASV_246_16S_022_3	ASV_538_16S_022_3	0.77734111003731
ASV_103_16S_022_3	ASV_539_16S_022_3	0.81544996556603
ASV_531_16S_022_3	ASV_539_16S_022_3	0.539957642555237
ASV_97_16S_022_3	ASV_540_16S_022_3	0.5854892062525
ASV_414_16S_022_3	ASV_540_16S_022_3	0.521776616829151
ASV_317_16S_022_3	ASV_547_16S_022_3	0.752654913244579
ASV_316_16S_022_3	ASV_552_16S_022_3	0.578014433383942
ASV_428_16S_022_3	ASV_552_16S_022_3	0.554864585399628
ASV_11_16S_022_3	ASV_553_16S_022_3	0.687030632008765
ASV_53_16S_022_3	ASV_553_16S_022_3	0.594662070274353
ASV_148_16S_022_3	ASV_553_16S_022_3	0.763457179069519
ASV_490_16S_022_3	ASV_553_16S_022_3	0.792587345770158
ASV_196_16S_022_3	ASV_560_16S_022_3	0.668465852737427
ASV_138_16S_022_3	ASV_561_16S_022_3	0.849175289675378
ASV_227_16S_022_3	ASV_561_16S_022_3	0.680507097288211
ASV_332_16S_022_3	ASV_561_16S_022_3	0.628846246458105
ASV_421_16S_022_3	ASV_561_16S_022_3	0.946404457092285
ASV_453_16S_022_3	ASV_566_16S_022_3	0.657535374164581
ASV_225_16S_022_3	ASV_569_16S_022_3	0.931833562639172
ASV_74_16S_022_3	ASV_574_16S_022_3	0.552788297931898
ASV_137_16S_022_3	ASV_574_16S_022_3	0.812192829240289
ASV_340_16S_022_3	ASV_574_16S_022_3	0.793639972857327
ASV_333_16S_022_3	ASV_575_16S_022_3	0.629484951496124
ASV_294_16S_022_3	ASV_576_16S_022_3	0.522653579711914
ASV_207_16S_022_3	ASV_579_16S_022_3	0.786190330982208
ASV_154_16S_022_3	ASV_582_16S_022_3	0.896047928836906
ASV_269_16S_022_3	ASV_582_16S_022_3	0.841460466384888
ASV_490_16S_022_3	ASV_582_16S_022_3	0.664952332752629
ASV_495_16S_022_3	ASV_587_16S_022_3	0.997798465880844
ASV_268_16S_022_3	ASV_596_16S_022_3	0.601203092528356
ASV_129_16S_022_3	ASV_605_16S_022_3	0.59452711846925
ASV_578_16S_022_3	ASV_605_16S_022_3	0.554299473762512
ASV_556_16S_022_3	ASV_612_16S_022_3	0.618597200910426
ASV_103_16S_022_3	ASV_615_16S_022_3	0.522589325904846
ASV_387_16S_022_3	ASV_615_16S_022_3	0.888782476164145
ASV_304_16S_022_3	ASV_622_16S_022_3	0.534363031387329
ASV_61_16S_022_3	ASV_621_16S_022_3	0.92967814207077
ASV_300_16S_022_3	ASV_632_16S_022_3	0.768756151199341
ASV_340_16S_022_3	ASV_633_16S_022_3	0.819142614643077
ASV_552_16S_022_3	ASV_636_16S_022_3	0.628905801858927
ASV_124_16S_022_3	ASV_640_16S_022_3	0.778827095835761
ASV_411_16S_022_3	ASV_640_16S_022_3	0.579762399196625
ASV_455_16S_022_3	ASV_640_16S_022_3	0.55567
ASV_596_16S_022_3	ASV_640_16S_022_3	0.58605
ASV_206_16S_022_3	ASV_641_16S_022_3	0.722919821739197
ASV_234_16S_022_3	ASV_641_16S_022_3	0.918987996285235
ASV_259_16S_022_3	ASV_644_16S_022_3	0.538601160049438
ASV_643_16S_022_3	ASV_644_16S_022_3	0.867237998513598
ASV_66_16S_022_3	ASV_647_16S_022_3	0.571135572542995
ASV_281_16S_022_3	ASV_647_16S_022_3	0.555522527662224
ASV_61_16S_022_3	ASV_648_16S_022_3	0.562472952075617
ASV_361_16S_022_3	ASV_652_16S_022_3	0.981961607933044
ASV_427_16S_022_3	ASV_652_16S_022_3	0.994994129383024
ASV_517_16S_022_3	ASV_654_16S_022_3	0.771599411964417
ASV_331_16S_022_3	ASV_671_16S_022_3	0.656694889068604
ASV_6_16S_022_3	ASV_670_16S_022_3	0.635969936847687
ASV_416_16S_022_3	ASV_673_16S_022_3	0.55065530538559
ASV_370_16S_022_3	ASV_675_16S_022_3	0.676662365183799
ASV_428_16S_022_3	ASV_675_16S_022_3	0.888875365257263
ASV_560_16S_022_3	ASV_679_16S_022_3	0.535098791122437
ASV_647_16S_022_3	ASV_679_16S_022_3	0.762942185019818
ASV_14_16S_022_3	ASV_690_16S_022_3	-0.733412253078139
ASV_148_16S_022_3	ASV_697_16S_022_3	0.522626491953245
ASV_274_16S_022_3	ASV_697_16S_022_3	0.532688186573021
ASV_361_16S_022_3	ASV_699_16S_022_3	0.787374349254103
ASV_390_16S_022_3	ASV_708_16S_022_3	0.730462610721588
ASV_477_16S_022_3	ASV_708_16S_022_3	0.617392897605896
ASV_424_16S_022_3	ASV_709_16S_022_3	0.52889
ASV_652_16S_022_3	ASV_709_16S_022_3	0.522756218910217
ASV_560_16S_022_3	ASV_715_16S_022_3	0.6793372631073
ASV_284_16S_022_3	ASV_717_16S_022_3	0.809729163761672
ASV_259_16S_022_3	ASV_718_16S_022_3	0.725589990615845
ASV_363_16S_022_3	ASV_720_16S_022_3	0.959768056869507
ASV_426_16S_022_3	ASV_722_16S_022_3	0.602571904659271
ASV_455_16S_022_3	ASV_722_16S_022_3	0.624232234720192
ASV_269_16S_022_3	ASV_723_16S_022_3	0.798504652750535
ASV_519_16S_022_3	ASV_723_16S_022_3	0.583477494126766
ASV_396_16S_022_3	ASV_728_16S_022_3	0.673612892627716
ASV_643_16S_022_3	ASV_728_16S_022_3	0.643416088961566
ASV_556_16S_022_3	ASV_730_16S_022_3	0.657351927548132
ASV_411_16S_022_3	ASV_736_16S_022_3	0.551987171173096
ASV_599_16S_022_3	ASV_737_16S_022_3	0.990029361910945
ASV_463_16S_022_3	ASV_738_16S_022_3	0.953729152679443
ASV_599_16S_022_3	ASV_739_16S_022_3	0.68996
ASV_348_16S_022_3	ASV_746_16S_022_3	0.710522913842786
ASV_540_16S_022_3	ASV_747_16S_022_3	0.88541488751137
ASV_311_16S_022_3	ASV_749_16S_022_3	0.597425937652588
ASV_533_16S_022_3	ASV_749_16S_022_3	0.626314837278835
ASV_506_16S_022_3	ASV_751_16S_022_3	0.568505765224715
ASV_749_16S_022_3	ASV_751_16S_022_3	0.667113449218751
ASV_187_16S_022_3	ASV_752_16S_022_3	0.87272831251715
ASV_281_16S_022_3	ASV_752_16S_022_3	0.61543461680209
ASV_383_16S_022_3	ASV_755_16S_022_3	0.640501666675976
ASV_61_16S_022_3	ASV_758_16S_022_3	0.547837972640991
ASV_539_16S_022_3	ASV_758_16S_022_3	0.616849303245544
ASV_610_16S_022_3	ASV_759_16S_022_3	0.543830335140228
ASV_23_16S_022_3	ASV_767_16S_022_3	0.553626658251392
ASV_212_16S_022_3	ASV_767_16S_022_3	0.626362603340833
ASV_382_16S_022_3	ASV_779_16S_022_3	0.862553000450134
ASV_350_16S_022_3	ASV_782_16S_022_3	0.55638
ASV_588_16S_022_3	ASV_782_16S_022_3	0.710457859110953
ASV_6_16S_022_3	ASV_784_16S_022_3	0.73843
ASV_134_16S_022_3	ASV_784_16S_022_3	0.55525
