Source	Target	Weight	MutualInformation	num_Triplets	percentage_co_occurrence	EA.20130423	EA.20130604	EA.20130625	EA.20131127	EA.20131230	EA.20140415	EA.20140514	EA.20140930	EA.20141029	EA.20150227	EA.20150328	EA.20150516	EA.20150627	EA.20150801	EA.20150829	EA.20151006	EA.20151208	EA.20160225	EA.20160322	EA.20160502	EA.20160611	EA.20160822
ASV_1221_16S_022_3	OTU_3152_18S_3_200	0.758565093810601	0.496044	0	66.666667	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0
ASV_1221_16S_022_3	OTU_3517_18S_3_200	0.749360740184784	0.543412	0	83.333333	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0
ASV_1222_16S_3_200	ASV_2540_16S_3_200	0.788367981095441	0.651396	0	75	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	1
ASV_1225_16S_022_3	OTU_1063_18S_3_200	0.640612423419952	0.395844	0	62.5	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0
ASV_1225_16S_022_3	OTU_2696_18S_3_200	0.633332908153534	0.533567	0	80	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1225_16S_022_3	OTU_4005_18S_3_200	0.921104689580679	0.556317	0	80	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
ASV_1230_16S_022_3	OTU_3758_18S_022_3	0.929824965975682	0.66026	0	85.714286	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0
ASV_1230_16S_022_3	OTU_936_18S_022_3	0.809170240035485	0.643929	0	71.428571	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0
ASV_1231_16S_022_3	ASV_1511_16S_022_3	0.823186472538603	0.533567	0	80	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0
ASV_1231_16S_3_200	OTU_1124_18S_3_200	0.762928075484269	0.577236	0	60	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	1	0	1	0
ASV_1237_16S_022_3	OTU_2124_18S_3_200	0.8301148112907	0.434629	0	71.428571	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0
ASV_1238_16S_022_3	ASV_2139_16S_022_3	0.621046304702759	0.533567	0	80	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1
ASV_1238_16S_022_3	OTU_2412_18S_022_3	0.659122109413147	0.473294	0	80	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
ASV_125_16S_022_3	OTU_127_18S_022_3	0.66198	0.324944	0	95.238095	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1
ASV_1262_16S_3_200	ASV_1502_16S_3_200	0.795225644234746	0.907752	0	85.714286	0	0	0	0	0	0	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	0
ASV_127_16S_022_3	ASV_1519_16S_3_200	0.926970862357199	0.415579	0	66.666667	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0
ASV_1272_16S_022_3	OTU_1570_18S_3_200	0.912532066077386	0.532032	0	87.5	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0
ASV_1272_16S_022_3	OTU_898_18S_3_200	0.54345	0.516853	0	75	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0
ASV_1277_16S_022_3	OTU_387_18S_3_200	0.789560993479639	0.65685	0	70	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0
ASV_128_16S_022_3	ASV_159_16S_022_3	0.67879	0.726542	0	90.909091	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ASV_1292_16S_022_3	ASV_2111_16S_022_3	0.735888304097651	0.529162	0	66.666667	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	1	1	0
ASV_13_16S_022_3	ASV_91_16S_022_3	0.630048155784607	0.430929	0	100	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1
ASV_13_16S_022_3	OTU_1132_18S_3_200	-0.740953780686071	0.446481	0	72.727273	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	1	1	0
ASV_131_16S_022_3	ASV_520_16S_022_3	0.653575122356415	0.721882	0	94.444444	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	0	1	1	1	1
ASV_131_16S_022_3	OTU_1681_18S_3_200	-0.561797201633453	0.259345	0	9.52381	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1312_16S_022_3	OTU_1727_18S_3_200	0.645741105079651	0.536126	0	66.666667	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ASV_1312_16S_022_3	OTU_3220_18S_022_3	0.738270455853141	0.5964	0	66.666667	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
ASV_1312_16S_022_3	OTU_4257_18S_3_200	0.831010132234599	0.593841	0	80	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ASV_1312_16S_022_3	OTU_533_18S_022_3	0.619934141635895	0.453103	0	66.666667	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ASV_1315_16S_022_3	ASV_532_16S_3_200	-0.641829133033752	0.398548	0	4.761905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ASV_1315_16S_022_3	OTU_539_18S_022_3	0.796589153863502	0.61846	0	83.333333	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0
ASV_1324_16S_022_3	OTU_559_18S_022_3	0.56443	0.338175	0	50	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
ASV_1330_16S_022_3	OTU_224_18S_3_200	0.775342988270725	0.534906	0	69.230769	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	1	1	1
ASV_1336_16S_022_3	ASV_1428_16S_022_3	0.56087201833725	0.558186	0	71.428571	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0
ASV_1336_16S_022_3	OTU_1704_18S_3_200	0.835209231350889	0.533567	0	80	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ASV_1336_16S_022_3	OTU_3121_18S_022_3	0.631650144855255	0.533567	0	80	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0
ASV_1342_16S_022_3	ASV_1511_16S_022_3	0.631115138530731	0.616591	0	66.666667	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0
ASV_1342_16S_022_3	ASV_1690_16S_022_3	0.592055916786194	0.784507	0	83.333333	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0
ASV_1346_16S_022_3	ASV_1611_16S_022_3	0.602362871170044	0.533567	0	66.666667	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
ASV_1346_16S_022_3	ASV_1635_16S_022_3	0.768217119294838	0.508949	0	60	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
ASV_1346_16S_022_3	ASV_1669_16S_022_3	0.608604561646983	0.496044	0	80	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
ASV_1346_16S_022_3	OTU_5165_18S_3_200	0.878935058041187	0.676865	0	80	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
ASV_1347_16S_022_3	ASV_2066_16S_022_3	0.761750149675568	0.533567	0	66.666667	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0
ASV_1347_16S_022_3	OTU_1215_18S_3_200	0.734670460224152	0.496044	0	80	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0
ASV_1359_16S_3_200	OTU_2390_18S_3_200	0.580086767673492	0.510252	0	66.666667	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	1	0	0	0	1	0	1
ASV_1376_16S_022_3	OTU_1659_18S_3_200	0.732510793847873	0.352746	0	57.142857	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1
ASV_1388_16S_022_3	OTU_2348_18S_3_200	0.760314317143828	0.365652	0	60	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASV_1389_16S_022_3	OTU_598_18S_3_200	0.783705959427918	0.387261	0	66.666667	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ASV_1392_16S_022_3	ASV_1982_16S_022_3	0.546503961086273	0.571481	0	66.666667	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1
ASV_1404_16S_022_3	ASV_1598_16S_022_3	0.988826196603215	0.746293	0	100	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0
ASV_1422_16S_3_200	OTU_2605_18S_3_200	0.606128513813019	0.305378	0	60	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1422_16S_3_200	OTU_5496_18S_3_200	0.540446817874908	0.388401	0	60	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1422_16S_3_200	OTU_954_18S_3_200	0.901151625729989	0.533567	0	80	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1424_16S_022_3	OTU_1312_18S_3_200	0.848089643469098	0.602995	0	66.666667	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0
ASV_1424_16S_3_200	OTU_2099_18S_3_200	0.760241213588659	0.518794	0	57.142857	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0
ASV_1428_16S_022_3	ASV_1536_16S_022_3	0.735751483544054	0.586556	0	62.5	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0
