ASV	BL.20130417	BL.20130507	BL.20130604	BL.20130709	BL.20130801	BL.20130917	BL.20131015	BL.20140114	BL.20140211	BL.20140310	BL.20141007	BL.20141111	BL.20150113	BL.20150210	BL.20150916	BL.20151006	BL.20151110	BL.20151215	BL.20160119	BL.20160210	BL.20160308	BL.20160405	BL.20160504
ASV_462_16S_022_3	0	0	0	0	0	0	0	39	83	0	0	38	23	112	0	0	28	31	84	19	36	0	4
ASV_463_16S_022_3	9	0	0	0	0	0	0	47	95	53	0	15	36	228	0	0	36	153	111	32	69	26	0
ASV_466_16S_022_3	0	0	13	0	0	21	16	30	39	31	65	128	16	59	48	206	53	98	77	24	30	24	13
ASV_468_16S_022_3	0	0	0	143	195	78	46	0	0	0	0	0	0	0	118	47	0	0	0	0	0	0	0
ASV_469_16S_022_3	0	0	0	0	0	0	0	32	0	33	32	18	0	5	20	0	0	0	0	0	43	0	42
ASV_470_16S_022_3	0	0	72	0	0	54	0	0	83	38	0	67	0	108	45	0	0	0	57	35	43	42	125
ASV_472_16S_022_3	0	0	0	0	0	42	147	36	0	0	101	322	0	0	67	134	117	170	0	0	0	0	0
ASV_473_16S_022_3	0	0	0	0	0	0	0	12	0	0	7	13	39	0	3	5	9	3	10	4	3	9	8
ASV_475_16S_022_3	0	0	106	21	9	0	9	0	0	8	16	33	0	0	158	97	18	0	0	0	4	6	168
ASV_474_16S_022_3	48	31	0	31	0	37	0	0	45	0	23	48	21	0	149	46	0	0	45	161	58	13	20
ASV_477_16S_022_3	0	0	0	0	0	0	0	196	163	212	0	0	34	159	0	0	0	18	51	67	153	95	0
ASV_476_16S_022_3	0	0	0	71	58	62	29	0	0	0	45	22	0	0	63	43	0	0	0	0	0	0	29
ASV_478_16S_022_3	0	0	0	61	82	0	54	0	0	0	107	82	0	0	153	91	0	0	0	0	0	0	54
ASV_479_16S_022_3	0	0	18	48	58	88	128	0	0	38	62	103	0	0	79	79	103	0	42	0	0	0	124
ASV_481_16S_022_3	0	0	0	0	0	0	0	118	146	46	0	0	152	75	0	0	0	58	146	66	47	69	0
ASV_482_16S_022_3	0	0	61	0	18	310	66	0	63	0	0	0	0	49	0	0	0	0	0	0	59	61	33
ASV_484_16S_022_3	0	0	5	29	23	0	0	11	8	27	22	171	9	0	38	42	35	9	0	0	0	0	0
ASV_486_16S_022_3	0	0	0	0	0	0	0	0	0	20	0	0	0	291	0	31	153	108	13	276	75	32	15
ASV_488_16S_022_3	0	0	0	0	0	0	0	0	0	25	9	129	20	88	0	22	13	49	0	43	34	38	13
ASV_489_16S_022_3	0	0	27	0	0	0	0	25	49	0	0	72	31	92	0	23	0	37	42	26	31	0	54
ASV_490_16S_022_3	0	0	0	0	0	0	0	81	95	50	0	26	70	147	0	0	38	114	148	17	30	10	0
