Source	Target	Occurrence	Occurrence_Percentage	Source_Kingdom	Source_DivisionPhylum	Target_Kingdom	Target_DivisionPhylum
OTU_23_18S_022_3	OTU_851_18S_022_3	5	83.33	Eukaryota	Chlorophyta	Eukaryota	Ochrophyta
OTU_2300_18S_022_3	OTU_3539_18S_022_3	1	16.67	Eukaryota	Opalozoa	Eukaryota	Haptophyta
OTU_2300_18S_022_3	OTU_561_18S_3_200	1	16.67	Eukaryota	Opalozoa	Eukaryota	Dinoflagellata
OTU_2306_18S_3_200	OTU_3547_18S_3_200	2	33.33	Eukaryota	Picozoa	Eukaryota	Cercozoa
OTU_2312_18S_022_3	OTU_2547_18S_3_200	1	16.67	Eukaryota	Ciliophora	Eukaryota	Dinoflagellata
OTU_2313_18S_3_200	OTU_2608_18S_3_200	1	16.67	Eukaryota	Dinoflagellata	Eukaryota	Dinoflagellata
OTU_2328_18S_022_3	OTU_2071_18S_3_200	1	16.67	Eukaryota	Sagenista	Eukaryota	Dinoflagellata
OTU_2331_18S_3_200	OTU_2767_18S_3_200	3	50	Eukaryota	Cercozoa	Eukaryota	Choanoflagellida
OTU_2337_18S_022_3	OTU_2011_18S_3_200	2	33.33	Eukaryota	Cercozoa	Eukaryota	Dinoflagellata
OTU_2337_18S_022_3	OTU_5537_18S_3_200	2	33.33	Eukaryota	Cercozoa	Eukaryota	Dinoflagellata
OTU_234_18S_022_3	OTU_1163_18S_022_3	4	66.67	Eukaryota	Pseudofungi	Eukaryota	Opalozoa
OTU_234_18S_022_3	OTU_271_18S_022_3	2	33.33	Eukaryota	Pseudofungi	Eukaryota	Ochrophyta
OTU_2341_18S_022_3	OTU_3043_18S_022_3	1	16.67	Eukaryota	Haptophyta	Eukaryota	Dinoflagellata
OTU_2341_18S_022_3	OTU_5149_18S_022_3	1	16.67	Eukaryota	Haptophyta	Eukaryota	Dinoflagellata
OTU_2350_18S_022_3	OTU_3111_18S_022_3	1	16.67	Eukaryota	Haptophyta	Eukaryota	Dinoflagellata
OTU_2350_18S_022_3	OTU_583_18S_3_200	1	16.67	Eukaryota	Haptophyta	Eukaryota	Dinoflagellata
OTU_2362_18S_022_3	OTU_331_18S_3_200	1	16.67	Eukaryota	Centroheliozoa	Eukaryota	Ochrophyta
OTU_2362_18S_022_3	OTU_4_18S_3_200	1	16.67	Eukaryota	Centroheliozoa	Eukaryota	Dinoflagellata
OTU_2362_18S_022_3	OTU_4955_18S_022_3	1	16.67	Eukaryota	Centroheliozoa	Eukaryota	Dinoflagellata
OTU_2373_18S_3_200	OTU_2638_18S_3_200	2	33.33	Eukaryota	Ciliophora	Eukaryota	Ochrophyta
OTU_239_18S_022_3	OTU_2791_18S_022_3	1	16.67	Eukaryota	Cercozoa	Eukaryota	Dinoflagellata
OTU_2390_18S_022_3	OTU_417_18S_3_200	2	33.33	Eukaryota	Ciliophora	Eukaryota	Cercozoa
OTU_24_18S_022_3	OTU_438_18S_022_3	5	83.33	Eukaryota	Chlorophyta	Eukaryota	Picozoa
OTU_2412_18S_022_3	OTU_258_18S_3_200	4	66.67	Eukaryota	Cercozoa	Eukaryota	Ciliophora
OTU_2412_18S_022_3	OTU_2716_18S_022_3	4	66.67	Eukaryota	Cercozoa	Eukaryota	Cercozoa
OTU_2412_18S_022_3	OTU_3783_18S_022_3	3	50	Eukaryota	Cercozoa	Eukaryota	Katablepharidophyta
