Source	Target	association_score	original	MutualInformation	ENV_daylength_InterationInformation	ENV_daylength_II_p_value	ENV_daylength_DataProcessingInequality_MI_rank	ENV_daylength_COMBI_II_DPI	ENV_Temperature_InterationInformation	ENV_Temperature_II_p_value	ENV_Temperature_DataProcessingInequality_MI_rank	ENV_Temperature_COMBI_II_DPI	ENV_Salinity_InterationInformation	ENV_Salinity_II_p_value	ENV_Salinity_DataProcessingInequality_MI_rank	ENV_Salinity_COMBI_II_DPI	ENV_NH4_InterationInformation	ENV_NH4_II_p_value	ENV_NH4_DataProcessingInequality_MI_rank	ENV_NH4_COMBI_II_DPI	ENV_NO2_InterationInformation	ENV_NO2_II_p_value	ENV_NO2_DataProcessingInequality_MI_rank	ENV_NO2_COMBI_II_DPI	ENV_NO3_InterationInformation	ENV_NO3_II_p_value	ENV_NO3_DataProcessingInequality_MI_rank	ENV_NO3_COMBI_II_DPI	ENV_PO4_InterationInformation	ENV_PO4_II_p_value	ENV_PO4_DataProcessingInequality_MI_rank	ENV_PO4_COMBI_II_DPI	ENV_Si_InterationInformation	ENV_Si_II_p_value	ENV_Si_DataProcessingInequality_MI_rank	ENV_Si_COMBI_II_DPI	COMBI_allENV
ASV_1042_16S_022_3	ASV_96_16S_3_200	0.710397973322887	1	0.682767	-0.682767	0.65035	3	1	-0.682767	0.356643	3	1	-0.78964	0.636364	3	1	-0.562335	0.647353	3	1	-0.73784	0.417582	3	1	-0.596124	0.467532	3	1	-0.529064	0.917083	3	1	-0.620097	0.197802	3	1	8
ASV_1042_16S_022_3	OTU_5090_18S_3_200	0.576860177721575	1	0.648598	-0.578849	0.000999	3	1	-0.581538	0.000999	3	1	2.319235	NA	3	1	-0.585928	0.236763	3	1	-0.715658	0.333666	3	1	-0.569551	0.568432	3	1	-0.648598	0.4995	3	1	-0.51532	0.591409	3	1	8
ASV_1043_16S_022_3	OTU_1263_18S_022_3	0.70751194397162	1	0.533073	-0.533073	1	3	1	-0.533073	1	3	1	-0.533073	0.636364	3	1	-0.533073	1	3	1	-0.549968	1	3	1	-0.533073	1	3	1	-0.533073	1	3	1	-0.533073	1	3	1	8
ASV_1043_16S_022_3	OTU_1575_18S_022_3	0.578850269317627	1	0.446527	-0.446527	1	3	1	-0.446527	1	3	1	-0.446527	0.727273	3	1	-0.446527	1	3	1	-0.446527	0.917083	3	1	-0.446527	1	3	1	-0.446527	1	3	1	-0.446527	1	3	1	8
ASV_1043_16S_022_3	OTU_2317_18S_022_3	0.670318305492401	1	0.432369	-0.432369	1	3	1	-0.432369	1	3	1	-0.432369	0.636364	3	1	-0.432369	1	3	1	-0.432369	1	3	1	-0.432369	1	3	1	-0.432369	1	3	1	-0.432369	1	3	1	8
ASV_1043_16S_022_3	OTU_493_18S_022_3	0.595469176769257	1	0.407682	-0.407682	1	3	1	-0.407682	1	3	1	-0.520518	0.636364	3	1	-0.407682	1	3	1	-0.41698	1	3	1	-0.407682	1	3	1	-0.407682	1	3	1	-0.407682	1	3	1	8
ASV_1043_16S_022_3	OTU_791_18S_3_200	0.522135651791967	1	0.439968	-0.439968	1	3	1	-0.439968	1	3	1	-0.439968	0.636364	3	1	-0.439968	1	3	1	-0.468849	0.917083	3	1	-0.439968	1	3	1	-0.439968	1	3	1	-0.439968	0.928072	3	1	8
ASV_1044_16S_022_3	OTU_1844_18S_022_3	0.52556	1	0.527857	-0.530421	0.050949	3	1	-0.509261	0.143856	3	1	-0.551174	0.818182	3	1	1.29881	NA	3	1	-0.006075	0.5005	3	1	-0.423006	0.4995	3	1	-0.537154	0.251748	3	1	-0.344755	0.537463	3	1	8
ASV_1047_16S_022_3	OTU_2848_18S_3_200	0.540817975997925	1	0.435861	-0.349217	0.250749	3	1	-0.435861	1	3	1	2.922646	NA	3	1	-0.34431	0.118881	3	1	0.407006	NA	3	1	-0.320336	0.668332	3	1	-0.435861	1	3	1	-0.34431	0.644356	3	1	8
ASV_1049_16S_022_3	ASV_1411_16S_022_3	0.555987558454478	1	0.699184	-0.699184	1	3	1	-0.699184	1	3	1	-0.665395	0.455544	3	1	-0.68229	0.412587	3	1	-0.607633	0.251748	3	1	-0.622826	0.601399	3	1	-0.603243	0.584416	3	1	-0.53551	0.588412	3	1	8
ASV_105_16S_022_3	OTU_129_18S_3_200	-0.542387843132019	1	0.211275	-0.074238	0.250749	2	1	-0.096727	0.929071	3	1	-0.194177	0.091908	3	1	-0.051582	0.440559	2	1	-0.236923	0.250749	2	1	0.181639	NA	2	1	-0.285932	0.167832	1	1	-0.05649	0.393606	2	1	8
ASV_1050_16S_022_3	ASV_348_16S_3_200	0.794668484384913	1	0.466574	-0.276393	0.300699	3	1	-0.378886	0.071928	3	1	2.103147	NA	3	1	-0.587006	0.205794	3	1	0.899251	NA	3	1	-0.475872	0.067932	3	1	0.057677	NA	3	1	-0.30593	0.536464	3	1	8
ASV_1050_16S_022_3	OTU_118_18S_3_200	0.56740317213675	1	0.566149	-0.566149	0.9001	3	1	-0.48507	0.572428	3	1	-0.532361	0.182817	3	1	-0.383047	0.883117	3	1	0.772763	NA	3	1	-0.566149	0.867133	3	1	-0.669687	0.75025	3	1	-0.461752	0.769231	3	1	8
ASV_1050_16S_022_3	OTU_1390_18S_3_200	0.718919348563463	1	0.456011	-0.230064	0.5005	3	1	-0.396547	0.572428	3	1	2.454446	NA	3	1	-0.418497	0.236763	3	1	-0.364618	0.084915	3	1	-0.37447	0.100899	3	1	-0.415143	0.584416	3	1	-0.352473	0.393606	3	1	8
