Source	Target	association_score	num_Triplets	MutualInformation	InterationInformation	II_p_value	DataProcessingInequality_MI_rank	DataProcessingInequality_indirect	COMBI_II_DPI
ASV_1456_16S_022_3	ASV_1608_16S_022_3	0.734002670368054	1	0.765550	-0.730293	0.000999	3	1	1
ASV_1346_16S_022_3	ASV_1611_16S_022_3	0.602362871170044	1	0.533567	-0.533567	1.000000	3	1	1
ASV_724_16S_022_3	ASV_1630_16S_022_3	0.757541710719556	1	0.527948	-0.444028	0.000999	3	1	1
ASV_1346_16S_022_3	ASV_1635_16S_022_3	0.768217119294838	1	0.508949	-0.508949	0.945055	3	1	1
ASV_922_16S_022_3	ASV_1638_16S_022_3	0.829184295938532	1	0.642481	-0.536708	0.000999	3	1	1
ASV_1195_16S_022_3	ASV_1659_16S_022_3	0.616169571876526	1	0.769043	-0.769043	1.000000	3	1	1
ASV_913_16S_022_3	ASV_1669_16S_022_3	0.902006115422346	1	0.566162	3.455350	nan	3	1	1
ASV_1032_16S_022_3	ASV_1669_16S_022_3	0.560917383057927	1	0.415579	-0.320206	0.668332	3	1	1
ASV_1346_16S_022_3	ASV_1669_16S_022_3	0.608604561646983	1	0.496044	-0.411439	0.779221	3	1	1
ASV_1151_16S_022_3	ASV_1682_16S_022_3	0.584923326969147	1	0.438329	-0.438329	1.000000	3	1	1
ASV_1033_16S_022_3	ASV_1690_16S_022_3	0.787841975688934	1	0.663959	-0.663959	1.000000	3	1	1
ASV_1342_16S_022_3	ASV_1690_16S_022_3	0.592055916786194	1	0.784507	-0.784507	1.000000	3	1	1
ASV_1455_16S_022_3	ASV_1761_16S_022_3	0.760946975200633	1	0.625745	-0.625745	1.000000	3	1	1
ASV_852_16S_022_3	ASV_1766_16S_022_3	0.972977055838034	1	0.690586	-0.648626	0.000999	3	1	1
ASV_1035_16S_022_3	ASV_1787_16S_022_3	0.748088103142086	1	0.368211	-0.368211	0.778222	3	1	1
ASV_598_16S_022_3	ASV_1807_16S_022_3	0.983806154163916	1	0.819720	1.606920	nan	3	1	1
ASV_860_16S_022_3	ASV_1844_16S_022_3	0.966283515015281	1	0.887846	-0.887846	1.000000	3	1	1
ASV_1536_16S_022_3	ASV_1860_16S_022_3	0.766512046665002	1	0.666679	-0.666679	0.833167	3	1	1
ASV_213_16S_022_3	ASV_1866_16S_022_3	0.832617566732581	1	0.379322	-0.342483	0.446553	3	1	1
ASV_487_16S_022_3	ASV_1868_16S_022_3	0.62377	1	0.494903	-0.609644	0.778222	3	1	1
ASV_1070_16S_022_3	ASV_1868_16S_022_3	0.79435357068309	1	0.460389	-0.460389	1.000000	3	1	1
ASV_595_16S_022_3	ASV_1875_16S_022_3	0.601109981536865	1	0.527948	-0.527948	1.000000	3	1	1
ASV_1073_16S_022_3	ASV_1875_16S_022_3	0.726201832294464	1	0.584911	-0.584911	1.000000	3	1	1
ASV_498_16S_022_3	ASV_1887_16S_022_3	0.869703626487956	1	0.959106	-0.911340	0.000999	3	1	1
ASV_1460_16S_022_3	ASV_1899_16S_022_3	0.741247897957668	1	0.573826	-0.441456	0.780220	3	1	1
ASV_724_16S_022_3	ASV_1896_16S_022_3	0.765815935027045	1	0.663959	-0.447669	0.000999	3	1	1
ASV_1518_16S_022_3	ASV_1943_16S_022_3	0.818818246536477	1	0.658998	2.565237	nan	3	1	1
ASV_1093_16S_022_3	ASV_1958_16S_022_3	0.996021024952422	1	0.933911	-0.861815	0.000999	3	1	1
ASV_946_16S_022_3	ASV_1982_16S_022_3	0.756854865887365	1	0.533957	-0.533957	1.000000	3	1	1
ASV_1392_16S_022_3	ASV_1982_16S_022_3	0.546503961086273	1	0.571481	-0.689222	0.611389	3	1	1
