ASV	BL.20130417	BL.20130507	BL.20130604	BL.20130709	BL.20130801	BL.20130917	BL.20131015	BL.20140114	BL.20140211	BL.20140310	BL.20141007	BL.20141111	BL.20150113	BL.20150210	BL.20150916	BL.20151006	BL.20151110	BL.20151215	BL.20160119	BL.20160210	BL.20160308	BL.20160405	BL.20160504
ASV_58_16S_022_3	1.18998884320343	2.25088344992085	4.10246775365592	3.75578717696529	4.42228633274474	3.16838455479184	3.6571960111835	3.91792012289714	2.23841432109283	5.79794185304353	3.73278403914173	1.902175458127	0.811915467124093	0.0782574045995297	2.68851032835637	1.22736123052942	1.84643298364912	2.12072077086455	1.15335210328176	1.97087385082059	1.59354938119824	1.79548487090974	1.64605613717633
ASV_59_16S_022_3	-3.14061842026867	2.65634855802902	3.41755107223249	4.20879322984245	2.95594926395132	3.61467165742026	3.08385003043618	0.951175386216399	2.67286696607425	1.86938954566417	4.82333176797311	3.58572134271483	1.53246162187215	0.522943225860975	5.72068388107262	4.82467349111786	2.62227188005417	0.872896084009765	2.01994316660365	4.45349478532774	3.11597591664271	3.09105037863987	3.82584565269044
ASV_60_16S_022_3	-3.14061842026867	-3.14061842026867	3.68870384273306	4.48750663231147	4.34224362507121	3.40395062610461	4.82034682098918	0.679241670732757	-3.14061842026867	1.41263114316846	4.56096750350562	4.07925546937076	1.05703792515708	-0.196179441102231	5.03644324132888	4.89092287665906	2.68382977305361	1.11651816666752	1.2121926033047	0.245363767133737	-3.14061842026867	-3.14061842026867	5.38847635821829
ASV_61_16S_022_3	-3.14061842026867	-3.14061842026867	-3.14061842026867	-3.14061842026867	-3.14061842026867	-3.14061842026867	-3.14061842026867	-3.14061842026867	-3.14061842026867	4.35429619545217	-3.14061842026867	-3.14061842026867	-3.14061842026867	-3.14061842026867	-3.14061842026867	-3.14061842026867	-3.14061842026867	-3.14061842026867	0.813844962965396	4.59415176033188	4.57951186315642	5.87336815607777	3.56949343037958
ASV_63_16S_022_3	2.03728670359063	2.18634492878328	5.0237049094654	4.11133789369174	2.81874814243783	-3.14061842026867	1.66476584649329	-3.14061842026867	-0.371655471649174	2.16949413811451	3.83573200839417	1.86295474497372	-0.286696821544016	-3.14061842026867	3.27285464906752	3.22206154375416	2.83584598035223	-0.0965044731783387	0.490057885871499	-3.14061842026867	-0.118167380356283	1.71032706256943	5.53333097291528
ASV_64_16S_022_3	5.68422746848424	4.59628854009783	4.70935458993146	2.26288308078714	3.82498711097493	3.86153173535178	3.86199042382951	0.851091927659416	1.81439580508892	2.96243078928283	3.48833070124077	4.0316274203815	1.17964024724941	1.46455176571942	3.88524047298301	3.81512526575712	4.62973992210892	3.04293452104183	3.25155592141712	3.89502250809439	3.05345555966137	3.61077483754799	3.54982066478088
ASV_65_16S_022_3	2.17081809621515	2.47402700123506	-3.14061842026867	-3.14061842026867	-3.14061842026867	3.47540959008675	-3.14061842026867	2.81930783422903	3.25534857874668	2.85644934842653	-3.14061842026867	2.18985753057879	3.36396141974972	3.66510413314831	1.87499946554655	2.816596435646	3.39179203939869	3.22262795542951	2.61267159941654	2.98371931773128	3.55520788722169	3.77013262973241	2.72974277562776
ASV_66_16S_022_3	3.90908888049222	-3.14061842026867	-3.14061842026867	-3.14061842026867	-3.14061842026867	-3.14061842026867	-3.14061842026867	4.41393066087799	2.71938698170914	4.73918059586032	-3.14061842026867	-3.14061842026867	-3.14061842026867	0.771404585159475	-3.14061842026867	-3.14061842026867	-3.14061842026867	0.971336156823017	1.56886754724343	2.40780222838454	3.09762677797451	5.36415487862445	3.62629102877271
ASV_67_16S_022_3	-3.14061842026867	-3.14061842026867	-3.14061842026867	4.1574999354549	3.95582671193374	4.34222026469754	4.32735367351875	0.902385222046967	0.416801888715097	1.03314152146355	3.2936250852471	3.59283881048369	2.68371764402568	2.47978244544848	3.30118515569375	2.91376018409965	2.82294257551633	1.28978988794155	0.460204922721818	0.0783096824705711	0.0249334632843903	-3.14061842026867	0.883916085129429
ASV_68_16S_022_3	-3.14061842026867	-3.14061842026867	3.65048262991286	-3.14061842026867	3.94634796797919	3.47540959008675	-3.14061842026867	2.50177279862757	3.38488263093858	2.61923206990066	-3.14061842026867	3.05079816736978	3.64185548583534	3.34706559821594	3.09053309227356	3.29422399000239	-3.14061842026867	3.39447821235617	3.24783152232614	3.68676756927393	3.40819314425988	2.81631945853516	3.98357928153165
ASV_72_16S_022_3	-3.14061842026867	-3.14061842026867	2.9175951207034	4.68768580650544	4.26912136024224	4.34222026469754	4.57348674305766	1.16474948651446	0.963345595083166	1.60368637993117	3.63143154488144	2.94814401330969	1.85336934195225	1.20318700158501	3.91289200431352	3.51989598766996	1.31235049771886	1.73970675862055	0.875720366683483	-3.14061842026867	-3.14061842026867	1.12254039766731	1.6680350438951
