ASV	BL.20130417	BL.20130507	BL.20130604	BL.20130709	BL.20130801	BL.20130917	BL.20131015	BL.20140114	BL.20140211	BL.20140310	BL.20141007	BL.20141111	BL.20150113	BL.20150210	BL.20150916	BL.20151006	BL.20151110	BL.20151215	BL.20160119	BL.20160210	BL.20160308	BL.20160405	BL.20160504	abundancesum_big
ASV_297_16S	0	0	0	0	175	92	210	0	22	23	31	41	0	1	59	44	0	0	1	0	0	0	0	699
ASV_298_16S	741	290	95	30	0	4	11	1	4	6	0	1	0	0	1	0	1	0	1	0	2	16	5	1209
ASV_300_16S	0	0	0	0	71	122	318	0	0	10	205	213	0	0	45	40	38	0	0	0	0	0	0	1062
ASV_307_16S	780	328	19	0	0	0	0	1	1	22	0	0	0	0	0	0	0	0	1	1	8	32	15	1208
ASV_321_16S	0	0	0	0	0	0	0	0	0	0	0	44	0	140	0	32	59	17	22	68	104	221	88	795
ASV_328_16S	73	81	106	45	0	0	38	7	21	64	0	11	5	0	14	15	25	10	6	0	9	46	14	590
ASV_337_16S	10	8	1	0	0	0	0	6	6	0	0	0	3	29	0	0	0	24	0	2	12	5	0	106
ASV_345_16S	0	0	0	0	0	0	0	0	10	4	0	8	36	15	12	18	35	0	10	19	0	27	36	230
ASV_348_16S	0	0	6	0	0	82	0	16	0	0	36	11	0	0	31	46	23	0	0	0	0	21	7	279
ASV_364_16S	24	396	22	6	23	0	38	24	4	52	0	8	9	7	0	0	5	0	17	24	15	7	8	689
ASV_365_16S	0	0	0	0	0	0	0	11	0	21	0	15	21	28	16	22	14	6	8	31	6	6	20	225
ASV_377_16S	121	7	19	0	51	27	26	0	0	0	14	0	0	0	17	0	0	0	0	0	0	27	79	388
ASV_379_16S	145	309	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	26	65	0	719
ASV_390_16S	146	0	0	0	0	0	0	28	110	184	0	3	0	185	0	2	5	9	119	0	42	24	0	857
ASV_400_16S	0	0	0	0	0	0	0	0	10	0	0	10	26	7	39	31	5	7	0	7	4	27	33	206
ASV_405_16S	0	0	0	0	0	0	0	8	8	4	0	15	8	14	12	14	30	16	13	7	3	18	19	189
ASV_412_16S	77	0	0	0	0	7	14	0	155	210	0	13	0	72	0	11	31	0	54	0	108	50	0	802
ASV_413_16S	0	0	77	294	39	0	90	43	0	90	21	21	0	16	0	0	0	0	0	0	24	0	23	738
ASV_414_16S	0	0	14	42	262	51	86	0	0	0	29	0	0	0	7	8	0	0	0	0	0	0	0	499
ASV_431_16S	0	0	0	0	0	0	0	0	5	7	0	11	6	8	8	0	22	3	0	24	16	12	7	129
ASV_434_16S	0	0	39	26	0	43	0	32	85	45	33	0	0	0	0	0	9	0	0	0	0	0	0	312
ASV_437_16S	0	0	0	0	0	5	0	13	59	0	91	0	22	12	4	0	0	0	16	6	15	23	0	266
ASV_448_16S	0	0	0	0	0	0	0	11	0	30	15	16	17	0	22	13	8	27	13	9	0	0	26	207
ASV_458_16S	0	0	0	138	12	22	0	0	0	53	16	45	0	13	0	0	0	0	0	0	13	11	0	323
ASV_459_16S	0	66	380	825	12	0	5	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1292
ASV_462_16S	0	0	0	0	0	0	0	45	205	8	16	46	26	375	0	0	0	49	128	35	10	36	0	979
ASV_464_16S	0	118	418	693	0	0	0	0	0	0	0	0	0	0	0	0	0	4	39	0	48	61	0	1381
ASV_467_16S	0	164	316	91	0	0	0	0	9	0	0	0	15	22	0	0	0	0	60	35	62	47	12	833
ASV_469_16S	16	9	0	0	0	0	6	0	9	12	17	0	0	0	7	0	0	10	0	24	85	122	20	337
ASV_473_16S	0	0	0	0	0	0	0	8	0	0	0	0	36	12	0	14	15	12	19	6	0	16	10	148
ASV_483_16S	0	0	30	67	0	20	9	21	16	23	0	24	4	88	82	9	180	3	82	7	25	19	3	712
ASV_488_16S	0	0	92	0	0	0	0	0	0	0	15	42	6	83	9	14	36	0	0	15	16	13	0	341
ASV_491_16S	0	0	0	0	0	44	0	0	0	0	27	11	0	0	13	36	20	28	0	0	0	0	0	179
ASV_501_16S	8	0	60	0	0	5	10	0	0	0	0	0	0	0	0	11	19	7	0	0	4	0	0	124
ASV_515_16S	0	0	5	0	0	49	77	5	0	0	12	22	3	24	9	70	15	6	23	24	15	0	0	359
ASV_523_16S	0	35	0	0	0	9	0	21	56	355	0	0	0	0	0	11	0	10	0	0	0	0	8	505
ASV_537_16S	0	0	0	0	0	0	0	2	6	6	7	5	19	8	7	0	17	7	9	6	4	19	19	141
ASV_542_16S	0	0	0	0	502	36	176	27	0	117	0	0	0	31	0	13	0	0	0	0	0	0	0	902
ASV_559_16S	0	0	0	0	0	202	262	0	0	0	13	17	0	0	14	62	0	0	0	0	0	0	0	570
ASV_576_16S	39	0	0	0	0	0	0	128	54	61	0	0	0	256	0	0	0	20	124	8	31	0	0	721
ASV_597_16S	0	0	0	46	0	0	0	0	0	16	0	0	0	0	0	0	0	0	11	0	8	39	0	120
ASV_605_16S	0	25	0	0	0	192	0	0	19	7	8	6	4	10	30	9	4	0	5	0	5	6	0	330
ASV_610_16S	0	0	0	0	0	0	132	0	0	0	0	99	0	0	0	96	118	0	0	0	0	0	0	445
ASV_624_16S	26	16	62	0	0	0	0	15	11	8	0	0	0	18	0	29	30	4	39	27	13	5	25	328
ASV_628_16S	0	0	0	0	0	0	0	0	0	8	4	4	23	0	15	14	0	7	34	15	6	17	4	151
ASV_630_16S	0	4	58	207	257	22	27	5	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	605
ASV_650_16S	0	90	76	240	0	0	25	0	9	0	14	0	0	0	0	0	0	0	0	0	0	0	0	454
ASV_651_16S	0	0	32	0	6	10	0	0	0	0	51	6	0	0	0	0	27	9	0	0	0	4	0	145
ASV_662_16S	58	0	0	0	0	0	0	25	97	55	0	0	0	89	0	10	11	50	102	8	24	46	7	582
ASV_663_16S	0	55	176	541	35	34	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	854
ASV_667_16S	0	41	30	0	17	0	45	9	25	87	0	0	12	0	0	0	17	0	0	0	0	53	0	336
ASV_669_16S	0	0	0	0	0	0	0	22	0	9	0	0	22	0	0	0	16	14	9	0	12	0	30	134
ASV_673_16S	0	0	0	21	0	108	115	0	0	0	0	28	0	0	44	0	0	0	0	0	0	0	5	321
ASV_680_16S	0	0	42	0	0	5	33	0	0	63	5	20	27	43	0	3	5	0	0	6	0	0	0	252
ASV_687_16S	28	24	172	26	13	22	6	1	1	6	4	3	4	12	0	0	3	0	4	5	3	3	3	343
ASV_691_16S	41	175	47	0	3	22	29	6	0	9	5	0	0	3	0	37	0	0	19	10	0	0	0	406
ASV_705_16S	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	27	8	0	37	365
ASV_706_16S	0	0	0	0	0	0	0	168	0	0	0	11	36	133	0	0	40	55	72	0	0	0	0	515
ASV_723_16S	8	8	0	0	0	0	0	31	27	35	0	8	12	91	0	0	21	9	47	10	27	0	0	334
ASV_755_16S	99	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	23	0	252
ASV_760_16S	0	0	0	0	0	0	0	0	0	12	0	9	47	0	0	13	34	0	0	0	0	32	0	147
ASV_769_16S	0	0	0	0	0	54	411	0	0	0	86	8	0	0	0	0	22	8	0	0	0	0	0	589
ASV_777_16S	0	31	124	153	143	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	456
ASV_784_16S	50	25	48	10	3	0	0	0	3	21	0	0	0	2	2	0	1	0	1	1	7	34	24	232
ASV_787_16S	0	0	0	0	0	0	0	0	3	0	0	0	35	0	0	40	5	0	19	37	0	18	15	172
ASV_808_16S	0	0	0	0	53	101	30	0	0	10	11	0	0	0	0	9	0	0	0	0	0	0	0	214
ASV_812_16S	0	0	0	0	0	17	29	0	0	0	56	21	0	0	15	0	22	0	3	0	0	0	0	163
ASV_858_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	17	9	10	0	56	0	14	0	0	0	106
ASV_863_16S	0	0	0	0	0	0	0	0	71	0	0	0	0	80	0	0	0	0	0	0	16	25	0	192
ASV_884_16S	0	0	0	0	14	16	107	0	0	0	15	22	0	0	5	6	0	0	0	0	0	0	0	185
ASV_888_16S	0	0	0	0	0	0	0	0	0	7	0	13	0	0	13	24	16	0	0	33	0	0	7	113
ASV_903_16S	0	0	0	253	0	0	0	0	13	0	0	0	15	0	0	0	0	0	0	0	4	0	0	285
ASV_905_16S	0	0	0	0	0	0	0	24	0	0	0	0	0	49	0	0	0	10	61	8	0	0	0	152
ASV_904_16S	0	206	209	0	32	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	488
ASV_910_16S	0	67	41	33	0	0	38	0	0	0	13	0	0	0	0	0	20	0	13	0	0	0	0	225
ASV_912_16S	15	0	6	66	149	47	0	0	0	0	20	12	0	0	0	0	0	0	0	0	10	1	0	326
ASV_932_16S	0	0	0	0	0	0	0	0	0	0	18	0	0	0	88	8	0	0	0	0	0	22	11	147
ASV_938_16S	0	13	0	0	0	0	5	13	31	16	7	13	12	38	0	19	0	0	27	0	0	0	10	204
ASV_949_16S	0	10	0	0	0	0	0	0	47	0	0	0	0	29	0	0	21	88	30	0	0	0	0	225
ASV_972_16S	0	0	0	0	0	0	0	0	0	24	0	10	0	0	0	23	8	18	0	0	0	0	19	102
ASV_1029_16S	77	0	0	0	0	0	0	0	12	10	20	18	0	0	10	13	26	0	0	0	0	0	0	186
ASV_1034_16S	41	26	33	21	0	0	3	2	2	7	0	1	2	3	0	1	3	1	1	0	0	0	4	151
ASV_1067_16S	0	0	0	0	0	122	124	0	0	0	4	0	0	0	13	20	0	0	0	0	0	0	0	283
ASV_1071_16S	0	0	0	78	13	0	13	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	110
ASV_1076_16S	0	0	0	0	0	0	0	24	0	23	0	10	0	0	0	0	57	0	32	0	0	0	0	146
ASV_1088_16S	28	0	0	0	5	61	1	0	0	0	0	24	0	9	0	20	0	0	0	0	0	0	0	148
ASV_1092_16S	0	0	0	95	0	0	0	0	0	40	0	18	5	0	0	0	0	0	0	0	0	7	7	172
ASV_1107_16S	0	0	0	0	0	0	0	0	22	0	0	0	0	51	0	0	0	7	24	0	5	14	0	123
ASV_1117_16S	0	0	0	0	0	0	0	5	42	6	0	0	9	14	0	0	0	0	0	7	13	19	0	115
ASV_1124_16S	143	31	53	5	0	0	2	2	0	3	0	0	1	0	0	0	1	1	1	1	1	2	2	249
ASV_1137_16S	7	1	28	5	0	17	1	0	6	4	0	0	0	0	4	12	18	10	0	0	0	0	0	113
ASV_1138_16S	0	0	46	51	0	51	23	0	0	0	0	17	0	0	42	0	1	0	0	0	0	0	0	231
ASV_1193_16S	0	0	0	0	0	0	31	0	42	0	0	0	0	0	0	0	0	0	0	0	0	19	9	101
ASV_1201_16S	0	0	0	0	0	36	55	0	0	0	0	0	0	0	15	0	0	12	0	0	0	0	0	118
ASV_1203_16S	0	0	0	0	0	0	0	0	0	0	0	14	0	9	0	0	0	0	25	0	45	29	0	122
ASV_1215_16S	0	0	0	0	0	0	0	27	45	0	0	0	8	29	0	11	21	53	35	19	0	0	0	248
ASV_1220_16S	0	0	0	0	0	0	0	0	0	0	10	3	0	31	0	0	49	33	12	0	22	53	47	260
ASV_1227_16S	0	0	0	0	0	0	0	5	0	0	0	112	0	6	0	0	0	0	0	3	13	0	0	139
ASV_1226_16S	0	0	0	214	0	0	0	0	10	0	0	0	0	3	0	0	0	0	5	0	0	11	0	243
ASV_1240_16S	0	53	37	0	0	0	0	10	0	0	0	0	0	33	10	0	23	0	21	0	5	18	0	210
ASV_1251_16S	15	0	0	0	0	0	0	92	33	53	0	0	0	59	0	0	0	0	29	0	9	0	0	290
ASV_1250_16S	29	0	0	0	0	0	0	14	12	16	0	0	0	5	0	0	0	0	0	0	9	11	12	108
ASV_1254_16S	0	0	0	0	0	0	35	0	0	0	0	11	0	0	0	39	19	0	0	0	0	0	0	104
ASV_1257_16S	0	0	0	0	0	0	13	0	38	23	0	4	0	0	0	0	10	0	0	0	6	19	0	113
ASV_1275_16S	0	0	0	167	0	0	17	0	6	0	12	3	0	0	40	8	0	0	0	0	0	0	0	253
ASV_1283_16S	0	99	0	0	20	29	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	174
ASV_1287_16S	3	0	0	0	0	0	0	0	32	0	0	0	14	115	0	0	0	8	12	0	0	0	0	184
ASV_1300_16S	0	13	0	94	4	0	0	0	0	12	0	0	3	8	0	0	0	0	0	0	0	0	0	134
ASV_1321_16S	131	10	0	0	0	0	0	0	6	24	0	0	0	0	0	7	11	3	10	0	0	14	0	216
ASV_1326_16S	0	0	0	0	0	0	0	0	18	0	0	0	0	0	27	0	12	0	0	0	0	82	0	139
ASV_1375_16S	3	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	28	6	0	102
ASV_1400_16S	0	20	0	0	0	0	0	33	11	41	0	0	0	26	0	0	0	0	0	0	0	0	0	131
ASV_1439_16S	0	0	0	0	0	0	0	12	61	0	0	0	15	31	0	0	0	9	10	4	10	0	0	152
ASV_1457_16S	0	0	0	0	0	0	0	0	45	0	0	0	4	70	0	0	0	8	20	0	13	0	0	160
ASV_1480_16S	43	34	37	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	2	2	122
ASV_1512_16S	0	0	0	0	0	0	0	0	51	0	0	0	7	80	0	0	0	0	0	0	3	3	0	144
ASV_1524_16S	0	0	0	0	0	0	0	0	11	145	0	7	0	0	0	0	0	0	23	0	0	0	0	186
ASV_1537_16S	79	19	25	11	0	0	3	0	1	1	0	0	0	2	0	0	0	1	0	0	0	4	0	146
ASV_1541_16S	9	0	0	0	0	0	0	0	0	7	29	0	0	0	0	0	0	0	25	33	0	0	0	103
ASV_1564_16S	0	0	0	0	0	0	0	7	0	0	0	0	8	38	0	0	0	38	11	0	0	0	0	102
ASV_1591_16S	0	0	61	0	102	19	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203
ASV_1675_16S	0	11	0	0	0	0	0	0	0	0	0	0	0	39	0	0	8	13	6	27	11	7	5	127
ASV_1715_16S	0	0	50	0	0	0	3	5	7	60	9	0	0	0	0	0	0	0	0	0	0	0	0	134
ASV_1821_16S	73	43	12	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	1	133
ASV_1870_16S	0	11	0	34	0	0	13	0	0	0	0	0	0	0	0	0	0	0	56	0	22	0	0	136
ASV_1879_16S	0	0	0	25	17	6	25	0	0	0	0	0	0	0	17	42	0	0	0	0	0	0	0	132
ASV_1963_16S	0	0	0	0	0	0	0	10	28	26	0	2	0	25	0	0	0	0	0	0	15	0	0	106
ASV_2004_16S	0	0	0	0	0	0	0	0	19	10	0	0	0	62	0	0	0	14	13	0	0	0	0	118
ASV_2007_16S	54	0	0	0	0	0	0	0	18	42	0	0	0	0	0	0	0	0	0	0	0	19	0	133
ASV_2032_16S	0	36	0	0	0	0	0	0	0	0	0	0	0	11	0	10	4	0	8	26	12	0	0	107
ASV_2134_16S	0	0	18	7	23	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101
ASV_2156_16S	0	0	0	0	0	0	0	30	62	26	0	0	0	0	0	0	0	0	0	0	0	6	0	124
ASV_2281_16S	0	0	0	0	0	0	27	0	0	0	26	8	0	0	8	37	0	0	0	0	0	0	0	106
ASV_2288_16S	0	0	92	14	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115
ASV_2561_16S	0	19	0	0	0	0	0	0	11	20	0	4	0	0	4	0	0	0	12	0	0	22	10	102
