ASV	EA.20130423	EA.20130604	EA.20130625	EA.20131127	EA.20131230	EA.20140415	EA.20140514	EA.20140930	EA.20141029	EA.20150227	EA.20150328	EA.20150516	EA.20150627	EA.20150801	EA.20150829	EA.20151006	EA.20151208	EA.20160225	EA.20160322	EA.20160502	EA.20160611	EA.20160822	abundancesum_big
OTU_174_18S	35	0	0	439	257	0	0	0	0	0	0	0	0	0	0	0	0	0	760	0	0	0	1491
OTU_181_18S	556	473	115	949	1236	616	187	87	0	3570	0	0	0	0	171	1881	242	228	1749	0	618	130	12808
OTU_215_18S	745	929	195	1818	471	1794	0	87	0	301	0	0	0	0	0	419	0	297	147	0	206	0	7409
OTU_216_18S	0	25	1597	332	155	63	573	0	125	0	0	0	64	1227	125	274	0	0	0	529	0	314	5403
OTU_217_18S	388	734	420	1459	1619	1092	223	143	89	119	0	0	67	0	0	133	91	0	408	58	410	36	7489
OTU_212_18S	15	55	223	0	29	12	0	0	0	156	0	0	116	0	35	0	47	198	0	97	231	39	1253
OTU_220_18S	0	0	0	12546	20	0	0	0	91	1179	0	0	0	0	985	0	0	0	0	0	0	267	15088
OTU_224_18S	46	68	928	200	0	3926	203	0	0	0	1149	0	0	262	24	31	0	0	0	116	68	89	7110
OTU_225_18S	55	68	157	3701	1657	66	14	78	0	52	0	0	0	0	0	0	46	47	0	5	1268	66	7280
OTU_226_18S	0	0	157	234	77	410	523	183	748	0	0	0	1881	360	541	5490	322	229	657	589	561	308	13270
OTU_205_18S	0	0	864	0	0	0	0	0	0	0	0	0	23	0	5542	0	0	0	0	0	13	113	6555
OTU_229_18S	0	12	892	1230	45	128	40	0	412	16	5	7	75	0	132	1109	0	0	0	0	0	431	4534
OTU_235_18S	243	999	64	0	0	4551	79	0	0	1790	0	224	153	0	0	0	0	0	375	0	246	0	8724
OTU_236_18S	837	280	973	448	0	299	168	0	0	119	0	0	131	166	78	187	35	101	148	148	71	123	4312
OTU_249_18S	72	808	251	1867	672	878	0	0	0	0	297	0	123	0	0	600	108	363	396	108	764	65	7372
OTU_250_18S	47	43	174	13	38	13105	208	0	0	0	134	0	0	4	0	0	0	0	14	0	0	0	13780
OTU_251_18S	1127	112	70	2296	295	733	0	56	0	102	0	0	0	0	0	0	231	0	56	0	86	32	5196
OTU_252_18S	7	11953	75	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12081
OTU_253_18S	198	76	2339	4215	2093	63	94	175	0	0	0	0	40	167	0	25	0	1436	312	20	132	172	11557
OTU_254_18S	0	0	0	0	0	0	0	0	6851	132	286	0	0	166	204	0	235	0	0	0	0	67	7941
OTU_255_18S	130	9	1845	214	58	22	1305	222	12	0	15	0	558	431	67	231	0	117	43	100	18	64	5461
OTU_228_18S	0	1971	2714	0	0	0	0	0	0	0	0	80	0	0	748	20	0	0	14	0	0	788	6335
OTU_258_18S	0	56	742	0	0	0	0	0	0	0	0	0	0	262	260	0	0	0	0	0	0	71	1391
OTU_260_18S	6472	445	171	833	662	818	0	0	0	235	0	0	0	0	0	0	0	0	203	0	0	0	9839
OTU_261_18S	544	681	0	612	1094	5772	101	0	0	305	0	0	0	0	0	0	320	32	829	0	0	0	10290
OTU_271_18S	0	28	6	93	504	40	0	0	2477	78	0	7	0	0	0	0	68	0	0	0	219	93	3613
OTU_272_18S	1126	159	76	759	1844	443	76	97	0	867	0	0	0	0	107	115	172	0	340	0	0	0	6181
OTU_273_18S	0	431	852	0	0	0	0	0	0	196	0	0	0	0	131	0	0	0	0	0	0	8660	10270
OTU_268_18S	15	72	240	958	265	84	22	0	0	59	0	0	0	0	53	10	53	0	0	10	45	0	1886
OTU_274_18S	74	5699	298	276	20	399	18	27	0	0	0	446	0	24	0	147	0	0	0	0	0	27	7455
OTU_276_18S	0	0	11	47	6618	0	0	0	0	0	0	0	0	0	0	358	0	0	0	0	0	0	7034
OTU_277_18S	297	97	82	2178	136	393	0	19	186	0	1072	83	121	0	112	92	0	111	0	0	172	0	5151
OTU_279_18S	985	24	190	85	12	39	248	976	111	0	0	0	69	0	94	338	0	410	282	20	0	279	4162
OTU_282_18S	61	11	1636	630	223	120	249	58	0	0	19	0	44	634	21	345	18	565	80	878	72	480	6144
OTU_284_18S	45	0	1515	30	17	10	0	43	0	0	0	0	72	111	91	0	0	0	37	0	0	0	1971
OTU_245_18S	162	1030	106	693	789	603	0	0	0	232	0	0	0	0	282	0	205	0	705	0	0	445	5252
OTU_292_18S	9909	84	90	0	63	9	0	0	0	226	0	36	0	0	0	0	0	0	0	0	0	74	10491
OTU_294_18S	0	131	187	0	0	0	61	18	176	0	0	0	0	658	461	1080	0	64	60	23	0	146	3065
OTU_296_18S	1477	415	167	1833	684	2599	191	155	0	155	0	0	103	0	76	106	181	154	510	47	128	78	9059
OTU_297_18S	0	0	0	0	0	0	30	0	0	0	0	235	217	3423	0	0	0	0	0	0	2593	0	6498
OTU_291_18S	1287	378	788	0	0	1001	140	82	0	644	0	0	95	0	48	82	0	90	1166	138	0	22	5961
OTU_305_18S	0	84	1342	2273	1219	1117	45	126	0	48	0	0	0	172	407	810	0	0	201	99	79	95	8117
OTU_306_18S	468	398	286	2098	2210	900	0	0	0	243	0	0	0	0	48	0	3	0	223	0	0	0	6877
OTU_310_18S	36	0	46	634	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	901
OTU_311_18S	299	43	448	421	2941	515	0	0	0	414	0	0	330	8	15	55	0	0	450	0	0	0	5939
OTU_317_18S	361	0	876	928	1110	402	448	123	196	539	209	0	321	619	408	49	0	0	403	213	417	456	8078
OTU_324_18S	1599	219	779	968	1748	982	2171	29	0	0	0	0	49	710	0	96	0	0	101	23	89	0	9563
OTU_322_18S	18	92	0	3233	3244	362	0	0	0	920	0	0	0	0	0	247	0	0	153	0	0	277	8546
OTU_328_18S	523	0	0	0	2283	526	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	3369
OTU_331_18S	8829	1300	53	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10195
OTU_330_18S	103	352	239	734	431	351	96	82	0	395	0	0	94	0	50	127	0	81	578	0	101	63	3877
OTU_327_18S	349	425	0	7871	557	0	0	0	0	0	0	0	0	0	112	165	19	84	0	0	111	0	9693
OTU_325_18S	240	24	850	81	39	195	84	142	30	18	0	86	46	73	106	236	0	58	86	86	29	33	2542
OTU_329_18S	61	9	392	386	41	77	88	19	0	0	0	0	23	316	53	66	0	22	0	329	24	40	1946
OTU_336_18S	71	25	236	120	0	115	0	429	92	71	0	0	56	820	511	786	53	107	0	174	37	393	4096
OTU_337_18S	223	54	0	321	145	83	9	19	805	0	964	88	38	0	0	0	82	281	207	0	619	37	3975
OTU_332_18S	0	0	615	79	67	0	0	0	0	0	0	0	208	60	0	0	0	0	0	0	0	0	1029
OTU_339_18S	59	2517	843	51	47	11	0	141	0	0	0	0	12	30	124	78	0	0	0	0	0	2369	6282
OTU_348_18S	0	88	102	125	71	19	0	0	164	13	97	0	0	0	0	120	0	0	28	0	70	0	897
OTU_349_18S	0	0	0	146	0	139	0	0	0	211	272	0	0	0	0	0	0	0	0	0	702	0	1470
OTU_353_18S	275	58	261	1267	1539	267	285	75	0	56	0	0	128	347	34	74	22	90	39	209	173	0	5199
OTU_364_18S	407	159	33	1102	381	1335	0	0	0	606	0	0	0	0	0	0	22	405	15	9	73	0	4547
OTU_365_18S	212	64	62	2370	0	185	31	0	0	157	0	0	0	0	0	0	0	0	0	105	261	0	3447
OTU_366_18S	195	101	386	782	0	219	0	125	0	0	0	0	0	0	0	0	0	0	0	52	127	0	1987
OTU_367_18S	280	58	1160	431	968	337	20	36	0	0	0	0	26	10	50	0	65	15	0	0	0	60	3516
OTU_356_18S	1316	37	200	542	39	100	132	86	0	251	0	0	0	0	18	189	22	0	0	0	0	29	2961
OTU_374_18S	0	610	85	4464	391	6	36	0	0	2044	0	0	11	0	0	0	0	269	260	0	0	0	8176
OTU_376_18S	0	11	325	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	3870	4217
OTU_380_18S	665	572	0	2140	134	1362	0	0	0	0	73	0	0	0	665	224	761	0	82	0	0	0	6678
OTU_386_18S	53	0	0	138	162	187	0	0	102	159	0	740	0	0	0	109	1073	22	0	0	179	54	2978
OTU_387_18S	38	0	0	308	125	158	0	0	0	0	0	0	0	0	0	489	83	0	0	0	117	0	1318
OTU_397_18S	0	0	2459	70	0	22	15	0	0	27	0	0	0	1675	166	13	0	15	0	17	50	0	4529
OTU_399_18S	4085	2500	541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	0	0	0	0	7388
OTU_405_18S	769	273	511	103	0	209	0	398	0	171	0	0	0	121	0	0	0	144	227	121	0	0	3047
OTU_382_18S	80	50	170	257	243	0	0	14	0	73	0	0	75	0	0	0	0	0	0	0	0	0	962
OTU_407_18S	0	0	36	1163	6728	0	0	0	0	0	0	0	0	106	0	106	103	0	0	0	0	0	8242
OTU_403_18S	30	401	105	5463	232	6	8	4	0	89	0	69	0	0	18	0	0	538	176	0	80	0	7219
OTU_408_18S	23	0	121	783	162	17	213	66	0	50	0	0	58	76	101	21	0	70	151	72	124	66	2174
OTU_411_18S	0	0	311	74	0	69	0	104	0	0	0	0	82	1141	42	0	0	0	0	0	0	117	1940
OTU_414_18S	535	537	729	698	0	2146	21	120	0	0	0	0	0	20	36	73	60	21	638	37	0	0	5671
OTU_413_18S	171	158	1407	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1913
OTU_417_18S	226	39	538	1736	1082	582	77	12	0	1021	35	0	44	0	0	0	0	0	43	0	140	0	5575
OTU_412_18S	1349	504	422	139	949	11	0	0	0	81	0	0	24	0	25	0	27	630	105	0	0	0	4266
OTU_424_18S	8	0	0	86	41	53	0	0	1568	124	0	160	0	0	0	0	0	54	205	49	19	0	2367
OTU_434_18S	997	38	37	860	287	111	24	0	0	22	0	0	0	0	0	60	0	0	87	0	0	0	2523
OTU_438_18S	267	32	213	875	32	128	123	55	0	38	0	0	0	97	0	94	70	146	0	139	0	70	2379
OTU_440_18S	31	994	359	4560	0	0	31	0	0	594	0	0	0	0	13	161	0	0	0	0	0	79	6822
OTU_441_18S	10	22	2101	3412	2079	0	63	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	7750
OTU_443_18S	89	55	84	1521	2024	488	0	0	0	27	0	0	0	0	0	0	0	0	0	0	28	0	4316
OTU_442_18S	258	133	389	1630	65	263	0	0	0	18	0	0	0	0	0	0	0	0	0	13	0	0	2769
OTU_446_18S	275	244	138	781	3134	102	52	0	0	705	0	0	0	0	0	25	0	219	356	0	924	0	6955
OTU_447_18S	526	9	754	275	0	552	49	125	23	76	22	0	49	0	0	0	0	0	19	0	0	160	2639
OTU_448_18S	45	22	461	905	180	0	356	0	0	0	0	0	140	137	32	0	32	72	0	49	92	0	2523
OTU_449_18S	0	0	75	0	0	0	0	0	1683	0	0	0	108	369	745	0	0	0	0	228	0	0	3208
OTU_453_18S	0	0	0	0	0	145	0	0	0	347	0	115	0	0	0	0	0	40	0	0	0	0	647
OTU_457_18S	274	0	0	0	0	0	266	0	0	0	2733	0	361	0	0	0	0	378	753	872	0	898	6535
OTU_465_18S	420	257	122	5072	31	21	0	0	87	785	0	0	0	0	0	25	89	135	0	0	0	0	7044
OTU_468_18S	2255	592	171	2384	127	282	0	0	0	99	0	0	0	0	15	0	281	0	0	0	0	0	6206
OTU_467_18S	57	0	966	61	0	0	0	57	0	0	0	0	86	511	476	0	0	0	0	0	0	0	2214
OTU_463_18S	16	21	887	0	0	0	0	17	0	0	0	0	171	242	128	18	0	0	0	38	50	27	1615
OTU_472_18S	14	22	51	63	35	0	0	0	0	0	0	31	332	0	35	0	70	0	28	0	16	0	697
OTU_477_18S	0	0	54	70	0	18	0	0	0	0	0	0	0	1302	383	58	0	0	0	196	0	39	2120
OTU_478_18S	23	40	50	512	331	220	47	106	0	331	0	0	0	0	0	940	42	62	0	0	0	0	2704
OTU_466_18S	0	0	18	342	555	0	0	0	0	0	0	0	0	13	18	0	0	0	0	0	29	0	975
OTU_479_18S	106	53	1635	233	554	311	390	41	0	462	0	0	89	728	104	0	0	0	0	118	176	35	5035
OTU_482_18S	0	0	425	87	7	0	0	155	0	0	0	0	0	38	62	987	0	0	0	0	0	239	2000
OTU_483_18S	168	152	0	1752	776	281	8	6	0	370	0	0	20	0	13	37	225	0	0	0	23	0	3831
OTU_377_18S	0	0	0	36	0	872	172	0	0	27	0	0	0	0	0	36	33	764	120	0	0	59	2119
OTU_487_18S	0	147	169	74	0	0	0	0	0	0	0	0	0	0	0	472	36	0	0	98	3629	0	4625
OTU_490_18S	44	90	124	683	36	241	315	0	0	0	887	0	0	918	0	26	0	0	0	245	0	0	3609
OTU_494_18S	583	212	128	0	1709	14	0	0	0	410	0	0	107	0	0	0	232	0	0	0	0	0	3395
OTU_492_18S	1062	334	161	1639	853	587	0	25	0	322	0	0	0	0	50	123	0	0	44	0	50	0	5250
OTU_499_18S	194	0	0	0	0	0	287	0	0	0	2498	0	399	0	0	0	0	243	653	800	0	726	5800
OTU_501_18S	1436	423	467	108	0	702	179	0	0	80	0	0	0	0	0	0	56	0	342	0	29	0	3822
OTU_502_18S	576	401	172	1517	457	1176	0	0	0	717	0	0	0	0	0	0	0	31	0	0	0	0	5047
OTU_500_18S	12	14	1197	2011	2472	21	0	29	0	0	0	0	77	74	0	0	0	0	0	0	31	44	5982
OTU_506_18S	460	0	22	84	31	22	0	62	0	0	57	0	0	0	63	0	149	275	0	0	0	91	1316
OTU_509_18S	32	0	32	128	232	25	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	494
OTU_510_18S	0	0	59	0	48	0	0	0	0	0	0	0	2510	186	0	0	0	0	0	0	0	0	2803
OTU_511_18S	277	220	688	35	0	554	0	66	0	83	0	0	0	0	0	123	0	0	118	0	0	0	2164
OTU_513_18S	0	1154	0	4973	134	0	0	0	0	0	0	0	0	0	0	9	0	40	0	0	0	10	6320
OTU_515_18S	0	0	2247	0	0	0	0	42	0	0	0	0	0	667	32	0	0	0	0	0	0	0	2988
OTU_522_18S	821	378	0	111	0	591	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	86	2005
OTU_525_18S	18	0	0	13	31	79	0	0	0	70	195	858	8	0	0	0	18	23	45	145	169	0	1672
OTU_528_18S	0	239	73	294	560	419	0	0	0	256	0	0	0	0	0	78	0	63	558	0	115	0	2655
OTU_532_18S	59	0	552	554	258	3411	50	59	0	103	0	0	43	100	89	0	19	0	0	0	0	0	5297
OTU_536_18S	136	33	98	535	0	95	3	24	0	0	0	0	0	0	3	27	0	10	19	27	0	0	1010
OTU_498_18S	0	0	40	1	1	2	0	0	0	15	0	0	0	0	59	0	0	0	3	0	0	11	132
OTU_544_18S	479	20	60	496	310	72	0	0	0	0	0	0	0	0	0	0	51	20	99	0	71	0	1678
OTU_539_18S	0	0	90	0	45	13	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	359
OTU_512_18S	45	205	563	456	24	95	80	64	0	146	0	0	57	0	31	20	0	81	0	35	0	0	1902
OTU_558_18S	62	0	125	1297	282	59	11	68	0	0	0	0	0	63	0	9	0	6	0	21	0	48	2051
OTU_561_18S	0	54	363	70	72	204	0	32	0	265	0	0	0	0	0	0	0	0	0	0	0	0	1060
OTU_562_18S	2017	89	111	1472	37	386	0	0	0	0	0	0	0	0	183	0	357	0	0	0	0	0	4652
OTU_565_18S	22	11	10	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134
OTU_569_18S	711	12	0	617	211	0	0	114	109	0	0	0	0	81	0	47	0	72	0	0	0	94	2068
OTU_572_18S	101	31	0	0	0	205	0	0	136	0	0	131	97	0	0	93	0	0	0	13	1117	0	1924
OTU_568_18S	105	36	117	155	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	445
OTU_575_18S	446	63	219	417	17	374	14	0	0	0	0	0	0	0	0	61	0	126	0	0	0	0	1737
OTU_583_18S	681	508	133	2034	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3492
OTU_584_18S	0	132	908	185	0	81	0	0	0	0	0	0	0	0	50	2069	0	32	162	0	279	133	4031
OTU_586_18S	951	18	590	30	870	271	221	0	0	0	0	0	0	70	0	39	0	69	359	0	0	0	3488
OTU_585_18S	238	121	296	1571	438	279	95	180	0	0	0	0	0	0	0	105	59	0	0	0	103	0	3485
OTU_589_18S	47	77	55	0	0	1270	0	0	0	599	0	0	0	0	0	30	22	0	0	0	59	0	2159
OTU_591_18S	17	668	83	104	1278	0	0	0	0	752	0	0	0	0	0	0	0	40	306	0	0	0	3248
OTU_590_18S	263	39	82	661	1204	140	247	0	0	335	0	0	48	0	30	28	0	0	0	0	54	96	3227
OTU_592_18S	0	0	61	2214	0	0	0	0	0	0	0	0	0	15	25	417	0	0	0	0	0	999	3731
OTU_595_18S	1507	36	23	516	47	252	0	37	0	115	0	0	0	0	0	31	181	0	207	0	0	0	2952
OTU_598_18S	0	35	35	2287	485	0	0	51	0	0	0	0	0	0	0	0	82	0	0	0	0	0	2975
OTU_602_18S	43	654	488	428	178	0	0	50	0	46	0	0	0	0	90	207	0	0	0	0	0	322	2506
OTU_594_18S	0	494	207	2018	239	6	0	22	0	411	0	0	0	0	0	33	0	488	0	0	0	52	3970
OTU_617_18S	0	0	51	1037	576	0	30	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	1785
OTU_618_18S	239	101	448	2878	161	98	123	0	0	0	0	0	14	0	118	46	0	20	0	0	0	327	4573
OTU_620_18S	188	564	75	850	362	383	42	72	0	775	0	0	0	0	31	114	33	0	140	0	121	27	3777
