ASV	EA.20130423	EA.20130604	EA.20130625	EA.20131127	EA.20131230	EA.20140415	EA.20140514	EA.20140930	EA.20141029	EA.20150227	EA.20150328	EA.20150516	EA.20150627	EA.20150801	EA.20150829	EA.20151006	EA.20151208	EA.20160225	EA.20160322	EA.20160502	EA.20160611	EA.20160822	abundancesum_small
OTU_197_18S	26	16	716	230	12	452	73	848	264	94	78	0	93	1221	478	780	0	524	69	258	179	511	6922
OTU_199_18S	264	290	1573	133	96	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	104	0	2477
OTU_201_18S	0	1206	3728	0	0	0	0	0	516	0	0	0	53	0	34	0	0	0	0	18	144	0	5699
OTU_203_18S	88	1594	640	387	89	16	48	1578	385	0	291	88	109	65	157	237	92	62	0	54	595	264	6839
OTU_206_18S	3689	948	287	2197	435	784	249	164	302	163	0	128	200	0	0	93	81	322	45	56	371	0	10514
OTU_216_18S	0	0	1151	94	0	120	354	0	93	0	0	0	405	1304	196	239	0	65	0	475	0	633	5129
OTU_219_18S	329	184	5	4011	3018	410	0	417	123	1015	20	0	0	0	8	228	82	18	43	0	40	13	9964
OTU_222_18S	24	4138	35	0	0	6076	0	0	357	0	166	693	0	0	0	0	0	249	0	0	0	0	11738
OTU_224_18S	0	0	0	0	0	30	0	19	59	0	7833	49	27	268	69	59	0	0	36	75	0	0	8524
OTU_225_18S	90	749	109	1784	551	117	0	153	129	84	31	35	21	0	0	0	35	71	61	0	2824	0	6844
OTU_227_18S	2969	1856	1009	996	212	2398	0	0	87	28	73	34	0	56	0	0	19	27	0	0	0	30	9794
OTU_229_18S	0	455	957	824	67	739	26	0	2071	71	15	35	53	0	125	1101	0	13	0	0	0	286	6838
OTU_234_18S	180	700	80	71	674	164	0	22	55	185	0	55	21	0	0	0	96	0	0	0	148	33	2484
OTU_236_18S	440	618	162	85	0	1279	0	0	0	0	0	144	81	81	0	223	156	0	0	118	130	60	3577
OTU_239_18S	12313	31	305	37	0	484	0	47	28	0	161	118	0	0	0	0	0	109	0	0	0	0	13633
OTU_241_18S	1175	626	462	1683	447	1696	288	27	230	91	64	106	118	42	58	87	31	125	95	113	181	156	7901
OTU_243_18S	89	306	392	71	268	328	259	36	29	135	116	53	36	62	0	9	46	68	61	230	227	76	2897
OTU_255_18S	442	29	1247	77	0	123	533	193	139	32	796	110	1586	362	123	391	0	127	74	174	203	231	6992
OTU_256_18S	0	217	117	1618	995	1229	0	946	306	280	346	284	1223	91	32	185	287	427	262	0	139	374	9358
OTU_258_18S	0	349	394	55	22	0	0	0	22	0	0	0	0	567	305	0	0	0	0	0	0	257	1971
OTU_259_18S	1237	4247	746	0	0	0	0	0	1042	0	0	0	683	0	117	0	0	0	0	0	0	0	8072
OTU_262_18S	2218	404	292	792	49	1958	1066	22	33	74	701	221	1384	75	0	53	0	470	683	412	30	0	10937
OTU_263_18S	47	5252	507	4660	54	0	0	0	205	52	14	0	0	17	0	0	0	0	25	0	0	0	10833
OTU_264_18S	2345	128	69	137	31	4635	214	194	0	225	428	409	12	0	0	34	12	214	190	11	246	24	9558
OTU_269_18S	1302	2058	541	1240	415	1513	140	81	1067	430	157	113	348	189	137	60	104	89	0	77	804	309	11174
OTU_265_18S	2070	236	1698	1085	130	2899	0	27	34	21	47	21	31	0	20	20	0	30	36	19	50	38	8512
OTU_271_18S	0	149	21	219	1112	89	0	53	76	77	0	61	0	0	0	0	49	0	0	0	161	0	2067
OTU_270_18S	1754	118	126	547	133	714	0	0	157	130	340	236	110	188	93	80	16	344	81	184	0	162	5513
OTU_272_18S	468	422	0	319	321	1401	0	103	252	337	28	229	0	0	0	118	107	273	0	0	362	0	4740
OTU_268_18S	27	818	287	1159	28	401	97	0	26	225	0	63	33	0	78	0	184	0	0	0	56	54	3536
OTU_276_18S	0	86	31	28	3297	0	0	0	0	0	0	0	0	0	0	611	0	0	0	0	0	40	4093
OTU_279_18S	2940	374	52	44	11	185	122	551	153	14	74	32	99	0	174	129	18	640	143	21	26	343	6145
OTU_282_18S	45	29	713	676	101	295	39	0	183	0	122	40	148	432	0	229	0	1239	17	482	210	415	5415
OTU_287_18S	241	918	663	3969	179	460	0	87	0	277	0	0	11	0	0	10	52	0	0	0	0	0	6867
OTU_284_18S	87	61	997	0	0	33	0	63	18	139	0	46	93	182	123	35	15	0	35	0	119	0	2046
OTU_288_18S	31	5852	39	73	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	6059
OTU_295_18S	587	496	29	117	0	1984	0	0	0	0	62	0	0	0	0	0	0	95	0	0	0	0	3370
OTU_297_18S	0	0	0	0	0	0	0	0	0	0	0	1959	42	1484	0	0	0	0	0	0	1634	0	5119
OTU_299_18S	1020	506	313	2427	332	772	321	49	336	229	73	238	57	75	98	197	59	100	34	81	201	543	8061
OTU_301_18S	67	527	329	631	130	104	0	210	162	0	0	15	0	583	1992	149	0	0	0	24	0	33	4956
OTU_302_18S	511	1041	562	1849	201	1098	221	7	577	138	236	240	140	189	88	146	115	164	0	140	99	264	8026
OTU_309_18S	1114	628	417	1219	434	518	0	291	152	172	385	404	281	60	0	213	185	235	356	213	344	37	7658
OTU_310_18S	545	58	116	371	0	0	0	0	78	0	0	45	0	350	0	0	0	105	0	0	0	0	1668
OTU_312_18S	45	62	85	7	2	1238	42	666	14	0	0	26	29	84	258	127	0	32	0	81	22	419	3239
OTU_313_18S	578	642	126	465	565	1657	0	0	157	0	0	0	0	0	0	0	154	68	0	107	490	0	5009
OTU_316_18S	1568	185	980	3637	104	55	8	387	301	38	119	0	14	39	0	73	13	213	31	396	188	70	8419
OTU_320_18S	0	0	0	240	241	0	0	0	0	30	0	0	0	0	8	0	0	0	0	0	0	0	519
OTU_321_18S	1563	0	132	0	1407	1502	0	0	0	0	0	39	0	0	0	0	0	154	0	0	0	0	4797
OTU_323_18S	3646	27	33	230	15	2968	0	0	0	0	153	563	15	0	0	0	0	0	0	0	14	0	7664
OTU_326_18S	657	161	0	7767	218	65	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	8993
OTU_328_18S	481	0	0	0	1789	987	0	0	52	0	210	0	49	0	0	0	41	0	0	0	0	0	3609
OTU_325_18S	1246	212	848	106	20	659	0	169	240	138	161	185	36	31	86	230	70	89	58	104	186	52	4926
OTU_333_18S	37	0	308	760	381	380	348	317	93	243	275	517	1140	300	30	41	0	607	734	313	158	39	7021
OTU_329_18S	170	164	165	322	0	94	0	6	57	154	0	40	27	190	50	26	0	37	9	144	40	17	1712
OTU_336_18S	149	229	222	56	0	317	95	373	395	229	0	76	46	282	294	298	55	80	0	0	111	194	3501
OTU_338_18S	0	236	0	581	106	378	0	0	95	197	64	35	129	0	194	140	57	290	87	0	0	120	2709
OTU_332_18S	43	104	437	75	26	40	0	0	0	0	0	67	121	0	0	0	0	0	0	0	76	0	989
OTU_340_18S	2003	1711	338	917	280	1992	0	28	0	0	24	43	0	0	0	0	42	0	0	0	0	0	7378
OTU_341_18S	510	285	653	883	42	228	157	47	885	293	174	65	156	87	78	168	49	225	74	153	375	756	6343
OTU_346_18S	538	402	226	612	22	468	296	214	33	108	663	142	157	400	226	133	632	171	31	170	354	221	6219
OTU_342_18S	1161	112	51	1977	53	1284	22	30	0	288	169	86	14	0	0	0	49	197	88	0	132	0	5713
OTU_348_18S	0	157	19	51	54	24	0	0	0	0	14	0	0	0	0	16	34	13	0	0	198	0	580
OTU_354_18S	118	11	336	5337	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	5826
OTU_355_18S	105	144	0	4528	3029	17	0	0	448	0	0	0	0	0	47	0	261	0	0	0	57	202	8838
OTU_364_18S	179	1236	35	614	229	1415	0	0	56	471	24	130	32	0	0	34	0	290	0	0	0	18	4763
OTU_365_18S	324	549	99	706	0	568	0	0	0	0	111	0	0	0	0	0	0	113	0	51	340	0	2861
OTU_366_18S	214	944	120	293	0	1199	0	136	0	0	0	59	0	0	0	0	0	0	0	0	113	0	3078
OTU_367_18S	266	211	699	132	288	810	0	109	143	63	107	319	85	29	120	158	53	113	0	0	0	79	3784
OTU_370_18S	414	750	632	1116	28	176	0	250	244	236	259	86	70	165	162	125	0	70	69	43	241	117	5253
OTU_356_18S	2076	273	138	1226	138	503	0	109	112	142	51	64	17	0	29	85	47	64	0	18	91	0	5183
OTU_372_18S	1905	1618	45	434	109	805	0	128	283	455	95	129	46	0	0	95	198	58	82	31	307	45	6868
OTU_378_18S	534	1334	644	66	134	332	843	15	62	131	82	167	54	725	42	40	0	102	0	108	389	321	6125
OTU_381_18S	1425	1325	550	134	56	718	0	84	124	362	0	225	72	96	91	78	0	87	68	408	98	482	6483
OTU_386_18S	244	92	0	440	271	731	0	0	0	67	0	344	0	0	0	0	296	39	0	0	213	0	2737
OTU_384_18S	0	2016	0	0	0	7	0	122	33	0	0	0	7	0	0	0	40	0	0	0	185	0	2410
OTU_389_18S	1381	1164	172	296	130	90	88	54	260	133	192	0	73	0	27	0	0	17	130	103	308	0	4618
OTU_391_18S	20	5083	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	130	0	5256
OTU_392_18S	139	0	20	1259	281	1018	0	102	240	776	275	9	116	0	22	0	168	0	0	0	147	0	4572
OTU_397_18S	0	76	1062	26	0	0	0	0	70	0	0	0	131	1935	355	34	0	0	0	71	0	28	3788
OTU_400_18S	0	0	326	67	0	57	81	308	0	57	0	147	1124	554	127	143	0	328	104	452	221	105	4201
OTU_401_18S	0	33	17	51	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	170
OTU_404_18S	965	138	201	325	365	911	82	0	49	123	30	29	149	399	60	0	27	98	0	51	248	25	4275
OTU_405_18S	675	1317	145	51	46	449	0	314	260	190	81	0	0	49	76	85	0	113	74	73	0	0	3998
OTU_408_18S	356	73	280	363	15	73	163	91	115	0	49	111	561	105	59	0	24	35	43	38	280	96	2930
OTU_411_18S	0	0	185	13	0	290	0	123	109	0	0	0	50	725	79	82	0	0	0	0	0	0	1656
OTU_413_18S	347	1554	719	127	18	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	2829
OTU_415_18S	0	196	1372	876	195	807	1022	0	549	127	84	432	0	0	0	0	27	138	14	197	635	0	6671
OTU_418_18S	27	739	218	4916	0	0	0	85	0	0	0	0	0	0	0	25	0	0	0	0	0	0	6010
OTU_420_18S	0	28	2796	117	101	33	0	0	726	0	0	0	125	0	0	0	0	0	0	0	397	831	5154
OTU_423_18S	126	1426	28	174	196	1167	69	48	0	103	196	0	0	12	52	53	0	138	0	0	0	0	3788
OTU_425_18S	837	517	530	245	0	580	1188	64	54	95	152	218	41	51	127	73	38	22	0	0	158	197	5187
OTU_427_18S	2628	531	225	686	57	2937	0	7	0	0	41	14	15	0	5	0	0	28	0	12	0	0	7186
OTU_419_18S	137	94	68	1525	97	615	179	0	132	172	85	13	0	24	113	31	24	93	33	51	82	37	3605
OTU_421_18S	138	111	68	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	190	633
OTU_434_18S	206	109	46	567	147	349	0	34	75	0	0	14	0	0	0	64	0	81	0	0	0	0	1692
OTU_438_18S	1289	818	166	494	20	523	0	59	125	219	152	64	45	65	49	109	133	33	105	141	0	123	4732
