ASV	BL.20130417	BL.20130507	BL.20130604	BL.20130709	BL.20130801	BL.20130917	BL.20131015	BL.20140114	BL.20140211	BL.20140310	BL.20141007	BL.20141111	BL.20150113	BL.20150210	BL.20150916	BL.20151006	BL.20151110	BL.20151215	BL.20160119	BL.20160210	BL.20160308	BL.20160405	BL.20160504	abundancesum_big
OTU_2120_18S	0	0	0	0	0	0	0	58	0	53	0	0	0	91	0	10	37	0	321	92	0	0	0	662
OTU_2459_18S	0	0	0	0	0	0	0	0	0	0	0	96	117	0	45	0	49	350	24	0	0	0	0	681
OTU_2466_18S	0	0	0	0	0	0	0	0	0	0	270	0	97	0	0	71	20	0	0	0	0	0	0	458
OTU_2095_18S	0	0	0	0	0	0	0	75	124	0	0	0	0	0	0	0	0	69	241	0	0	0	0	509
OTU_2394_18S	0	0	0	0	0	0	0	49	0	0	81	59	0	109	144	0	89	12	0	0	0	0	0	543
OTU_2403_18S	0	0	0	0	0	0	0	37	0	0	0	0	0	101	0	0	0	0	212	171	0	0	0	521
OTU_2399_18S	0	0	0	0	0	0	0	57	85	0	0	49	75	0	0	20	0	17	47	0	0	0	0	350
OTU_2420_18S	0	0	0	0	0	0	0	0	0	0	0	19	106	0	0	0	50	9	28	0	0	0	0	212
OTU_2429_18S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	8	171	17	0	0	0	0	237
OTU_2489_18S	0	0	0	0	0	0	0	0	132	0	0	0	135	0	0	0	0	89	55	212	0	0	0	623
OTU_2496_18S	0	0	0	0	0	1	0	0	0	0	2	0	0	0	4	93	106	74	0	0	0	0	0	280
OTU_1926_18S	0	0	0	0	0	7	0	0	0	0	134	47	68	0	0	41	188	114	41	0	0	0	0	640
OTU_2515_18S	0	0	0	0	0	0	0	18	28	0	0	63	24	0	0	95	0	29	16	206	9	0	0	488
OTU_2449_18S	0	0	0	0	0	0	0	0	278	111	0	0	0	0	0	0	33	87	0	101	0	0	0	610
OTU_2295_18S	0	0	0	0	0	0	0	19	0	0	60	0	26	0	0	0	96	270	193	0	0	0	0	664
OTU_2532_18S	0	0	0	0	0	0	0	0	0	0	0	182	70	0	0	98	227	93	54	0	0	0	0	724
OTU_2456_18S	0	0	0	0	0	0	0	0	0	0	0	0	553	0	0	0	75	82	6	0	0	0	0	716
OTU_2418_18S	0	0	0	0	0	0	0	0	0	0	417	106	43	0	0	43	23	0	0	0	0	0	0	632
OTU_2512_18S	0	0	0	0	0	0	0	73	0	0	0	0	21	0	0	0	0	67	0	433	0	0	0	594
OTU_2603_18S	0	18	14	0	0	0	0	0	0	0	0	0	0	188	43	0	0	53	0	53	0	14	18	401
OTU_2433_18S	0	0	0	0	0	0	0	0	0	0	0	81	27	0	0	10	69	0	0	0	0	0	0	187
OTU_2631_18S	0	0	0	0	0	5	0	0	0	0	0	39	114	0	74	0	19	198	0	0	0	0	0	449
OTU_2503_18S	0	0	0	0	0	0	0	160	0	0	0	0	22	0	0	8	21	38	0	197	0	0	0	446
OTU_2601_18S	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	25	36	28	0	0	0	0	0	134
OTU_2578_18S	34	0	0	0	0	0	0	44	0	112	178	0	0	0	0	0	0	0	20	53	0	0	0	441
OTU_2508_18S	0	0	0	0	0	0	0	0	0	0	0	21	0	64	0	0	0	100	80	265	0	0	0	530
OTU_2557_18S	0	0	0	0	0	0	0	0	0	75	0	25	0	0	0	0	16	0	49	0	0	0	0	165
OTU_2259_18S	0	0	0	0	0	0	0	0	83	0	0	157	47	134	0	0	116	84	30	0	0	0	0	651
OTU_2572_18S	1	8	62	16	22	0	44	6	0	2	2	5	0	5	44	8	19	17	23	0	10	112	4	410
OTU_2699_18S	0	0	0	0	0	0	0	0	0	0	0	0	0	29	178	0	0	18	0	92	0	0	0	317
OTU_2615_18S	0	0	0	0	0	0	0	0	0	0	193	0	57	0	0	62	31	39	0	0	0	0	0	382
OTU_2712_18S	0	0	0	0	0	0	0	84	0	0	235	0	0	46	51	25	0	0	0	0	0	0	0	441
OTU_2714_18S	0	0	0	0	0	0	0	59	0	0	0	51	21	0	0	0	0	14	0	0	0	0	0	145
OTU_2682_18S	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	47	0	0	98	228	0	0	0	453
OTU_2649_18S	0	0	0	0	0	0	0	0	0	0	0	97	111	0	0	0	133	277	23	0	0	0	0	641
OTU_2727_18S	0	0	0	0	0	0	0	428	0	0	0	0	0	0	0	36	96	0	10	0	0	0	0	570
OTU_2745_18S	0	0	0	0	0	0	0	0	0	0	0	113	37	0	0	39	0	33	10	0	0	0	0	232
OTU_2750_18S	0	0	0	0	0	0	0	0	0	0	272	114	0	0	82	154	0	0	0	0	0	0	0	622
OTU_2510_18S	0	0	0	0	0	0	0	70	331	54	0	77	0	0	0	0	0	13	86	0	0	0	0	631
OTU_2785_18S	0	0	0	0	0	0	0	27	229	0	0	198	0	0	0	45	0	0	0	0	0	0	0	499
OTU_2589_18S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	45	57	8	0	0	0	0	120
OTU_2419_18S	0	0	0	0	0	0	0	0	0	0	109	69	0	0	0	0	177	14	0	0	0	0	0	369
OTU_2590_18S	0	0	0	0	0	0	0	13	0	37	0	145	136	0	0	0	44	44	67	0	0	0	0	486
OTU_2848_18S	0	0	0	0	0	0	0	0	0	0	14	0	0	139	241	0	0	0	0	206	0	0	0	600
OTU_2474_18S	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	96	0	38	47	0	0	0	247
OTU_2700_18S	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	212	37	0	0	0	31	307
OTU_2744_18S	0	0	0	0	0	0	0	56	0	0	0	82	120	0	0	0	42	10	0	0	0	0	0	310
OTU_2867_18S	0	0	0	0	0	0	0	18	0	28	0	0	0	0	0	0	0	20	0	488	0	0	0	554
OTU_2620_18S	0	0	0	0	0	0	0	51	0	0	0	39	101	0	0	37	36	16	0	0	0	0	0	280
OTU_2795_18S	0	0	41	117	28	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	257
OTU_2876_18S	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	19	18	61	12	0	0	0	0	224
OTU_2905_18S	17	0	0	0	0	0	0	0	0	0	152	0	24	0	0	0	0	35	29	0	0	0	0	257
OTU_2884_18S	0	0	0	0	0	0	0	63	0	143	196	0	0	0	98	0	27	8	43	0	0	0	0	578
OTU_2914_18S	0	0	0	0	0	17	0	0	0	0	0	0	0	13	183	0	0	26	0	0	0	0	0	239
OTU_2635_18S	0	0	0	0	0	0	6	0	0	0	0	0	0	0	185	57	128	0	0	0	0	0	0	376
