ASV	BL.20130417	BL.20130507	BL.20130604	BL.20130709	BL.20130801	BL.20130917	BL.20131015	BL.20140114	BL.20140211	BL.20140310	BL.20141007	BL.20141111	BL.20150113	BL.20150210	BL.20150916	BL.20151006	BL.20151110	BL.20151215	BL.20160119	BL.20160210	BL.20160308	BL.20160405	BL.20160504	abundancesum_small
ASV_193_16S	58	0	0	0	0	36	32	121	301	167	7	67	198	655	42	24	20	171	340	134	271	141	152	2937
ASV_196_16S	14	0	0	0	0	0	0	0	0	41	0	0	20	46	0	13	0	0	52	103	258	2532	163	3242
ASV_197_16S	0	0	11	32	157	83	43	0	0	10	49	109	48	37	143	73	21	43	53	24	0	0	27	963
ASV_199_16S	0	21	69	163	114	75	137	0	0	16	110	220	8	11	155	321	81	58	0	0	0	0	197	1756
ASV_204_16S	0	0	0	0	0	7	0	34	182	50	5	166	83	395	14	29	73	225	249	95	143	38	13	1801
ASV_206_16S	0	0	0	0	0	0	74	123	106	66	96	409	51	163	129	131	110	224	131	0	70	46	36	1965
ASV_207_16S	160	0	11	4	0	0	4	75	26	146	17	31	6	36	54	58	16	15	65	27	24	118	848	1741
ASV_210_16S	0	0	0	5	4	0	30	216	15	1259	9	30	0	0	0	0	0	0	0	0	0	0	2	1570
ASV_211_16S	36	0	40	36	47	0	36	18	107	70	26	49	58	132	59	57	37	56	99	58	72	42	204	1339
ASV_212_16S	0	0	0	0	0	17	0	87	233	77	44	405	170	530	193	168	200	235	248	83	117	75	43	2925
ASV_213_16S	0	0	0	0	0	111	9	0	0	0	0	0	0	0	13	4	0	0	0	0	0	0	0	137
ASV_214_16S	0	79	26	20	67	74	108	32	27	51	49	81	21	27	166	172	45	87	107	40	39	27	281	1626
ASV_215_16S	0	0	13	25	36	0	48	224	23	323	24	58	18	231	16	88	34	67	12	85	94	36	87	1542
ASV_216_16S	0	0	0	0	0	0	0	49	7	45	0	16	87	44	10	17	11	8	12	27	9	25	12	379
ASV_217_16S	0	0	5	0	17	232	442	11	25	11	129	271	24	50	277	178	122	149	64	13	17	7	42	2086
ASV_218_16S	82	323	56	0	0	69	0	45	128	129	0	0	0	66	0	0	0	73	129	132	111	126	376	1845
ASV_221_16S	0	23	18	0	18	0	35	0	27	72	0	55	52	245	176	160	46	40	144	335	121	443	4	2014
ASV_222_16S	0	0	0	3	0	16	0	119	539	238	0	21	141	884	26	14	24	43	163	100	295	107	43	2776
ASV_223_16S	0	0	0	0	0	0	0	0	803	125	0	0	0	203	0	0	0	0	0	221	602	813	0	2767
ASV_224_16S	0	0	102	0	0	0	0	0	91	0	0	72	59	178	0	0	0	86	86	79	83	0	247	1083
ASV_225_16S	0	0	32	41	73	107	63	0	0	23	103	252	15	21	237	154	99	70	46	28	0	0	72	1436
ASV_226_16S	23	26	8	0	0	0	4	61	227	262	0	19	50	245	8	3	6	21	81	117	402	1065	154	2782
ASV_227_16S	0	0	0	0	0	0	0	49	93	43	0	0	50	192	0	0	16	25	433	840	171	386	0	2298
ASV_228_16S	0	0	73	0	0	171	0	0	0	0	0	106	0	0	0	0	39	113	0	0	0	0	226	728
ASV_229_16S	0	0	0	0	0	0	0	0	0	0	18	8	29	14	59	5	0	6	0	0	0	0	0	139
ASV_233_16S	51	44	44	0	0	0	0	31	57	50	0	74	46	160	45	29	0	82	104	50	86	66	66	1085
ASV_234_16S	0	0	4	0	0	0	12	475	173	277	22	106	121	149	27	60	58	144	242	112	176	224	121	2503
ASV_235_16S	0	0	0	0	0	0	0	9	5	25	9	17	38	31	8	13	20	7	8	4	9	9	24	236
ASV_237_16S	1	0	146	169	51	87	262	34	2	14	101	29	1	14	83	27	13	5	15	3	0	3	39	1099
ASV_238_16S	0	0	0	0	80	142	0	0	97	0	0	163	118	168	76	49	33	81	121	64	85	0	97	1374
ASV_240_16S	0	0	0	0	0	0	0	0	9	0	0	12	0	29	0	0	0	13	12	15	9	3	7	109
ASV_246_16S	70	212	80	0	0	0	0	0	56	0	0	0	0	96	0	0	0	40	49	152	99	44	458	1356
ASV_248_16S	0	0	0	0	0	18	0	0	0	0	19	100	0	3	0	35	32	0	0	0	0	0	0	207
ASV_249_16S	4	0	100	82	39	32	162	208	24	85	224	265	6	11	179	130	45	21	67	3	5	21	111	1824
