ASV	BL.20130417	BL.20130507	BL.20130604	BL.20130709	BL.20130801	BL.20130917	BL.20131015	BL.20140114	BL.20140211	BL.20140310	BL.20141007	BL.20141111	BL.20150113	BL.20150210	BL.20150916	BL.20151006	BL.20151110	BL.20151215	BL.20160119	BL.20160210	BL.20160308	BL.20160405	BL.20160504
ASV_1561_16S_022.3	0	0	0	0	0	0	0	0	14	0	0	0	0	85	0	0	0	16	26	10	20	0	0
ASV_1563_16S_022.3	0	0	0	0	0	0	0	25	16	0	0	0	0	19	0	0	0	35	50	13	36	0	0
ASV_1566_16S_022.3	0	0	0	0	0	0	0	0	39	0	0	0	25	0	0	0	29	76	35	26	0	0	0
ASV_1565_16S_022.3	0	0	0	0	0	0	0	23	31	21	0	0	15	24	0	0	0	14	30	0	8	0	0
ASV_1569_16S_022.3	0	0	0	0	0	0	0	23	17	16	0	40	0	0	0	0	12	0	0	0	0	0	0
ASV_1571_16S_022.3	0	0	0	0	0	0	0	13	34	4	0	0	12	60	0	0	0	4	20	0	8	0	0
ASV_1576_16S_022.3	0	0	0	0	0	0	0	0	32	0	0	0	23	27	8	0	0	0	17	0	8	0	0
ASV_1577_16S_022.3	0	0	0	0	0	0	0	0	29	0	0	0	0	51	0	0	0	6	34	16	22	0	0
ASV_1578_16S_022.3	0	0	0	0	0	0	0	0	0	0	0	18	0	32	0	0	0	32	0	0	0	0	54
ASV_1581_16S_022.3	0	0	0	0	0	0	0	0	13	14	0	0	12	84	0	0	0	0	20	0	10	0	0
ASV_1584_16S_022.3	0	0	0	28	56	18	7	0	0	0	6	11	0	0	14	0	0	0	0	0	0	0	0
ASV_1587_16S_022.3	0	0	0	0	0	0	0	0	0	12	0	16	0	0	13	29	0	23	15	0	0	0	18
ASV_1589_16S_022.3	0	0	0	0	0	0	0	0	35	0	0	0	0	21	0	0	0	0	17	0	43	19	0
ASV_1593_16S_022.3	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	48	32	0	8	0	0
ASV_1633_16S_022.3	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	18	15	0	14	0	39
ASV_1631_16S_022.3	0	0	0	0	0	0	0	64	40	0	0	0	42	26	0	0	0	0	0	0	0	0	0
ASV_1632_16S_022.3	0	0	0	0	0	0	0	20	25	0	0	0	0	27	0	0	0	7	22	28	0	0	0
ASV_1636_16S_022.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	24	0	89	0	0	15	8
ASV_1645_16S_022.3	0	0	0	0	0	0	0	0	0	0	0	8	9	39	0	0	0	47	26	0	0	0	0
ASV_1644_16S_022.3	0	0	0	0	0	0	0	0	18	0	0	0	0	68	0	0	0	23	46	0	0	0	0
ASV_1643_16S_022.3	0	0	0	0	0	0	0	0	0	0	16	7	0	21	13	27	0	7	12	0	9	12	13
ASV_1648_16S_022.3	0	0	0	0	0	0	0	5	11	0	0	0	18	34	0	0	0	25	22	0	0	0	0
ASV_1657_16S_022.3	0	0	0	0	0	0	0	0	0	0	0	47	0	0	40	39	0	50	0	0	0	0	36
ASV_1658_16S_022.3	0	0	0	0	0	0	0	87	0	21	0	0	0	0	0	0	0	31	18	0	21	0	0
ASV_1676_16S_022.3	0	0	0	0	0	0	0	5	22	0	0	0	44	15	0	0	0	0	0	0	65	6	0
ASV_1687_16S_022.3	0	0	0	0	0	24	0	0	0	0	11	36	10	10	13	16	0	54	17	0	0	0	0
ASV_1686_16S_022.3	0	0	0	0	0	0	0	0	3	0	0	8	18	34	0	0	0	0	36	0	8	0	0
ASV_1693_16S_022.3	0	0	0	19	45	0	31	0	0	0	0	39	0	0	50	21	0	0	0	0	0	0	0
ASV_1697_16S_022.3	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	38	15	43	46	0
ASV_1695_16S_022.3	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	32	18	0	0	20	28
ASV_1696_16S_022.3	0	0	0	0	0	0	0	0	35	0	0	58	0	27	0	0	0	31	14	0	0	0	0
ASV_1706_16S_022.3	0	0	0	0	0	0	0	23	15	4	0	7	9	31	0	0	0	26	13	0	0	0	0
ASV_1707_16S_022.3	0	0	0	0	0	0	0	0	15	0	0	0	54	64	0	0	0	0	18	0	12	0	0
ASV_1705_16S_022.3	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	44	22	8	16	0	0
ASV_1716_16S_022.3	0	0	0	0	0	0	0	0	20	0	0	0	16	49	0	0	0	0	45	0	22	0	0
ASV_1720_16S_022.3	0	0	0	0	0	0	0	0	15	0	0	0	25	43	0	0	0	8	30	0	0	0	0
ASV_1728_16S_022.3	0	0	0	0	0	0	0	0	0	0	0	0	0	8	7	0	3	18	2	4	47	40	32
ASV_1727_16S_022.3	0	0	0	0	0	0	0	29	0	40	0	5	0	0	33	0	14	7	0	0	0	0	0
ASV_1732_16S_022.3	0	0	0	0	0	26	6	0	15	9	0	13	0	5	1	5	13	11	12	0	0	0	0
ASV_1734_16S_022.3	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	25	43	24	0	0	0	0
ASV_1748_16S_022.3	0	0	0	0	0	0	0	0	10	0	0	0	5	46	0	0	0	0	19	15	22	0	0
ASV_1747_16S_022.3	0	0	0	0	0	0	0	0	24	0	0	0	25	52	0	0	0	0	42	0	0	0	0
ASV_1753_16S_022.3	0	0	3	33	2	1	4	0	0	0	0	2	0	0	6	2	0	0	0	0	0	35	57
ASV_1759_16S_022.3	0	0	0	0	0	0	0	7	41	0	0	0	0	0	0	0	0	0	0	13	44	0	0
ASV_1769_16S_022.3	0	0	0	0	0	0	0	0	20	24	0	0	11	0	0	0	0	18	0	13	23	31	0
ASV_1774_16S_022.3	0	0	0	0	0	0	0	0	36	0	0	0	0	26	0	0	0	0	49	0	13	0	0
ASV_1777_16S_022.3	0	0	0	0	0	0	0	0	33	0	0	0	0	45	0	0	0	0	21	26	26	13	0
ASV_1781_16S_022.3	0	0	0	0	0	0	0	0	9	4	0	0	4	20	0	0	0	0	29	8	20	8	0
ASV_1795_16S_022.3	0	0	0	0	0	0	0	25	0	10	0	21	0	23	0	0	0	17	17	0	0	0	0
ASV_1804_16S_022.3	0	0	0	0	0	0	0	0	29	0	0	0	21	0	12	0	0	0	17	18	26	0	4
ASV_1801_16S_022.3	0	0	4	0	0	0	0	0	0	0	5	32	0	0	11	11	19	34	20	0	0	0	25
ASV_1820_16S_022.3	0	0	0	0	0	0	8	0	0	0	32	17	0	0	16	31	0	0	0	0	0	0	0
ASV_1825_16S_022.3	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	4	13	17	27	0	30	0	0
ASV_1851_16S_022.3	0	0	0	0	0	0	0	0	0	0	0	70	9	0	0	26	11	0	11	0	0	0	0
ASV_1858_16S_022.3	0	0	0	0	0	0	0	0	24	0	0	0	0	70	0	0	0	22	29	0	0	0	0
ASV_1855_16S_022.3	0	0	0	0	0	0	0	37	25	26	0	0	0	34	0	0	0	21	1	0	1	0	0
ASV_1869_16S_022.3	0	0	0	0	0	0	0	0	15	0	0	0	0	66	0	0	0	0	25	0	20	0	0
ASV_1881_16S_022.3	0	0	0	0	0	0	0	0	13	0	0	0	0	29	0	0	0	3	10	7	12	1	26
ASV_1894_16S_022.3	0	0	0	0	0	0	0	0	26	0	0	0	16	41	0	0	0	8	17	0	13	9	0
ASV_1921_16S_022.3	0	0	0	0	0	0	0	12	23	0	0	0	5	12	0	0	0	24	32	0	8	0	0
ASV_1930_16S_022.3	0	0	0	0	0	0	0	0	20	0	0	0	0	24	0	0	0	9	16	15	23	0	0
ASV_1934_16S_022.3	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	7	19	27	0	29
ASV_1949_16S_022.3	0	0	0	0	0	0	0	0	0	0	0	4	0	11	0	0	6	0	0	12	0	0	122
ASV_1971_16S_022.3	0	0	0	0	0	0	0	0	27	10	0	0	0	11	2	0	17	16	8	13	13	7	0
ASV_1986_16S_022.3	0	0	0	0	0	0	0	11	0	0	0	0	11	48	0	0	0	0	38	21	28	0	0
ASV_1994_16S_022.3	0	0	0	0	0	0	0	102	0	0	0	0	6	0	0	0	0	14	19	11	14	0	0
ASV_1999_16S_022.3	0	0	0	0	0	0	0	35	32	23	0	0	0	48	0	0	0	0	0	0	0	0	0
ASV_2010_16S_022.3	0	0	0	0	0	0	0	0	0	0	29	69	0	0	0	9	0	0	0	8	0	0	0
ASV_2009_16S_022.3	0	0	0	0	0	0	0	22	44	0	0	0	0	19	0	0	0	0	22	8	0	0	0
ASV_2014_16S_022.3	0	0	0	0	0	0	0	0	20	0	0	19	0	34	0	15	0	13	0	0	0	0	0
ASV_2023_16S_022.3	0	0	0	0	0	0	0	17	7	15	0	0	0	23	0	0	0	11	50	0	0	0	0
ASV_2030_16S_022.3	0	0	0	0	0	0	0	9	0	0	0	17	14	21	0	0	0	11	13	0	0	16	0
ASV_2057_16S_022.3	0	0	0	0	0	0	0	10	0	0	0	0	16	37	0	0	0	0	34	11	20	0	0
ASV_2068_16S_022.3	0	0	0	0	0	0	0	22	0	0	0	0	32	21	0	0	0	24	23	0	7	6	0
ASV_2083_16S_022.3	0	0	0	0	0	0	0	0	35	0	0	0	0	66	0	0	0	0	17	0	12	0	0
ASV_2084_16S_022.3	0	0	0	0	0	0	0	0	0	0	0	33	27	37	0	0	27	0	0	29	0	0	0
ASV_2079_16S_022.3	0	0	0	0	0	0	0	7	15	7	0	0	8	63	0	0	0	7	8	0	0	0	0
ASV_2093_16S_022.3	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	27	10	32	0	0
ASV_2085_16S_022.3	0	0	0	0	0	0	0	0	15	0	0	0	0	38	0	0	0	16	32	0	0	0	0
ASV_2102_16S_022.3	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	21	24	11	21	0	22
ASV_2127_16S_022.3	0	0	0	0	0	0	0	0	13	10	0	0	0	60	0	0	0	0	0	0	15	5	0
ASV_2155_16S_022.3	0	0	0	0	0	0	0	9	0	0	0	0	21	76	0	0	0	16	0	0	0	0	0
ASV_2170_16S_022.3	0	0	0	0	0	0	0	0	0	30	0	0	0	43	0	0	0	0	0	0	36	33	0
ASV_2181_16S_022.3	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	18	27	0	24	21	0
ASV_2185_16S_022.3	0	0	0	0	0	0	0	25	0	0	0	0	0	0	18	17	0	26	0	0	0	0	18
ASV_2186_16S_022.3	0	0	0	0	0	0	0	0	0	18	0	0	20	47	0	0	0	38	0	0	0	0	0
ASV_2226_16S_022.3	0	0	0	0	0	0	0	17	0	28	0	0	26	0	0	0	0	33	0	0	0	0	0
ASV_2243_16S_022.3	0	0	0	0	0	0	0	0	0	0	0	12	0	37	0	0	0	28	0	0	33	12	0
ASV_2304_16S_022.3	0	0	0	0	0	0	0	0	15	0	0	0	0	45	0	0	0	10	17	0	18	0	0
ASV_2371_16S_022.3	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	5	9	14	9	0
ASV_2653_16S_022.3	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	16	0	31	11	0
